島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（Ｈ）,完了年度（Ｈ）,全体計画事業費,全体計画国費,残事業事業費,残事業国費,１７当初事業費,１７当初国費,１７補正後事業費,１７補正後国費,１８事業計画事業費,１８事業計画国費,１８事業計画都費,１８事業計画町村費
三宅島,文教,三宅小学校校舎の新増築,伊豆,村,17,17,89412,20773,,,89412,21516,110569,20773,,,,
三宅島,文教,三宅小学校校舎の大規模改造,伊豆,村,17,17,98745,32915,,,74890,24963,121271,31958,,,,
三宅島,文教,三宅小学校校舎の公害防止工事,伊豆,村,17,17,0,0,,,99657,54811,0,0,,,,
三宅島,文教,文教計,,,,,188157,53688,0,0,263959,101290,231840,52731,,,,
三宅島,構造改善関係（水産経営）,築いそ,三宅村,都,17,17,24200,12100,,,24200,12100,,,,,,
三宅島,構造改善関係（水産経営）,築いそ,三宅村,都,18,18,28480,14240,28480,14240,,,,,25080,12540,12540,
三宅島,構造改善関係（水産経営）,構造改善関係計,,,,,52680,26340,28480,14240,24200,12100,0,0,25080,12540,12540,0
三宅島,三宅島計,,,,,,240837,80028,28480,14240,288159,113390,231840,52731,25080,12540,12540,0
御蔵島,公営住宅,御蔵島村,御蔵島村入かねざ沢,村,18,18,89943,40474,89943,40474,,,,,89943,40474,22485,26984
御蔵島,御蔵島村計,,,,,,89943,40474,89943,40474,0,0,0,0,89943,40474,22485,26984
