年度,総数,市営住宅,市民住宅,高齢者住宅やすらぎ,都営住宅,都民住宅_都施行,都民住宅_公社借上型,都民住宅_その他,"都市再生
機構住宅（旧：住宅・都市整備公団住宅）",東京都住宅供給公社住宅
昭和36年度,3589,160,…,…,2733,…,…,…,696,…
昭和37年度,3631,180,…,…,2755,…,…,…,696,…
昭和38年度,3631,180,…,…,2755,…,…,…,696,…
昭和39年度,3655,200,…,…,2759,…,…,…,696,…
昭和40年度,3726,241,…,…,2789,…,…,…,696,…
昭和41年度,3746,261,…,…,2789,…,…,…,696,…
昭和42年度,4300,281,…,…,3323,…,…,…,696,…
昭和43年度,4740,281,…,…,3763,…,…,…,696,…
昭和44年度,4745,304,…,…,3745,…,…,…,696,…
昭和45年度,5073,325,…,…,4052,…,…,…,696,…
昭和46年度,5121,373,…,…,4052,…,…,…,696,…
昭和47年度,5145,397,…,…,4052,…,…,…,696,…
昭和48年度,5203,397,…,…,4110,…,…,…,696,…
昭和49年度,5211,421,…,…,4094,…,…,…,696,…
昭和50年度,5190,421,…,…,4067,…,…,…,702,…
昭和51年度,5210,421,…,…,4087,…,…,…,702,…
昭和52年度,5186,421,…,…,4063,…,…,…,702,…
昭和53年度,5682,421,…,…,3963,…,…,…,1298,…
昭和54年度,5634,421,…,…,3915,…,…,…,1298,…
昭和55年度,5697,421,…,…,3978,…,…,…,1298,…
昭和56年度,5599,421,…,…,3880,…,…,…,1298,…
昭和57年度,5414,421,…,…,3695,…,…,…,1298,…
昭和58年度,5319,421,…,…,3600,…,…,…,1298,…
昭和59年度,5241,421,…,…,3522,…,…,…,1298,…
昭和60年度,5401,421,…,…,3682,…,…,…,1298,…
昭和61年度,5344,421,…,…,3625,…,…,…,1298,…
昭和62年度,5403,421,…,…,3684,…,…,…,1298,…
昭和63年度,5361,421,…,…,3642,…,…,…,1298,…
平成元年度,5458,426,…,…,3701,…,…,…,1331,…
平成2年度,5888,439,…,…,4118,…,…,…,1331,…
平成3年度,5530,431,…,…,4016,…,…,…,1083,…
平成4年度,5536,408,…,…,4045,…,…,…,1083,…
平成5年度,5704,429,…,…,4234,…,…,…,1041,…
平成6年度,5606,465,…,…,4100,…,…,…,1041,0
平成7年度,5884,492,…,…,4119,…,…,…,1273,0
平成8年度,5866,534,…,…,4251,…,…,…,1081,0
平成9年度,6127,659,…,…,4319,…,…,…,1081,68
平成10年度,6595,545,15,148,4306,59,…,228,1203,91
平成11年度,6829,566,32,148,4475,59,…,255,1203,91
平成12年度,6942,544,47,148,4595,59,…,255,1203,91
平成13年度,6833,544,47,148,4563,59,91,178,1203,…
平成14年度,6948,587,47,148,4595,59,106,203,1203,…
平成15年度,6963,567,47,148,4630,59,106,203,1203,…
平成16年度,6987,567,47,148,4654,59,106,203,1203,…
平成17年度,7009,589,47,148,4654,59,106,203,1203,…
平成18年度,6960,569,47,148,4625,59,106,203,1203,…
平成19年度,6960,569,47,148,4625,59,106,203,1203,…
平成20年度,6934,609,47,148,4559,59,106,203,1203,…
平成21年度,6900,591,47,148,4543,59,106,203,1203,…
平成22年度,6910,627,47,148,4517,59,106,203,1203,…
平成23年度,6906,607,47,148,4533,59,106,203,1203,…
平成24年度,6896,637,47,148,4526,59,91,185,1203,…
平成25年度,6877,637,47,148,4520,59,91,172,1203,…
平成26年度,6836,637,47,148,4503,59,91,148,1203,…
平成27年度,6719,637,47,148,4422,44,89,129,1203,…
平成28年度,6663,637,47,148,4421,44,82,81,1203,…
平成29年度,6555,637,32,148,4419,44,23,49,1203,…
平成30年度,6552,637,32,140,4455,44,0,41,1203,…
令和元年度,6674,637,15,140,4621,44,0,14,1203,…
令和2年度,6638,616,0,140,4621,44,0,14,1203,…
令和3年度,6619,616,0,140,4616,44,0,0,1203,…
令和4年度,6617,616,0,140,4616,42,0,0,1203,…
令和5年度,6617,616,0,140,4616,42,0,0,1203,…
