事業箇所,事業箇所,事業延長,事業認可河川予定地決定,用地進捗率
神田川,新橋～寿橋（中野区）,540m,平成16年5月24日,96%
石神井川,扇橋上流～本立寺橋下流（練馬区）,"1,400m",平成21年11月25日,56%
白子川,御園橋～一新橋（練馬区）,900m,平成21年11月25日,59%
霞川,観音橋上流～日野詰橋下流（青梅市）,"1,300m",平成18年9月15日,97%
鶴見川,宮川橋上流～図師大橋上流（町田市）,350m,平成22年8月31日,79%
鶴見川,図師大橋上流～日影橋上流（町田市）,520m,平成30年4月16日,61%
三沢川,新きさらぎ橋上流～中橋上流（稲城市）,340m,平成24年4月5日,63%
谷地川,鶴前橋上流～落合橋（八王子市）,630m,平成21年4月20日,90%
湯殿川,地蔵橋上流～湯島橋下流（八王子市）,330m,平成21年4月20日,96%
石神井川,坂下橋下流～柳沢橋上流（西東京市）,300m,平成25年3月15日,74%
空堀川,神明橋下流～中砂橋上流（武蔵村山市）,540m,平成21年11月25日,100%
奈良橋川,高木橋～宮前二の橋（東大和市）,390m,平成18年10月25日,92%
奈良橋川,宮前二の橋～日月橋（東大和市）,560m,令和1年12月18日,35%
