事業箇所,事業区間,規模,事業認可,用地取得率
清澄公園（江東区）,江東区清澄二丁目及び三丁目地内,0.45ha,平成10年1月8日,82%
篠崎公園（江戸川区）,江戸川区北篠崎二丁目、上篠崎一丁目、四丁目、西篠崎一丁目、篠崎町八丁目及び谷河内二丁目地内,15.38ha,平成5年1月12日,55%
"城北中央公園
（板橋区・練馬区）",板橋区桜川一丁目及び小茂根五丁目地内、練馬区氷川台一丁目及び羽沢三丁目地内,9.17ha,平成8年3月7日,69%
"善福寺川緑地
（杉並区）",杉並区荻窪一丁目、成田西一丁目、三丁目、四丁目、成田東二丁目、三丁目及び四丁目地内,18.8ha,昭和35年3月31日,99%
"和田堀公園
（杉並区）",杉並区成田東一丁目、大宮一丁目、二丁目、松の木一丁目、二丁目及び堀之内一丁目地内,30.56ha,昭和32年11月25日,86%
"石神井公園
（練馬区）",練馬区石神井台一丁目、二丁目及び石神井町五丁目地内,9.3ha,昭和28年3月30日,92%
"東伏見公園
（西東京市）",西東京市東伏見一丁目地内,6.6ha,平成14年1月10日,92%
"東伏見公園
（西東京市）",西東京市柳沢一丁目地内,1.6ha,平成25年3月15日,92%
"小金井公園
（小金井市・武蔵野市・小平市・西東京市）",武蔵野市桜堤三丁目、小金井市関野町一丁目及び二丁目並びに桜町三丁目、小平市花小金井南町三丁目並びに西東京市向台町六丁目地内,92.16ha,昭和27年12月19日,96%
"六仙公園
（東久留米市）",東久留米市中央町三丁目地内,12.2ha,平成13年6月18日,76%
"小山田緑地
（町田市）",町田市上小山田町字八号、下小山田町字押沼、字大久保、字梅木窪、字堀切、字兎谷、字堂谷、字関村、字小ヶ谷、字桜ヶ谷、字上ノ山、字馬場窪、字鍬柄尾、字宮ノ腰、字向田、字宇津保沢及び字竜沢地内,49.1ha,昭和62年11月5日,82%
"大戸緑地
（町田市）",町田市相原町字段木入、字牛田、字細豊、字大北、字考路、字大子山、字?田地内,17.9ha,平成27年3月13日,99%
"東大和緑地
（東大和市）",東大和市湖畔三丁目、奈良橋二丁目及び高木一丁目地内,2.0ha,平成27年7月31日,93%
"野山北・六道山公園
（武蔵村山市・瑞穂町）",武蔵村山市本町三丁目、五丁目、六丁目、三ツ木三丁目、四丁目、五丁目並びに岸二丁目、三丁目、四丁目、五丁目並びに西多摩郡瑞穂町大字殿ヶ谷字宮前、字山際、字滝田谷津、字尾引山、字尾引添、字日野出及び字宮野入、大字石畑字狭山谷、字夕日台、字峰田及び字狭山嶺、大字箱根ヶ崎字浅間谷、大字駒形富士山字富士山及び字富士山通り並びに大字高根字高根下、字山下、字打越、字池ノ上、字北狭山、字金堀沢、字田ノ入及び字田尻地内,239.21ha,昭和62年11月5日,93%
"中藤公園
（武蔵村山市）",武蔵村山市中藤二丁目、中央四丁目、五丁目並びに本町四丁目、五丁目及び六丁目地内,28.41ha,平成26年3月25日,46%
