ID,Title,Content,Excerpt,Date,"Post Type",Permalink," wheelchair-1.5m-b",_aioseo_description,_aioseo_keywords,_aioseo_og_article_section,_aioseo_og_article_tags,_aioseo_og_description,_aioseo_og_title,_aioseo_title,_aioseo_twitter_description,_aioseo_twitter_title,_aioseop_custom_link,_aioseop_description,_aioseop_disable,_aioseop_disable_analytics,_aioseop_keywords,_aioseop_nofollow,_aioseop_noindex,_aioseop_sitemap_exclude,_aioseop_title,_view_count,_wp_desired_post_slug,_wp_old_date,_wp_old_slug,_wp_page_template,address,appearance-img,baby-bed,baby-car,baby-chair,barrierfree-1.5m-a,barrierfree-1.5m-b,barrierfree-1.5m-c,barrierfree-barrier-free-a,barrierfree-barrier-free-b,barrierfree-barrier-free-c,barrierfree-bath-step-a,barrierfree-bath-step-b,barrierfree-bath-step-c,barrierfree-bath-width-a,barrierfree-bath-width-b,barrierfree-bath-width-c,barrierfree-bed-num-a,barrierfree-bed-num-b,barrierfree-bed-num-c,barrierfree-breadth-a,barrierfree-breadth-b,barrierfree-breadth-c,barrierfree-capacity-a,barrierfree-capacity-b,barrierfree-capacity-c,barrierfree-image-a,barrierfree-image-b,barrierfree-image-c,barrierfree-room-img-a,barrierfree-room-img-b,barrierfree-room-img-c,barrierfree-room-type-a,barrierfree-room-type-b,barrierfree-room-type-c,barrierfree-step-a,barrierfree-step-b,barrierfree-step-c,barrierfree-toilet-step-a,barrierfree-toilet-step-b,barrierfree-toilet-step-c,barrierfree-toilet-width-a,barrierfree-toilet-width-b,barrierfree-toilet-width-c,barrierfree-width-a,barrierfree-width-b,barrierfree-width-c,ch-address,ch-name,column,daredemo-toilet-floor,daredemo-toilet-numbber,diaper-changing-table,dog-bowl,dog-mat,dog-toilet-floor,elevator-capacity-a,elevator-capacity-b,elevator-capacity-c,elevator-capacity-d,elevator-capacity-e,elevator-depth-a,elevator-depth-b,elevator-depth-c,elevator-depth-d,elevator-depth-e,elevator-number-a,elevator-number-b,elevator-number-c,elevator-number-d,elevator-number-e,elevator-width-a,elevator-width-b,elevator-width-c,elevator-width-d,elevator-width-e,en-address,en-name,entrance-name,entrance-step,entrance-width,flash-bell,google_map,guidance-map,ko-address,ko-adress,ko-name,latitude,leisure-latitude,leisure-longitude,longitude,mobile-handrail,new-ch-address,new-en-address,new-en-name,new-ko-address,normal-1.5m-a,normal-1.5m-b,normal-1.5m-c,normal-barrier-free-a,normal-barrier-free-b,normal-barrier-free-c,normal-bath-step-a,normal-bath-step-b,normal-bath-step-c,normal-bath-width-a,normal-bath-width-b,normal-bath-width-c,normal-bed-num-a,normal-bed-num-b,normal-bed-num-c,normal-breadth-a,normal-breadth-b,normal-breadth-c,normal-capacity-a,normal-capacity-b,normal-capacity-c,normal-image-a,normal-image-b,normal-image-c,normal-room-img-a,normal-room-img-b,normal-room-img-c,normal-room-type-a,normal-room-type-b,normal-room-type-c,normal-step-a,normal-step-b,normal-step-c,normal-toilet-step-a,normal-toilet-step-b,normal-toilet-step-c,normal-toilet-width-a,normal-toilet-width-b,normal-toilet-width-c,normal-width-a,normal-width-b,normal-width-c,ostomate-floor,ostomate-number,page_builder,park-latitude,park-longitude,parking-capacity,phone,public-latitude,public-longitude,restaurant-latitude,restaurant-longitude,route,route-arakawa,route-disney,route-hokuso,route-jr,route-keikyu,route-keio,route-keisei,route-keiyo,route-metro,route-mitake,route-monorail,route-odakyu,route-rinkai,route-saitama,route-seibu,route-takao,route-tamamonorail,route-tobu,route-toei,route-tokyu,route-toneri,route-tsukuba,route-yurikamome,shopping-latitude,shopping-longitude,shower-chair,sign-language,slider_time,staff-writing,toilet-latitude,toilet-longitude,touchpanel,traffic-latitude,traffic-longitude,tv-with-subtitles,url,use_page_builder,vibrating-clock,wheelchair,wheelchair-1.5m-a,wheelchair-1.5m-b,wheelchair-1.5m-c,wheelchair-barrier-free-a,wheelchair-barrier-free-b,wheelchair-barrier-free-c,wheelchair-bath-step-a,wheelchair-bath-step-b,wheelchair-bath-step-c,wheelchair-bath-width-a,wheelchair-bath-width-b,wheelchair-bath-width-c,wheelchair-bed-num-a,wheelchair-bed-num-b,wheelchair-bed-num-c,wheelchair-breadth-a,wheelchair-breadth-b,wheelchair-breadth-c,wheelchair-capacity-a,wheelchair-capacity-b,wheelchair-capacity-c,wheelchair-image-a,wheelchair-image-b,wheelchair-image-c,wheelchair-parking-capacity,wheelchair-room-img-a,wheelchair-room-img-b,wheelchair-room-img-c,wheelchair-room-type-a,wheelchair-room-type-b,wheelchair-room-type-c,wheelchair-step-a,wheelchair-step-b,wheelchair-step-c,wheelchair-toilet-step-a,wheelchair-toilet-step-b,wheelchair-toilet-step-c,wheelchair-toilet-width-a,wheelchair-toilet-width-b,wheelchair-toilet-width-c,wheelchair-width-a,wheelchair-width-b,wheelchair-width-c,writing-goods,施設情報,区市町村,駅,カテゴリー,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text","Attachment URL","Attachments Filename","Attachments Path","Attachments ID","Attachments Title","Attachments Caption","Attachments Description","Attachments Alt Text",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,"Post Password",Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
40006,"明治神宮外苑 明治神宮野球場",,,"2020-02-02 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40006/,,,,,,,,,,,,,,,,,,,,5003,,,,default,東京都新宿区霞ケ丘町3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东京都新宿区霞丘町3-1,明治神宫外园明治神宫球场,車椅子の入場ゲートは1番のほか13番ゲートもあるが、共に現在工事中。,1F,3,'-,,,,,,,,,,,,,,,,,,,,,,,,"3-1, Kasumigaoka-machi, Shinjuku-ku","Meiji-jingu Gaien Jingu Baseball Stadium",1入口,,394,,,,"도쿄도 신주쿠 구 카스미가 오카 마치 3-1",,"메이지 진구가 이엔 메이지 진구 야구장",35.67455833,,,139.7170581,,,"Shinjuku-ku, Tokyo Kasumigaoka-cho, 3-1","Meiji Jingu Outer Garden Meiji Jingu Stadium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1F,1,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,,03-3404-8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,プロ野球興行時のみ対応可,,,,,,,http://www.jingu-stadium.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'-,レジャー,新宿・中野・杉並>新宿区,,"新宿・中野・杉並>新宿区,施設出入口の段差,階段の手すり,車いす対応エスカレーター,車椅子使用者対応トイレ,オストメイト対応トイレ,筆談対応用備品,施設内おむつ交換台,スタッフの筆談対応,100cm以上,120cm以上,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e6%98%8e%e6%b2%bb%e7%a5%9e%e5%ae%ae%e5%a4%96%e8%8b%91-%e6%98%8e%e6%b2%bb%e7%a5%9e%e5%ae%ae%e9%87%8e%e7%90%83%e5%a0%b4,,,default,,,,open,open,"2021-02-11 06:23:56"
40025,"GINZA KABUKIZA",,,"2020-03-05 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40025/,,,,,,,,,,,,,,,,,,,,3918,,,,default,東京都中央区銀座4-12-15,25_銀座歌舞伎座_000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东京都中央区银座4-12-15,银座歌舞伎,,"B3,B2,B1,1F,2F,3F,4F,5F",11,2,,,,18,13,,,,175,140,,,,2,1,,,,88,88,,,,"4-12-15, Ginza, Chuo-ku","Kabukiza Theatre",正面入口,,95,,,,"도쿄도 츄 오구 긴자 4-12-15",,"GINZA KABUKIZA",35.66963806,,,139.7677072,,,"Tokyo Ginza, Chuo-ku, 4-12-15","GINZA KABUKIZA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B3,B2,B1,1F,2F,3F,4F,5F",11,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,224,'-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,https://kabuki-za.co.jp/,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,レジャー,銀座・日本橋>中央区,,"銀座・日本橋>中央区,駐車場,車いす専用駐車場,施設出入口の段差,点字ブロック,敷地内道路の点字ブロック,館内の点字ブロック,館内案内（点字・浮き出し文字）,エレベーター,12人以上,音声案内,点字表示,車いす利用者用パネル(ボタン),階段の手すり,エスカレーター,車いす対応エスカレーター,車椅子使用者対応トイレ,オストメイト対応トイレ,施設内おむつ交換台,車いすの貸出,80cm未満,2cm未満",,,,,,,,,,,,,,,,,publish,111,,,,,ginza%e3%80%80kabukiza,,,default,,,,open,open,"2021-02-11 06:24:33"
40054,コスモプラネタリウム渋谷,,,"2024-02-19 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40054/,,,,,,,,,,,,,,,,,,,,5504,,2020-02-05||2022-01-20,,default,東京都渋谷区桜丘町23-21,cosmoplanetarium_shibuya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东京都涩谷区樱丘町23-21,宇宙天文馆涩谷,,12F,1,1,,,,22,,,,,184,,,,,3,,,,,109,,,,,"23-21, Sakuragaoka-cho, Shibuya-ku","Cosmo Planetarium Shibuya  ",エントランスロビー,,120,,,,"도쿄도 시부야 구 사쿠라가 오카 쵸 23-21",,"코스모 플라네타륨 시부야",35.65549139,,,139.6999278,,,"Tokyo, Shibuya-ku Sakuragaoka-cho, 23-21","Cosmo Planetarium Shibuya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,,03-3464-2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,平日12:00～20:00、土日祝10:00～20:00,,,,,,,https://www.shibu-cul.jp/planetarium,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,レジャー,渋谷・目黒・世田谷>渋谷区,,"渋谷・目黒・世田谷>渋谷区,施設出入口の段差,点字ブロック,敷地内道路の点字ブロック,施設入口：自動ドア,エレベーター,12人以上,音声案内,点字表示,車いす利用者用パネル(ボタン),階段の手すり,車椅子使用者対応トイレ,筆談対応用備品,施設内おむつ交換台,車いすの貸出,スタッフの筆談対応,100cm以上,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e3%82%b3%e3%82%b9%e3%83%a2%e3%83%97%e3%83%a9%e3%83%8d%e3%82%bf%e3%83%aa%e3%82%a6%e3%83%a0%e6%b8%8b%e8%b0%b7,,,default,,,,open,open,"2024-02-29 11:57:28"
40080,三菱一号館美術館,,,"2020-03-05 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40080/,,,,,,,,,,,,,,,,,,,,4028,,,,default,東京都千代田区丸の内2-6-2,80_三菱一号館美術館_000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东京都千代田区丸之内2-6-2,三菱一号館美術館,,1F,1,1,,,,15,14,16,,,176,192,127,,,2,1,2,,,89,88,131,,,"2-6-2, Marunouchi, Chiyoda-ku","Mitsubishi Ichigokan Museum",中庭口,,127,,,,"도쿄도 치요다 구 마루 노우치 2-6-2",,"미쓰비시 한 호관 미술관",35.67846222,,,139.7633183,,,"Marunouchi, Chiyoda-ku, Tokyo 2-6-2","Mitsubishi Ichigokan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1F,1,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,,050-5541-8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,営業時間内,,,,,,,https://mimt.jp/,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,レジャー,御茶ノ水・九段・後楽園>千代田区,,"御茶ノ水・九段・後楽園>千代田区,施設出入口スロープ,施設出入口の段差,点字ブロック,敷地内道路の点字ブロック,館内の点字ブロック,施設入口：自動ドア,エレベーター,12人以上,音声案内,点字表示,車いす利用者用パネル(ボタン),階段の手すり,車いす対応エスカレーター,車椅子使用者対応トイレ,オストメイト対応トイレ,筆談対応用備品,施設内おむつ交換台,ベビーカーの貸出,車いすの貸出,スタッフの筆談対応,100cm以上,2cm未満",,,,,,,,,,,,,,,,,publish,111,,,,,%e4%b8%89%e8%8f%b1%e4%b8%80%e5%8f%b7%e9%a4%a8%e7%be%8e%e8%a1%93%e9%a4%a8,,,default,,,,open,open,"2021-04-09 10:07:38"
40092,上野の森美術館,,,"2022-01-28 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40092/,,,,,,,,,,,,,,,,,,,,5509,,2020-02-05,,default,東京都台東区上野公園1-2,92_上野の森美術館_000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110-0007 东京都台东区上野公园1-2",上野之森美术馆,,1F,1,1,,,,16,,,,,134,,,,,1,,,,,160,,,,,"1-2, Uenokoen, Taito-ku","The Ueno Royal Museum",本館入口,,166,,,,"110-0007 도쿄도 다이토구 우에노공원 1-2",,"우에노의 숲 미술관",35.71273444,,,139.7748231,,,"Taito-ku, Tokyo Ueno Park 1-2","Ueno Royal Museum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,,03-3833-4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,開館時間中,,,,,,,https://www.ueno-mori.org,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,レジャー,上野・浅草・両国>台東区,,"上野・浅草・両国>台東区,施設出入口の段差,施設入口：自動ドア,エレベーター,12人以上,階段の手すり,車椅子使用者対応トイレ,筆談対応用備品,施設内おむつ交換台,車いすの貸出,スタッフの筆談対応,100cm以上,120cm以上,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e4%b8%8a%e9%87%8e%e3%81%ae%e6%a3%ae%e7%be%8e%e8%a1%93%e9%a4%a8,,,default,,,,open,open,"2022-02-26 17:43:25"
40117,フジテレビジョン,,,"2020-02-26 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40117/,,,,,,,,,,,,,,,,,,,,5062,,,,default,東京都港区台場2-4-8,117_フジテレビジョン_000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东京都港区台场2-4-8,富士电视网络公司,,"1F,5F,7F,24F,25F",6,4,,,,15,24,30,15,,145,170,210,145,,1,2,1,1,,85,110,145,85,,"2-4-8, Daiba, Minato-ku","Fuji Television",フジテレビモール（北側）,,152,,,,"도쿄도 미나토 구 다이 바 2-4-8",,후지,35.626891,,,139.774425,,,"Tokyo, Minato-ku Daiba 2-4-8","Fuji Television Network, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,,'-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,10:00～18:00,,,,,,,https://www.fujitv.co.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,レジャー,お台場・汐留・新橋・六本木・青山>港区,,"お台場・汐留・新橋・六本木・青山>港区,施設出入口の段差,点字ブロック,敷地内道路の点字ブロック,施設入口：自動ドア,エレベーター,12人以上,音声案内,車いす利用者用パネル(ボタン),階段の手すり,エスカレーター,車椅子使用者対応トイレ,施設内おむつ交換台,スタッフの筆談対応,100cm以上,120cm以上,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e3%83%95%e3%82%b8%e3%83%86%e3%83%ac%e3%83%93%e3%82%b8%e3%83%a7%e3%83%b3,,,default,,,,open,open,"2021-02-11 06:14:36"
40120,東京ジョイポリス,,,"2020-03-05 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40120/,,,,,,,,,,,,,,,,,,,,4426,,,,default,"東京都港区台場1-6-1 デックス東京ビーチ  3F～5F",120_東京ジョイポリス_000,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"东京都港区台场1-6-1 Dex Tokyo Beach 3F-5F",东京欢乐城,,"1F,3F",2,5,,,,31,,,,,259,,,,,1,,,,,150,,,,,"3F–5F, Decks Tokyo Beach, 1-6-1 Daiba, Minato-ku","Tokyo Joypolis",,,90,,,,"도쿄도 미나토 구 다이 바 1-6-1 덱스 도쿄 비치 3F ~ 5F",,"도쿄 조이 폴리스",35.62903694,,,139.7755131,,,"Tokyo, Minato-ku Daiba 1-6-1 Decks Tokyo Beach 3F ~ 5F","Tokyo Joypolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,,03-5500-1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,10:00～22:00(営業時間内),,,,,,,https://tokyo-joypolis.com,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'-,レジャー,お台場・汐留・新橋・六本木・青山>港区,,"お台場・汐留・新橋・六本木・青山>港区,施設出入口の段差,エレベーター,12人以上,階段の手すり,エスカレーター,車椅子使用者対応トイレ,筆談対応用備品,施設内おむつ交換台,ベビーカーの貸出,車いすの貸出,スタッフの筆談対応,80cm未満,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e6%9d%b1%e4%ba%ac%e3%82%b8%e3%83%a7%e3%82%a4%e3%83%9d%e3%83%aa%e3%82%b9,,,default,,,,open,open,"2021-02-11 06:25:00"
40136,"六本木ヒルズ展望台 東京シティビュー",,,"2023-02-07 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40136/,,,,,,,,,,,,,,,,,,,,6896,,2020-02-21||2021-01-02,,default,"東京都 港区六本木 6-10-1 六本木ヒルズ森タワー52F",136_六本木ヒルズ展望台東京シティビュー_000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"东京都港区六本木6-10-1 六本木新城森大厦",六本木新城展望台　东京城市观景,,52F,1,1,,,,22,15,,,,190,156,,,,5,2,,,,108,89,,,,"52F & rooftop, Roppongi Hills Mori Tower, 6-10-1, Roppongi, Minato-ku","Tokyo City View",,,183,,,,"도쿄도 미나토구 롯본기6-10-1　롯본기 힐즈 모리타워",,"롯폰기 힐즈 전망대 도쿄 시티 뷰",35.66040028,,,139.729245,,,"Roppongi, Minato-ku, Tokyo, 6-10-1 Roppongi Hills Mori Tower 52F · rooftop","Roppongi Hills Tokyo City View observation deck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,2762,03-6406-6652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,営業時間内,,,,,,,https://tcv.roppongihills.com/,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,レジャー,お台場・汐留・新橋・六本木・青山>港区,,"お台場・汐留・新橋・六本木・青山>港区,施設出入口の段差,施設入口：自動ドア,エレベーター,12人以上,音声案内,点字表示,車いす利用者用パネル(ボタン),階段の手すり,エスカレーター,可動式スロープ,車椅子使用者対応トイレ,筆談対応用備品,施設内おむつ交換台,車いすの貸出,スタッフの筆談対応,100cm以上,120cm以上,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e5%85%ad%e6%9c%ac%e6%9c%a8%e3%83%92%e3%83%ab%e3%82%ba%e5%b1%95%e6%9c%9b%e5%8f%b0%e6%9d%b1%e4%ba%ac%e3%82%b7%e3%83%86%e3%82%a3%e3%83%93%e3%83%a5%e3%83%bc,,,default,,,,open,open,"2023-02-08 04:46:49"
40137,東京タワー,,,"2020-03-05 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40137/,,,,,,,,,,,,,,,,,,,,5494,,,,default,東京都港区芝公園4-2-8,137_東京タワー_000,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东京都港区芝耕园4-2-8,东京塔,,"1F,2F",4,15,,,,32,23,13,12,,240,220,210,179,,3,2,1,1,,125,95,76,80,,"4-2-8, Shibakoen, Minato-ku","Tokyo Tower",フットタウン1階正面玄関,,155,,,,"도쿄도 미나토 구 시바 공원 4-2-8",,"도쿄 타워",35.65854444,,,139.74549,,,"Tokyo, Minato-ku, Shiba 4-2-8","Tokyo Tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2F,2,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,200,03-3433-5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,営業時間内,,,,,,,https://tokyotower.co.jp/,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,8,レジャー,お台場・汐留・新橋・六本木・青山>港区,,"お台場・汐留・新橋・六本木・青山>港区,駐車場,車いす専用駐車場,施設出入口の段差,施設入口：自動ドア,エレベーター,12人以上,音声案内,点字表示,車いす利用者用パネル(ボタン),階段の手すり,エスカレーター,車椅子使用者対応トイレ,オストメイト対応トイレ,筆談対応用備品,施設内おむつ交換台,ベビーチェアの貸出,ベビーカーの貸出,車いすの貸出,スタッフの筆談対応,100cm以上,120cm以上,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e6%9d%b1%e4%ba%ac%e3%82%bf%e3%83%af%e3%83%bc,,,default,,,,open,open,"2021-02-11 06:13:29"
40138,アーク森ビル,,,"2020-03-05 15:00:00",facility,https://www.daredemo-tokyo.metro.tokyo.lg.jp/facility/leisure/40138/,,,,,,,,,,,,,,,,,,,,4077,,,,default,東京都港区赤坂1-12-32,138_アーク森ビル_000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东京都港区赤坂1-12-32,ARK森大厦,,"1F,2F,3F",3,4,,,,13,30,9,,,142,278,123,,,3,1,1,,,90,140,90,,,"1-12-32, Akasaka, Minato-ku","Ark Mori Building",溜池山王駅側入口,,120,,,,"도쿄도 미나토 구 아카사카 1-12-32",,"아크 모리 빌딩",35.66714556,,,139.7400175,,,"Akasaka, Minato-ku, Tokyo 1-12-32","ARK Mori Building",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1F,1,"a:2:{s:3:""row"";a:1:{s:7:""indexes"";a:0:{}}s:6:""widget"";a:0:{}}",,,126,'-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,8:30～19:00,,,,,,,https://www.arkhills.com/,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,レジャー,お台場・汐留・新橋・六本木・青山>港区,,"お台場・汐留・新橋・六本木・青山>港区,駐車場,車いす専用駐車場,施設出入口スロープ,施設出入口の段差,点字ブロック,敷地内道路の点字ブロック,施設入口：自動ドア,エレベーター,12人以上,11人以下,音声案内,点字表示,車いす利用者用パネル(ボタン),階段の手すり,エスカレーター,車椅子使用者対応トイレ,オストメイト対応トイレ,施設内おむつ交換台,車いすの貸出,スタッフの筆談対応,100cm以上,2cm未満,授乳室",,,,,,,,,,,,,,,,,publish,111,,,,,%e3%82%a2%e3%83%bc%e3%82%af%e6%a3%ae%e3%83%93%e3%83%ab,,,default,,,,open,open,"2021-02-11 06:22:10"
