品目,出入,実績値H13/2001,実績値H14/2002,実績値H15/2003,実績値H16/2004,実績値H17/2005,実績値H18/2006,実績値H19/2007,実績値H20/2008,実績値H21/2009,実績値H22/2010,実績値(参考)H23/2011,実績値(参考)H24/2012,推計値H30代後半,
主な長距離航路計,輸出（千ＴＥＵ）,600,621,592,624,629,621,598,570,492,526,557,498,693,
主な長距離航路計,輸入（千ＴＥＵ）,778,816,818,837,819,794,754,708,610,640,636,614,848,
主な長距離航路計,計（千ＴＥＵ）,1378,1437,1410,1461,1447,1415,1352,1277,1101,1167,1193,1112,1542,
主な長距離航路計北米西岸航路,輸出（千ＴＥＵ）,304,267,253,308,324,318,303,287,246,260,271,288,359,
主な長距離航路計北米西岸航路,輸入（千ＴＥＵ）,340,328,326,399,407,393,371,347,297,310,306,330,440,
主な長距離航路計北米西岸航路,計（千ＴＥＵ）,644,595,579,707,731,711,675,634,543,570,577,618,799,
主な長距離航路計北米東岸航路,輸出（千ＴＥＵ）,40,40,41,32,42,50,57,64,65,79,96,91,116,
主な長距離航路計北米東岸航路,輸入（千ＴＥＵ）,50,48,58,40,49,57,63,69,69,84,97,103,143,
主な長距離航路計北米東岸航路,計（千ＴＥＵ）,90,88,99,73,92,107,120,134,134,163,193,194,259,
主な長距離航路計欧州・地中海航路,輸出（千ＴＥＵ）,256,313,297,284,262,253,238,218,181,188,189,119,218,
主な長距離航路計欧州・地中海航路,輸入（千ＴＥＵ）,387,441,435,397,362,344,319,291,243,246,233,181,266,
主な長距離航路計欧州・地中海航路,計（千ＴＥＵ）,644,754,732,681,625,598,557,509,425,433,422,300,484,
中・短距離その他の航路計,輸出（千ＴＥＵ）,594,637,793,907,1035,1094,1122,1159,1068,1212,1356,1450,1825,
中・短距離その他の航路計,輸入（千ＴＥＵ）,636,711,872,990,1115,1186,1246,1291,1230,1437,1595,1673,2234,
中・短距離その他の航路計,計（千ＴＥＵ）,1230,1348,1665,1898,2150,2281,2369,2450,2298,2650,2951,3123,4060,
中・短距離その他の航路計東南アジア航路,輸出（千ＴＥＵ）,293,323,353,375,422,444,456,455,411,466,498,579,827,
中・短距離その他の航路計東南アジア航路,輸入（千ＴＥＵ）,373,422,482,505,564,599,622,643,613,712,787,887,1012,
中・短距離その他の航路計東南アジア航路,計（千ＴＥＵ）,667,744,835,880,986,1043,1078,1097,1024,1178,1285,1466,1838,
中・短距離その他の航路計近海航路,輸出（千ＴＥＵ）,242,274,402,504,582,619,635,675,632,718,828,826,950,
中・短距離その他の航路計近海航路,輸入（千ＴＥＵ）,191,231,336,445,509,546,583,608,582,687,769,738,1163,
中・短距離その他の航路計近海航路,計（千ＴＥＵ）,433,505,738,948,1091,1164,1219,1284,1213,1405,1597,1564,2114,
中・短距離その他の航路計豪州・ＮＺ航路,輸出（千ＴＥＵ）,28,22,27,24,24,22,20,18,14,13,13,19,17,
中・短距離その他の航路計豪州・ＮＺ航路,輸入（千ＴＥＵ）,33,29,33,31,30,28,24,21,16,14,11,12,20,
中・短距離その他の航路計豪州・ＮＺ航路,計（千ＴＥＵ）,61,51,60,55,54,50,44,38,30,27,24,31,37,
中・短距離その他の航路計その他航路,輸出（千ＴＥＵ）,30,19,12,6,8,9,11,12,12,15,17,26,32,
中・短距離その他の航路計その他航路,輸入（千ＴＥＵ）,38,29,21,9,12,14,17,19,19,24,28,36,39,
中・短距離その他の航路計その他航路,計（千ＴＥＵ）,69,48,32,15,19,24,28,31,31,39,45,61,71,
合計,輸出（千ＴＥＵ）,1194,1258,1384,1531,1664,1716,1721,1729,1560,1739,1913,1948,2519,
合計,輸入（千ＴＥＵ）,1413,1526,1690,1827,1934,1980,2000,1998,1839,2078,2231,2287,3083,
合計,計（千ＴＥＵ）,2607,2784,3075,3358,3598,3696,3720,3727,3399,3816,4144,4235,5601,
