外内別,種別,基準年Ｈ22,推計値Ｈ30代後半,増減量Ｈ22～Ｈ37
外貿,コンテナ計(千トン),42819,66234,23415
外貿,コンテナ輸出(千トン),12926,21436,8510
外貿,コンテナ輸入(千トン),29893,44799,14906
外貿,在来計(千トン）,2316,2513,198
外貿,在来輸出(千トン）,645,714,69
外貿,在来輸入(千トン）,1671,1799,129
外貿,専用計(千トン）,15,15,
外貿,専用輸出(千トン）,3,3,
外貿,専用輸入(千トン）,11,11,
内貿,ユニット計(千トン）,8638,12389,3751
内貿,ユニット移出(千トン）,4822,6688,1865
内貿,ユニット移入(千トン）,3815,5701,1886
内貿,フィーダー計(千トン）,1123,3660,2537
内貿,フィーダー移出（千トン）,513,1673,1160
内貿,フィーダー移入（千トン）,609,1986,1377
内貿,在来計(千トン）,5446,6254,807
内貿,在来移出(千トン）,2238,2443,205
内貿,在来移入(千トン）,3209,3810,602
内貿,フェリー計(千トン）,7057,7057,
内貿,フェリー移出(千トン）,3604,3604,
内貿,フェリー移入(千トン）,3453,3453,
内貿,専用計(千トン）,10099,10125,26
内貿,専用移出(千トン）,254,254,0
内貿,専用移入(千トン）,9845,9871,26
内貿,合計(千トン）,77513,108246,30733
内貿,合計外貿(千トン）,45150,68763,23614
内貿,合計内貿(千トン）,32363,39484,7121
