品目,出入,基準年Ｈ22,設定値Ｈ30年代後半,推計方法類型,推計方法
農水産品米穀類,輸出(千トン),3,3,4型,現状維持
農水産品米穀類,輸入(千トン),454,454,4型,現状維持
農水産品米穀類,計(千トン),458,458,,
農水産品野菜・果物,輸出(千トン),24,24,4型,現状維持
農水産品野菜・果物,輸入(千トン),1570,1570,１型,現状維持
農水産品野菜・果物,計(千トン),1595,1595,,
農水産品水産品,輸出(千トン),146,146,4型,現状維持
農水産品水産品,輸入(千トン),897,982,１型,直近3カ年の最大値
農水産品水産品,計(千トン),1042,1128,,
農水産品その他,輸出(千トン),51,59,2型,直近3カ年の最大値
農水産品その他,輸入(千トン),1178,1212,１型,直近3カ年の最大値等
農水産品その他,計(千トン),1229,1271,,
林産品原木,輸出(千トン),2,2,4型,現状維持
林産品原木,輸入(千トン),7,7,4型,現状維持
林産品原木,計(千トン),8,8,,
林産品製材,輸出(千トン),19,19,4型,現状維持
林産品製材,輸入(千トン),794,855,１型,直近3カ年の最大値
林産品製材,計(千トン),812,874,,
林産品その他,輸出(千トン),0,0,4型,現状維持
林産品その他,輸入(千トン),145,145,2型,直近3カ年の最大値
林産品その他,計(千トン),145,145,,
鉱産品石炭,輸出(千トン),0,0,4型,現状維持
鉱産品石炭,輸入(千トン),132,134,2型,直近3カ年の最大値
鉱産品石炭,計(千トン),132,134,,
鉱産品砂利・砂,輸出(千トン),2,2,4型,現状維持
鉱産品砂利・砂,輸入(千トン),126,133,2型,直近3カ年の最大値
鉱産品砂利・砂,計(千トン),128,135,,
鉱産品原油,輸出(千トン),,,4型,現状維持
鉱産品原油,輸入(千トン),3,3,2型,直近3カ年の最大値
鉱産品原油,計(千トン),3,3,,
鉱産品その他,輸出(千トン),8,8,2型,直近3カ年の最大値
鉱産品その他,輸入(千トン),211,211,2型,直近3カ年の最大値
鉱産品その他,計(千トン),219,219,,
金属機械工業品鉄鋼,輸出(千トン),293,761,１型,直近3カ年のトレンド
金属機械工業品鉄鋼,輸入(千トン),189,234,2型,直近3カ年の最大値
金属機械工業品鉄鋼,計(千トン),483,996,,
金属機械工業品非鉄金属金属類,輸出(千トン),366,387,2型,直近3カ年の最大値
金属機械工業品非鉄金属金属類,輸入(千トン),1064,2052,１型,消費動向等より推計
金属機械工業品非鉄金属金属類,計(千トン),1430,2439,,
金属機械工業品輸送機械(フェリー除),輸出(千トン),1755,3551,1型,GDP等より推計
金属機械工業品輸送機械(フェリー除),輸入(千トン),975,997,2型,直近3カ年の最大値
金属機械工業品輸送機械(フェリー除),計(千トン),2730,4549,,
金属機械工業品その他,輸出(千トン),2680,3307,1型,直近3カ年の最大値等
金属機械工業品その他,輸入(千トン),4687,6474,1型,消費動向等より推計
金属機械工業品その他,計(千トン),7367,9782,,
化学工業品石油類,輸出(千トン),24,24,2型,直近3カ年の最大値
化学工業品石油類,輸入(千トン),23,24,2型,直近3カ年の最大値
化学工業品石油類,計(千トン),47,48,,
化学工業品セメント,輸出(千トン),4,5,2型,直近3カ年の最大値
化学工業品セメント,輸入(千トン),5,9,2型,直近3カ年の最大値
化学工業品セメント,計(千トン),10,14,,
化学工業品その他,輸出(千トン),2328,2522,1型,消費動向、GDP等より推計
化学工業品その他,輸入(千トン),2974,4145,1型,消費動向等より推計
化学工業品その他,計(千トン),5303,6667,,
軽工業品紙・パルプ,輸出(千トン),197,274,2型,直近3カ年の最大値
軽工業品紙・パルプ,輸入(千トン),1039,1039,1型,直近3カ年の最大値
軽工業品紙・パルプ,計(千トン),1236,1313,,
軽工業品砂糖,輸出(千トン),1,1,4型,現状維持
軽工業品砂糖,輸入(千トン),41,45,2型,現状維持
軽工業品砂糖,計(千トン),42,46,,
軽工業品その他,輸出(千トン),345,345,2型,直近3カ年の最大値
軽工業品その他,輸入(千トン),3639,4816,１型,消費動向等より推計
軽工業品その他,計(千トン),3983,5160,,
雑工業品,輸出(千トン),1227,1343,1型,直近3カ年最大値
雑工業品,輸入(千トン),8772,12007,1型,消費動向等より推計
雑工業品,計(千トン),9999,13350,,
特殊品金属くず,輸出(千トン),630,681,1型,直近3カ年の最大値
特殊品金属くず,輸入(千トン),43,65,2型,直近3カ年の最大値
特殊品金属くず,計(千トン),673,747,,
特殊品廃棄物(廃土砂),輸出(千トン),,,5型,取扱なし
特殊品廃棄物(廃土砂),輸入(千トン),,,5型,取扱なし
特殊品廃棄物(廃土砂),計(千トン),,,,
特殊物取寄せ品,輸出(千トン),312,698,1型,直近3カ年の最大値
特殊物取寄せ品,輸入(千トン),1108,1154,1型,直近3カ年の最大値
特殊物取寄せ品,計(千トン),1420,1852,,
特殊品その他,輸出(千トン),3154,5388,1型,消費動向等より推計
特殊品その他,輸入(千トン),1488,2393,1型,直近3カ年のトレンド等より推計
特殊品その他,計(千トン),4642,7781,,
分別不能のもの,輸出(千トン),,,,
分別不能のもの,輸入(千トン),,,,
分別不能のもの,計(千トン),,,,
合計,輸出(千トン),13572,19551,,
合計,輸入(千トン),31563,41160,,
合計,計(千トン),45135,60711,,
