品目,出入,実績値Ｈ２２,推計値Ｈ３０代後半,推計方法
農水産品米穀類,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品米穀類,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品米穀類,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品野菜・果物,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品野菜・果物,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品野菜・果物,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品水産品,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品水産品,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品水産品,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品その他,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品その他,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
農水産品その他,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品原木,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品原木,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品原木,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品製材,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品製材,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品製材,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品その他,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品その他,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
林産品その他,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品石炭,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品石炭,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品石炭,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品砂利・砂,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品砂利・砂,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品砂利・砂,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品原油,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品原油,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品原油,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品その他,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品その他,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
鉱産品その他,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品鉄鋼,輸出(千トン),3,3,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品鉄鋼,輸入(千トン),10,10,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品鉄鋼,計(千トン),14,14,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品非鉄金属金属類,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品非鉄金属金属類,輸入(千トン),1,1,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品非鉄金属金属類,計(千トン),1,1,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品輸送機械(フェリー除),輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品輸送機械(フェリー除),輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品輸送機械(フェリー除),計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品その他,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品その他,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
金属機械工業品その他,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品石油類,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品石油類,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品石油類,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品セメント,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品セメント,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品セメント,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品その他,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品その他,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
化学工業品その他,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品紙・パルプ,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品紙・パルプ,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品紙・パルプ,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品砂糖,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品砂糖,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品砂糖,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品その他,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品その他,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
軽工業品その他,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
雑工業品,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
雑工業品,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
雑工業品,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品金属くず,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品金属くず,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品金属くず,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品廃棄物(廃土砂),輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品廃棄物(廃土砂),輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品廃棄物(廃土砂),計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊物取寄せ品,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊物取寄せ品,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊物取寄せ品,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品その他,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品その他,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
特殊品その他,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
分別不能のもの,輸出(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
分別不能のもの,輸入(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
分別不能のもの,計(千トン),,,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
合計,輸出(千トン),3,3,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
合計,輸入(千トン),11,11,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
合計,計(千トン),15,15,外貿専用貨物量は、近年取扱いが減少しているため、現状程度を見込むこととして推計した。
