,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
25年度,564,565,564,567,570,570,574,,,,,
24年度,554,555,562,569,580,580,578,579,571,572,569,565
23年度,552,553,551,551,557,556,553,559,557,556,556,552
22年度,553,555,552,555,556,553,550,558,555,556,556,552
21年度,573,579,578,581,577,573,575,572,571,570,568,557
20年度,571,573,574,577,582,576,576,573,573,572,575,563
19年度,565,571,574,577,584,585,585,581,572,568,569,563
18年度,521,527,531,538,545,551,553,558,560,562,563,564
17年度,511,512,516,521,518,510,512,510,516,516,514,514
16年度,521,528,522,520,519,521,519,510,510,515,518,514
15年度,543,537,538,532,535,534,530,527,528,529,526,522
14年度,553,557,550,556,559,557,556,559,552,553,552,541
13年度,567,566,565,574,571,560,558,558,562,558,554,549
12年度,571,579,578,583,585,585,590,584,584,580,578,557
11年度,515,518,516,527,527,530,533,528,538,552,557,551
