町村名,事業（都道番号）,工事内容,工事費（千円）
大島町,道路整備（都208）,改良・舗装,299324
大島町,道路整備（都208）,調査委託,11997
大島町,交通安全施設整備（都208、210）,工事,7009
大島町,交通安全施設整備（都208、210）,調査委託,18054
大島町,橋梁維持（都208）,委託,410
大島町,道路補修（都207、208）,路面補修等,358984
大島町,道路補修（都207、208）,調査委託,18468
大島町,道路災害防除（都207、208）,工事,83533
大島町,道路災害防除（都207、208、209、210）,調査委託,1282
大島町,道路維持（都207、208、209、210）,工事,22150
大島町,道路維持（都207、208、209、210）,委託,117330
大島町,計,,938541
利島村,橋梁維持（都228）,工事,14713
利島村,道路補修（都228）,路面補修等,24192
利島村,道路補修（都228）,委託,2916
利島村,道路災害防除（都228）,調査委託,208
利島村,道路維持（都228）,工事,1333
利島村,道路維持（都228）,委託,10785
利島村,計,,54147
新島村,交通安全施設整備,工事,31303
新島村,道路補修,路面補修等,37800
新島村,道路補修,委託,1944
新島村,道路維持（都211、237）,工事,10863
新島村,道路維持（都211、237）,委託,33191
新島村,計,,115101
神津島村,道路整備（都224）,工事,53930
神津島村,道路整備（都224）,調査委託,9176
神津島村,橋梁維持（都224）,工事,18695
神津島村,交通安全施設整備（都224）,歩道設置等,88158
神津島村,交通安全施設整備（都224）,調査委託,3243
神津島村,道路災害防除（都224）,調査委託,8136
神津島村,道路維持（都224）,工事,11470
神津島村,道路維持（都224）,委託,24296
神津島村,計,,217104
計,,,1325343
