月,着陸回数／新中央航空,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(6ｔ以上)（円）,使用料／着陸料／小型(6ｔ未満)（円）,使用料／着陸料／合計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,使用料／合計（円）
4,73,1,5,79,11753,1000,12753,0,0,12753
5,82,1,1,84,13202,1000,14202,0,0,14202
6,67,2,9,78,10787,2000,12787,0,0,12787
7,72,11,2,85,11592,11000,22592,1,810,23402
8,99,5,1,105,15939,5000,20939,0,0,20939
9,78,2,8,88,12558,2000,14558,0,0,14558
10,84,0,5,89,13524,0,13524,0,0,13524
11,80,0,6,86,12880,0,12880,1,1650,14530
12,85,1,2,88,13685,1000,14685,0,0,14685
1,84,3,3,90,13524,3000,16524,0,0,16524
2,73,1,6,80,11753,1000,12753,0,0,12753
3,88,3,3,94,14168,3000,17168,2,1620,18788
計,965,30,51,1046,155365,30000,185365,4,4080,189445
