車種,大島（台）,利島（台）,新島（台）,神津島（台）,合計（台）
ダンプ／2t,43,2,7,4,56
ダンプ／3t,7,2,4,2,15
ダンプ／4t,41,1,12,14,68
ダンプ／8t,8,0,0,0,8
ダンプ／10t,33,3,5,6,47
ダンプ／11t,0,0,0,0,0
ダンプ小計,132,8,28,26,194
トラック（平床）／1t,7,0,8,5,20
トラック（平床）／1.5t,2,0,1,1,4
トラック（平床）／2t,6,0,7,3,16
トラック（平床）／4t,17,1,8,5,31
トラック（平床）／6t,1,0,0,0,1
トラック（平床）／8t,3,1,1,2,7
トラック（平床）／11t,6,0,3,2,11
トラック（平床）／32t,0,0,0,2,2
トラック小計,42,2,28,20,92
ブルドーザー,3,0,0,1,4
ペーローダー,77,3,22,17,119
パワーシャベル,155,8,28,53,244
クレーン車,19,1,14,8,42
コンプレッサー,17,1,6,11,35
ローラー,28,1,3,8,40
グレーダー,1,0,0,0,1
ミキサー車,33,4,16,13,66
パイプレーダー,13,6,8,34,61
ドーザーシャベル,0,0,0,0,0
ブレーカー,48,3,8,25,84
トラクター,8,1,0,0,9
その他小計,402,28,105,170,705
合計,576,38,161,216,991
