年度末,End of fiscal year,図書館,Library,開館日数 1) (年度中) Number of open days (during fiscal year) ,入館者数(年度中) Number of visitors (during fiscal year) ,館外貸出登録者 Number of registered users,職員数 Number of personnel,職員数 Number of personnel／うち司書数 of which librarians
平成21,2009,総数,Total,332,430754,-,129,97
平成22,2010,総数,Total,333,443739,-,127,96
平成23,2011,総数,Total,327,416246,-,117,89
平成23,2011,中央,Central,324,317554,-,100,75
平成23,2011,多摩,Tama,329,98692,-,17,14
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,
17-9  国公立図書館 (3) 都立図書館入館者，館外貸出登録者及び職員数 (平成21～23年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (3) NUMBERS OF VISITORS， REGISTERED USERS， AND PERSONNEL AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2009-2011 ),,,,,,,,
注 1) 年度の数値は平均開館日数。 ,,,,,,,,
Note: 1) The number of open days for the fiscal year is the average numbers of open days at all metropolitan libraries. ,,,,,,,,
資料：都立中央図書館 Source: Tokyo Metropolitan Central Library,,,,,,,,
