男女区分 ,male female classification,区分 ,classification,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,male,握力 (kg) ,Grip strength (kg),9.1,10.8,12.7,14.6,16.6,19.4,23.4,28.6,33.6,36.8,39.2,40.8,35.9,38.3,39.6,41.7
男 ,male,上体起こし (回) ,Sit-up (times),11.2,14.2,16.3,18.5,20.2,22.1,24.3,27.4,29.7,29.5,30.6,31.4,23.6,24.4,25.3,23.9
男 ,male,長座体前屈 (cm),Sit and reach (cm),25.9,27.5,29.7,31.4,33.6,35.8,38.6,42.1,46,46,47.8,49,42.4,43.3,43.4,43.3
男 ,male,反復横とび (点) ,Side step (points)　　,27,30.9,34.6,38.7,42.2,45.4,49.3,52.4,55.2,55.9,57,57.7,48.8,50.1,50.5,48.7
男 ,male,持久走 (秒) ,1500m run (seconds),…,…,…,…,…,…,427.9,386.8,375.7,388.1,379.8,378.6,439.9,445.1,422.9,458.5
男 ,male,20ｍシャトルラン (回) ,20m shuttle run (times),17.7,27.6,36,44.4,51.3,59,68.7,83.3,91,84.9,91.4,90.7,58.1,65.1,63.6,58.9
男 ,male,50ｍ走 (秒) ,50m run (seconds),11.4,10.5,10,9.6,9.2,8.8,8.6,7.9,7.5,7.5,7.3,7.3,7.7,7.7,7.6,7.7
男 ,male,立ち幅とび (cm) ,Standing long jump (cm),112.5,124.1,134.7,143.8,152.4,163.7,178.8,195.4,209.6,217.8,224.5,227.5,206.1,210.8,214.2,213.4
男 ,male,ハンドボール投げ (m) ,Handball throw (m) 1) ,7.6,11,14.7,18.1,21.4,25,17.6,20.4,23,23.2,24.4,25.5,21.1,22.2,23.1,23.1
女,female,握力 (kg) ,Grip strength (kg),8.4,10.2,11.9,13.8,16.2,19.2,21.5,23.6,24.8,25.2,26.1,26.3,23.6,24.4,24.5,25.7
女,female,上体起こし (回) ,Sit-up (times),10.9,13.7,15.7,17.9,19.4,20.8,22,24.3,25.3,24.2,24.4,24.4,18,18.7,18.8,17.1
女,female,長座体前屈 (cm),Sit and reach (cm),28.5,30.8,33.3,35.6,38.2,41.2,43.1,45.2,47,46.5,47.4,47.9,42.9,43.7,43.4,42.3
女,female,反復横とび (点) ,Side step (points)　　,25.9,29.6,32.8,37,40.5,43.3,46.2,47.4,48,48.6,48.7,48.8,41.9,42.3,42.2,40.6
女,female,持久走 (秒) ,1000m run (seconds),…,…,…,…,…,…,302.7,286.1,288.4,303.2,303.8,306,348.2,354.9,364.2,368.6
女,female,20ｍシャトルラン (回) ,20m shuttle run (times),14.5,20.9,26.6,33.6,40.4,46.4,52,58.5,58.4,53.2,55.5,54.9,33.4,33.5,36.1,30.1
女,female,50ｍ走 (秒) ,50m run (seconds),11.8,10.9,10.3,9.9,9.5,9.1,9,8.8,8.7,8.8,8.8,8.9,9.4,9.4,9.4,9.8
女,female,立ち幅とび (cm) ,Standing long jump (cm),104.7,115.9,126.6,136.5,146,155.6,165.3,169.8,171.5,172.7,173.2,173.9,156.5,156.3,155.4,149.9
女,female,ハンドボール投げ (m) ,Handball throw (m) 1) ,5.2,7,8.9,10.9,12.9,14.8,11.2,12.6,13.5,13.3,13.6,13.9,11.6,11.9,11.8,11.8
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (平成30年) 17-3  RESULTS OF MOTOR FITNESS TESTS ( 2018 ),,,,,,,,,,,,,,,,,,,
a) Senior high school ( Full-time ),,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,
