地域階層,地域コード,項番 Item number,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数　Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
0,13000,,総数,Tokyo-to,,11930,79064271,82,20303447,8168,37194056,2,1761000,6,4130054,38,8017759,3378,3124189,12,3549563,244,984203
1,13100,,区部,All ku,,6131,41264330,48,10150802,4281,17943895,1,67000,-,-,38,8017759,1606,1167391,11,3540464,146,377019
2,13101,1,千代田区,Chiyoda-ku,,52,1709326,1,161637,22,104569,-,-,-,-,-,-,24,6415,5,1436705,-,-
2,13102,2,中央区,Chuo-ku,,94,613383,1,250216,57,323375,-,-,-,-,1,24513,33,11856,-,-,2,3424
2,13103,3,港区,Minato-ku,,119,1406520,4,235658,47,266339,-,-,-,-,3,541119,59,94603,1,263716,5,5086
2,13104,4,新宿区,Shinjuku-ku,,182,1145768,1,186472,176,359457,-,-,-,-,-,-,1,3983,2,593011,2,2844
2,13105,5,文京区,Bunkyo-ku,,115,553078,2,158657,45,203327,-,-,-,-,-,-,67,29506,1,161588,-,-
2,13106,6,台東区,Taito-ku,,75,773677,2,556742,50,193301,-,-,-,-,-,-,23,23633,-,-,-,-
2,13107,7,墨田区,Sumida-ku,,146,781806,3,133593,141,639454,-,-,-,-,-,-,-,-,-,-,2,8760
2,13108,8,江東区,Koto-ku,,311,4464887,6,1139837,168,1154767,1,67000,-,-,18,1985943,93,32895,-,-,25,84445
2,13109,9,品川区,Shinagawa-ku,,280,1370587,2,217554,149,518333,-,-,-,-,6,512212,119,121097,-,-,4,1391
2,13110,10,目黒区,Meguro-ku,,132,489914,-,114276,82,350107,-,-,-,-,-,-,49,24841,-,-,1,690
2,13111,11,大田区,Ota-ku,,559,2937434,-,-,505,2033614,-,-,-,-,9,836500,37,58873,-,-,8,8448
2,13112,12,世田谷区,Setagaya-ku,,566,2887007,4,921708,424,1614871,-,-,-,-,-,-,125,130693,1,183991,12,35745
2,13113,13,渋谷区,Shibuya-ku,,133,1631397,2,568910,129,160947,-,-,-,-,-,-,-,-,1,901452,1,88
2,13114,14,中野区,Nakano-ku,,198,466056,-,-,166,435034,-,-,-,-,-,-,27,24622,-,-,5,6400
2,13115,15,杉並区,Suginami-ku,,333,1187965,3,530992,278,624265,-,-,-,-,-,-,50,25396,-,-,2,7311
2,13116,16,豊島区,Toshima-ku,,153,206951,-,-,88,181287,-,-,-,-,-,-,65,25665,-,-,-,-
2,13117,17,北区,Kita-ku,,190,1081410,1,71647,84,898546,-,-,-,-,-,-,97,62459,-,-,8,48758
2,13118,18,荒川区,Arakawa-ku,,112,436300,2,191211,36,207050,-,-,-,-,-,-,72,34640,-,-,2,3398
2,13119,19,板橋区,Itabashi-ku,,357,1945026,2,462480,344,1421808,-,-,-,-,-,-,-,-,-,-,11,60739
2,13120,20,練馬区,Nerima-ku,,695,2137063,4,1059016,465,978100,-,-,-,-,-,-,219,90862,-,-,7,9085
2,13121,21,足立区,Adachi-ku,,518,3264328,3,911199,346,2234193,-,-,-,-,-,-,151,91108,-,-,18,27828
2,13122,22,葛飾区,Katsushika-ku,,329,2006820,1,928253,152,908628,-,-,-,-,-,-,165,151011,-,-,11,18927
2,13123,23,江戸川区,Edogawa-ku,,482,7732869,4,1315985,327,2132526,-,-,-,-,1,4117473,130,123233,-,-,20,43652
0,99999,24,その他,Others,※1,-,34760,-,34760,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,99999,,その他,Others,※2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,13200,,市部,All shi,,5676,32077093,32,8952507,3797,18887157,1,1694000,1,108397,-,-,1746,1818748,1,9099,98,607184
2,13201,1,八王子市,Hachioji-shi,,881,7046550,5,1257579,796,5638405,-,-,-,-,-,-,64,70273,-,-,16,80293
2,13202,2,立川市,Tachikawa-shi,,257,1774790,-,32775,97,579919,1,1078000,-,-,-,-,151,55217,-,-,8,28878
