年度,Fiscal year,幼稚園 Kindergarten,小学校 Elementary school,中学校 Junior high school,義務教育学校 Compulsory education school,高等学校(全日制) Senior high school (Full-time),高等学校(定時制) Senior high school (part-time),高等学校(通信制) Senior high school (correspondence course),中等教育学校 Secondary education school,特別支援学校 Special needs school
平成28,2016,18745,55264,76120,64367,59121,43510,312,133841,40303
平成29,2017,17734,56093,78066,64610,59675,40856,270,127444,38441
平成30,2018,17506,57537,78651,66351,60338,39044,290,130047,38209
,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-2  公立学校別保護者が負担する一人当たり学校納付金 (平成28～30年度) 17-2  SCHOOL FEES PAID BY GUARDIANS PER CHILD BY TYPE OF PUBLIC SCHOOL ( Fiscal Years 2016-2018 ) ,,,,,,,,,,
保護者が負担する学校納付金とは，教材費，学校給食費等をいい，入学金，授業料等を含まない。,,,,,,,,,,
School fees paid by guardians include expenses for textbooks and other learning materials and school meals， but exclude school admission fees and tuition fees， among others. ,,,,,,,,,,
資料：都教育庁総務部教育情報課 「保護者が負担する教育費調査報告書－学校納付金調査－」   Source: Office of Education， TMG,,,,,,,,,,
（単位　円）(In yen)  ,,,,,,,,,,
