年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned,設置者保有 Owned／屋外運動場 Sports grounds,設置者保有 Owned／実験実習地 Land for laboratories and workshops,設置者保有 Owned／建物敷地・その他 Land for buildings and others,借用土地 Rented land
平成27,2015,総数,Total,,12458937,11277919,…,…,…,1181018
平成28,2016,総数,Total,,12420969,11244216,…,…,…,1176753
平成29,2017,総数,Total,,12745515,11580456,…,…,…,1165059
平成30,2018,総数,Total,,12744103,11589213,…,…,…,1154890
令和元,2019,総数,Total,,12718261,11554298,…,…,…,1163963
令和元,2019,幼稚園,Kindergartens,,1866279,1482807,629034,35716,818057,383472
令和元,2019,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,52544,27726,13453,-,14273,24818
令和元,2019,小学校,Elementary schools,,545535,504184,166483,17751,319950,41351
令和元,2019,中学校,Junior high schools,,1110461,1032885,255495,17188,760202,77576
令和元,2019,義務教育学校,Compulsory education schools ,,-,-,-,-,-,-
令和元,2019,高等学校,Senior high schools,,7339303,6852160,2123333,952755,3776072,487143
令和元,2019,特別支援学校,Special needs schools,,34175,22476,7850,-,14626,11699
令和元,2019,専修学校,Specialized training schools,,1289428,1226370,90438,15079,1120853,63058
令和元,2019,各種学校,Miscellaneous schools,,437339,362493,…,…,…,74846
令和元,2019,高等専門学校,Colleges of technology,※,43197,43197,…,…,…,-
,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-5  学校施設の面積 (1) 用途別学校土地面積 (平成27～令和元年度) b 私立 17-5  LAND AREA OF SCHOOL FACILITIES (1) SCHOOL LAND AREA BY USE ( Fiscal Years 2015-2019 ) b PRIVATE,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」，※サレジオ工業高等専門学校 Source: Bureau of General Affairs， TMG， ※Salesian Polytechnic　,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,
