年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成30,2018,総数,Total,102257,51862,50395,918,77147,24192
令和元,2019,総数,Total,102161,51970,50191,919,76579,24663
令和2,2020,総数,Total,100463,50839,49624,911,75454,24098
令和2,2020,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,99230,50149,49081,910,74385,23935
令和2,2020,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,91736,45896,45840,899,67247,23590
令和2,2020,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,2512,1316,1196,1,2481,30
令和2,2020,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,3583,1939,1644,7,3277,299
令和2,2020,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,2,1,1,-,-,2
令和2,2020,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
令和2,2020,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
令和2,2020,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
令和2,2020,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,471,370,101,3,459,9
令和2,2020,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,926,627,299,-,921,5
令和2,2020,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,-,-,-,-,-,-
令和2,2020,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),358,169,189,-,317,41
令和2,2020,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,105,51,54,-,103,2
令和2,2020,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,18,14,4,-,18,-
令和2,2020,(E)就職者等 1),(E)Employed and others 1),127,100,27,-,127,-
令和2,2020,(E)就職者等 1)／自営業主等,(E)Employed and others 1)／Self-employed persons and others,49,42,7,-,49,-
令和2,2020,(E)就職者等 1)／常用労働者,(E)Employed and others 1)／Regular worker,64,49,15,-,64,-
令和2,2020,(E)就職者等 1)／常用労働者／無期雇用労働者,(E)Employed and others 1)／Regular worker／ Indefinite-term employment,48,40,8,-,48,-
令和2,2020,(E)就職者等 1)／常用労働者／有期雇用労働者,(E)Employed and others 1)／Regular worker／Fixed-term employment,16,9,7,-,16,-
令和2,2020,(E)就職者等 1)／臨時労働者,(E)Employed and others 1)／Contingent worker,14,9,5,-,14,-
令和2,2020,(F)上記以外の者,(F)Persons other than the above,622,354,268,1,504,117
令和2,2020,(G)不詳・死亡,(G)Unknown or deceased,3,2,1,-,-,3
令和2,2020,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,36,28,8,-,36,-
令和2,2020,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,31,24,7,-,31,-
令和2,2020,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,2,1,1,-,2,-
令和2,2020,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,2,2,-,-,2,-
令和2,2020,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,1,1,-,-,1,-
令和2,2020,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,5581,3526,2055,45,4996,540
,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成30～令和2年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2018-2020 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
注 1) 「就職者等」は，平成30年度からの調査項目である。　　　,,,,,,,,,
"Note: 1)  ""Employed and others"" section was added in FY2018.",,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
