全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,,町田市,相原中央公園（管理棟内）,,,132098,,東京都町田市相原町2018,東京都,町田市,相原町,2018,,,35.60931825,139.3196688,,,,,,,,,,,,,,有,有,無,8:30,21:00,,,,
132098,,町田市,相原中央公園（作業棟側）,,,132098,,東京都町田市相原町2018,東京都,町田市,相原町,2018,,,35.60951415,139.3198017,,,,,,,,,,,,,,有,有,無,8:00,21:00,,,,
132098,,町田市,相原中央公園（芝生広場）,,,132098,,東京都町田市相原町2018,東京都,町田市,相原町,2018,,,35.60933497,139.3196646,,,,,,,,,,,,,,有,有,有,6:00,21:00,ベビーチェア、多目的シート,,,
132098,,町田市,Nature Factory 東京町田,,,132098,,東京都町田市相原町5307-2,東京都,町田市,相原町,7-Feb,,,35.6122812,139.2765802,,,,,,,,,,,,,,有,無,無,8:30,17:15,定休日：第１・第３火曜日及び祝日の翌日、3月26日～4月7日、7月21日～8月31日は無休,,,
132098,,町田市,堺市民センター,,,132098,,東京都町田市相原町795-1,東京都,町田市,相原町,795-1,,,35.60430536,139.3333318,,,,,,,,,,,,,,有,有,有,8:00,22:00,定休日：年末年始(12/29～1/3)。ベビーチェア,,,
132098,,町田市,尾根緑道内第２便所,,,132098,,東京都町田市小山が丘1-11,東京都,町田市,小山が丘,1月11日,,,35.59763649,139.387157,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,小山上沼公園,,,132098,,東京都町田市小山が丘3-1-1,東京都,町田市,小山が丘,2003/1/1,,,35.5989315,139.3805601,,,,,,,,,,,,,,有,有,無,8:00,21:00,,,,
132098,,町田市,三ツ目山公園,,,132098,,東京都町田市小山が丘5-38,東京都,町田市,小山が丘,5-38,,,35.60590505,139.3540712,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,小山白山公園,,,132098,,東京都町田市小山が丘5-4,東京都,町田市,小山が丘,5月4日,,,35.60279467,139.3644451,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,小山市民センター,,,132098,,東京都町田市小山町2507-1,東京都,町田市,小山町,7-Jan,,,35.59714835,139.36902,,,,,,,,,,,,,,有,有,有,8:30,22:00,定休日：12/29～1/3。ベビーチェア・多目的シート,,,
132098,,町田市,谷戸池公園,,,132098,,東京都町田市小山田桜台1-19-1,東京都,町田市,小山田桜台,1-19-1,,,35.5881534,139.40188,,,,,,,,,,,,,,有,有,無,8:00,17:30,一般トイレは24時間使用可,,,
132098,,町田市,上小山田町バイオトイレ,,,132098,,東京都町田市上小山田町1851-2内,東京都,町田市,上小山田町,1851-2内,,,35.60206977,139.395559,,,,,,,,,,,,,,無,無,無,,,3月～10月 8:00～17:00、11月～2月 8:00～16:00,,,
132098,,町田市,上小山田コミュニティセンター,,,132098,,東京都町田市上小山田町2616-2,東京都,町田市,上小山田町,16-Feb,,,35.59484071,139.3983522,,,,,,,,,,,,,,有,無,無,9:00,22:00,貸出施設利用者がいる場合のみ開放。定休日：第３月曜日・年末年始,,,
132098,,町田市,木曽森野コミュニティセンター,,,132098,,東京都町田市木曽東1-2,東京都,町田市,木曽東,1月2日,,,35.55513015,139.4285798,,,,,,,,,,,,,,有,有,無,8:30,22:00,定休日：第2水曜日、おむつ交換用のベビーベッド,,,
132098,,町田市,教育センター,,,132098,,東京都町田市木曽東3-1-3,東京都,町田市,木曽東,2003/1/3,,,35.55972889,139.4240379,,,,,,,,,,,,,,有,有,無,8:30,17:00,定休日：土・日・祝日・年末年始。ベビーベッド、ベビーチェア,,,
132098,,町田市,下小山田山王林公園,,,132098,,東京都町田市下小山田町2805,東京都,町田市,下小山田町,2805,,,35.59225855,139.4074595,,,,,,,,,,,,,,無,有,無,8:00,17:30,,,,
132098,,町田市,町田市バイオエネルギーセンター,,,132098,,東京都町田市下小山田町3160,東京都,町田市,下小山田町,3160,,,35.58777258,139.4109448,,,,,,,,,,,,,,有,有,有,8:15,17:00,定休日：年末年始。ベビーチェア、ベビーベッド、大型ベッド,,,
132098,,町田市,土木・公園サービスセンター,,,132098,,東京都町田市下小山田町3267-4,東京都,町田市,下小山田町,Apr-67,,,35.58528811,139.4090985,,,,,,,,,,,,,,有,無,無,8:30,17:00,定休日：土・日・祝日・年末年始,,,
132098,,町田市,忠生スポーツ公園,,,132098,,東京都町田市下小山田町3337-1,東京都,町田市,下小山田町,Jan-37,,,35.59707143,139.4147426,,,,,,,,,,,,,,有,有,有,6:00,21:00,ベビーチェア、大型ベッド,,,
132098,,町田市,下小山田町バイオトイレ,,,132098,,東京都町田市下小山田町1200-2内,東京都,町田市,下小山田町,1200-2内,,,35.59720408,139.4223803,,,,,,,,,,,,,,無,無,無,,,3月～10月 8:00～17:00、11月～2月 8:00～16:00,,,
132098,,町田市,町田市立室内プール,,,132098,,東京都町田市図師町199-1,東京都,町田市,図師町,199-1,,,35.58639266,139.4140035,,,,,,,,,,,,,,有,有,有,9:00,21:00,定休日：第1・第3月曜日（祝日の場合は翌日）※但し7月21日から8月31日までは無休。ベビーチェア、オムツ替え台,,,
132098,,町田市,室内プール（温浴施設棟）,,,132098,,東京都町田市図師町199-1,東京都,町田市,図師町,199-1,,,35.58630765,139.4138148,,,,,,,,,,,,,,有,有,有,10:00,21:00,定休日：第1・第3月曜日（祝日の場合は翌日）※但し7月21日から8月31日までは無休。ベビーチェア,,,
132098,,町田市,忠生公園（忠生口トイレ）,,,132098,,東京都町田市忠生1-3-1,東京都,町田市,忠生,2001/3/1,,,35.57372166,139.4226101,,,,,,,,,,,,,,有,有,無,6:00,18:00,5月～8月 6:00～19:00,,,
132098,,町田市,忠生公園（木曽口トイレ）,,,132098,,東京都町田市忠生1-3-1,東京都,町田市,忠生,2001/3/1,,,35.57210544,139.4225113,,,,,,,,,,,,,,有,有,無,6:00,18:00,5月～8月 6:00～19:00,,,
132098,,町田市,忠生市民センター,,,132098,,東京都町田市忠生3-14-2,東京都,町田市,忠生,3-14-2,,,35.57851191,139.4158638,,,,,,,,,,,,,,有,有,有,8:30,22:00,定休日：年末年始。大人用折りたたみベッド、ベビーチェアー,,,
132098,,町田市,尾根緑道内第一公共トイレ,,,132098,,東京都町田市常盤町3434-2,東京都,町田市,常盤町,Feb-34,,,35.58682185,139.402443,,,,,,,,,,,,,,有,無,無,8:00,17:30,利用時間以外は閉鎖　,,,
132098,,町田市,根岸公園,,,132098,,東京都町田市根岸1-16-1,東京都,町田市,根岸,1-16-1,,,35.57130622,139.4126627,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,本町田後田公園,,,132098,,東京都町田市本町田2339-1,東京都,町田市,本町田,Jan-39,,,35.56556105,139.4425696,,,,,,,,,,,,,,有,無,無,9:00,21:00,,,,
132098,,町田市,忠生公園（がにやら自然館内）,,,132098,,東京都町田市山崎町1804-1,東京都,町田市,山崎町,1804-1,,,35.57298742,139.4241924,,,,,,,,,,,,,,有,有,無,9:00,16:30,定休日：月曜日（祝日の場合は翌日),,,
132098,,町田市,木曽山崎図書館,,,132098,,東京都町田市山崎町2160,東京都,町田市,山崎町,2160,,,35.56838416,139.4367322,,,,,,,,,,,,,,有,有,無,,,火・水・金 10:00～18:00木・土・日・祝 10:00～17:00。定休日：月曜日・第2木曜日、月曜日が祝日のときは開館第２木曜日が祝日のときは翌日休み。ベビーチェア,,,
132098,,町田市,木曽山崎コミュニティセンター,,,132098,,東京都町田市山崎町2160-4,東京都,町田市,山崎町,Apr-60,,,35.56859933,139.4366123,,,,,,,,,,,,,,有,有,有,8:30,22:00,定休日：第2月曜日、年末年始（12/29～1/3）赤ちゃんふらっと,,,
132098,,町田市,町田中央公園①（バックネット側）,,,132098,,東京都町田市旭町3-20-60,東京都,町田市,旭町,3-20-60,,,35.55611667,139.4459031,,,,,,,,,,,,,,無,有,無,6:00,19:30,定休日：年末年始,,,
132098,,町田市,町田中央公園③（サン町田旭体育館1F）,,,132098,,東京都町田市旭町3-20-60,東京都,町田市,旭町,3-20-60,,,35.55696686,139.4471737,,,,,,,,,,,,,,有,無,無,9:00,21:00,定休日：年末年始、第1・第3月曜日（休日の場合は翌日）,,,
132098,,町田市,町田中央公園④（サン町田旭体育館2F多目的室横）,,,132098,,東京都町田市旭町3-20-60,東京都,町田市,旭町,3-20-60,,,35.55696686,139.4471737,,,,,,,,,,,,,,有,無,無,9:00,21:00,定休日：年末年始、第1・第3月曜日（休日の場合は翌日）,,,
132098,,町田市,町田中央公園⑤（サン町田旭体育館2F会議室横）,,,132098,,東京都町田市旭町3-20-60,東京都,町田市,旭町,3-20-60,,,35.55696686,139.4471737,,,,,,,,,,,,,,無,無,無,9:00,21:00,定休日：年末年始、第1・第3月曜日（休日の場合は翌日）,,,
132098,,町田市,松葉公園,,,132098,,東京都町田市高ヶ坂7-1043,東京都,町田市,高ヶ坂,7-1043,,,35.53766286,139.4654651,,,,,,,,,,,,,,無,有,無,0:00,23:59,,,,
132098,,町田市,玉川学園コミュニティセンター,,,132098,,東京都町田市玉川学園2-19-12,東京都,町田市,玉川学園,2-19-12,,,35.56373092,139.4627289,,,,,,,,,,,,,,有,有,有,8:30,22:00,定休日：祝日の第３月曜日、年末年始（12/29～1/3）。ベビーチェア,,,
132098,,町田市,町田シバヒロ,,,132098,,東京都町田市中町1-20-23,東京都,町田市,中町,1-20-23,,,35.54822334,139.447122,,,,,,,,,,,,,,有,有,有,8:00,19:00,定休日：不定休。おむつ交換台。全面占用利用時はトイレの利用ができない場合がある。,,,
132098,,町田市,さるびあ図書館,,,132098,,東京都町田市中町2-13-23,東京都,町田市,中町,2-13-23,,,35.55136772,139.4441454,,,,,,,,,,,,,,有,無,無,,,火・水・金 10:00～18:00、木・土・日・祝 10:00～17:00。定休日：月曜日・第2木曜日、月曜日が祝日のときは開館、第２木曜日が祝日のときは翌日休み。,,,
132098,,町田市,町田市保健所,,,132098,,東京都町田市中町2-13-3,東京都,町田市,中町,2-13-3,,,35.55121958,139.4437069,,,,,,,,,,,,,,有,有,無,8:30,17:00,定休日：土曜日・日曜日・祝日・年末年始（12/29～1/3）。ベビーチェア。,,,
132098,,町田市,原町田青空ひろば,,,132098,,東京都町田市原町田1-27,東京都,町田市,原町田,1月27日,,,35.5369899,139.4491748,,,,,,,,,,,,,,有,有,無,8:30,17:30,6～8月 8:30～18:30。,,,
132098,,町田市,原町田一丁目駐車場,,,132098,,東京都町田市原町田1-6-21,東京都,町田市,原町田,2001/6/21,,,35.54050928,139.4475692,,,,,,,,,,,,,,無,無,無,9:00,17:00,,,,
132098,,町田市,町田ターミナルプラザ,,,132098,,東京都町田市原町田3-1-4,東京都,町田市,原町田,2003/1/4,,,35.54035593,139.4492485,,,,,,,,,,,,,,有,有,有,5:00,23:30,管理棟併設.多目的シート（おむつ替え等）,,,
132098,,町田市,中央図書館,,,132098,,東京都町田市原町田3-2-9,東京都,町田市,原町田,2003/2/9,,,35.5403913,139.4501544,,,,,,,,,,,,,,有,有,有,,,火・水・金 10:00～20:00、木・土・日・祝 10:00～17:00。定休日：月曜日・第2木曜日、月曜日が祝日のときは開館、第２木曜日が祝日のときは翌日休みベビーベッド・ベビーチェア、多目的シート,,,
132098,,町田市,町田市文化交流センター,,,132098,,東京都町田市原町田4-1-14,東京都,町田市,原町田,2004/1/14,,,35.54093763,139.4481321,,,,,,,,,,,,,,有,無,無,9:00,17:30,定休日：1月1日、臨時休館日あり（年末年始等）。,,,
132098,,町田市,町田市民文学館ことばらんど,,,132098,,東京都町田市原町田4-16-17,東京都,町田市,原町田,4-16-17,,,35.54259031,139.4515229,,,,,,,,,,,,,,有,有,有,9:00,22:00,定休日：月曜日・第2木曜日、月曜日が祝日のときは開館、第２木曜日が祝日のときは翌日休み。ベビーベッド・ベビーチェア,,,
132098,,町田市,町田市せりがや会館,,,132098,,東京都町田市原町田4-26-4,東京都,町田市,原町田,4-26-4,,,35.54450784,139.4531667,,,,,,,,,,,,,,有,無,無,8:30,21:00,定休日：第3日曜日。多目的ベッド,,,
