KEY_CODE,年少人口,都道府県名,小地域,男,女,年少人口割合
131100010,694,東京都,目黒区駒場,374,320,9.80%
13110001001,386,東京都,目黒区駒場１丁目,209,177,9.46%
13110001002,52,東京都,目黒区駒場２丁目,26,26,8.51%
13110001003,67,東京都,目黒区駒場３丁目,38,29,8.55%
13110001004,189,東京都,目黒区駒場４丁目,101,88,11.75%
131100020,780,東京都,目黒区青葉台,397,383,9.36%
13110002001,250,東京都,目黒区青葉台１丁目,126,124,9.47%
13110002002,105,東京都,目黒区青葉台２丁目,56,49,11.63%
13110002003,288,東京都,目黒区青葉台３丁目,148,140,9.35%
13110002004,137,東京都,目黒区青葉台４丁目,67,70,8.01%
131100030,2209,東京都,目黒区東山,1150,1059,16.59%
13110003001,306,東京都,目黒区東山１丁目,154,152,8.72%
13110003002,1513,東京都,目黒区東山２丁目,794,719,22.65%
13110003003,390,東京都,目黒区東山３丁目,202,188,12.47%
131100040,771,東京都,目黒区大橋,373,398,10.56%
13110004001,253,東京都,目黒区大橋１丁目,125,128,9.22%
13110004002,518,東京都,目黒区大橋２丁目,248,270,11.36%
131100050,1866,東京都,目黒区上目黒,934,932,9.62%
13110005001,201,東京都,目黒区上目黒１丁目,100,101,10.84%
13110005002,372,東京都,目黒区上目黒２丁目,177,195,8.34%
13110005003,556,東京都,目黒区上目黒３丁目,271,285,10.40%
13110005004,294,東京都,目黒区上目黒４丁目,159,135,7.58%
13110005005,443,東京都,目黒区上目黒５丁目,227,216,11.47%
131100060,1538,東京都,目黒区中目黒,771,767,10.32%
13110006001,238,東京都,目黒区中目黒１丁目,115,123,7.57%
13110006002,305,東京都,目黒区中目黒２丁目,146,159,12.15%
13110006003,268,東京都,目黒区中目黒３丁目,138,130,9.79%
13110006004,370,東京都,目黒区中目黒４丁目,170,200,11.99%
13110006005,357,東京都,目黒区中目黒５丁目,202,155,10.44%
131100070,515,東京都,目黒区三田,252,263,8.62%
13110007001,193,東京都,目黒区三田１丁目,106,87,8.27%
13110007002,322,東京都,目黒区三田２丁目,146,176,8.85%
131100080,1372,東京都,目黒区目黒,679,693,10.30%
13110008001,331,東京都,目黒区目黒１丁目,157,174,8.41%
13110008002,241,東京都,目黒区目黒２丁目,127,114,9.17%
13110008003,352,東京都,目黒区目黒３丁目,182,170,11.21%
13110008004,448,東京都,目黒区目黒４丁目,213,235,12.39%
131100090,2228,東京都,目黒区下目黒,1179,1049,10.89%
13110009001,111,東京都,目黒区下目黒１丁目,59,52,7.44%
13110009002,495,東京都,目黒区下目黒２丁目,268,227,9.19%
13110009003,304,東京都,目黒区下目黒３丁目,166,138,7.81%
13110009004,282,東京都,目黒区下目黒４丁目,143,139,9.89%
13110009005,564,東京都,目黒区下目黒５丁目,295,269,14.55%
13110009006,472,東京都,目黒区下目黒６丁目,248,224,15.96%
131100100,1008,東京都,目黒区中町,502,506,10.15%
13110010001,546,東京都,目黒区中町１丁目,285,261,10.71%
13110010002,462,東京都,目黒区中町２丁目,217,245,9.56%
131100110,712,東京都,目黒区五本木,355,357,7.45%
13110011001,266,東京都,目黒区五本木１丁目,132,134,7.26%
13110011002,302,東京都,目黒区五本木２丁目,144,158,7.69%
13110011003,144,東京都,目黒区五本木３丁目,79,65,7.32%
131100120,288,東京都,目黒区祐天寺,160,128,6.49%
13110012001,176,東京都,目黒区祐天寺１丁目,101,75,7.32%
13110012002,112,東京都,目黒区祐天寺２丁目,59,53,5.50%
131100130,708,東京都,目黒区中央町,364,344,8.73%
13110013001,279,東京都,目黒区中央町１丁目,154,125,8.38%
13110013002,429,東京都,目黒区中央町２丁目,210,219,8.98%
131100140,2365,東京都,目黒区目黒本町,1190,1175,9.88%
13110014001,279,東京都,目黒区目黒本町１丁目,129,150,10.52%
13110014002,536,東京都,目黒区目黒本町２丁目,268,268,11.96%
13110014003,214,東京都,目黒区目黒本町３丁目,121,93,6.95%
13110014004,483,東京都,目黒区目黒本町４丁目,247,236,11.30%
13110014005,413,東京都,目黒区目黒本町５丁目,198,215,7.86%
13110014006,440,東京都,目黒区目黒本町６丁目,227,213,10.51%
131100150,458,東京都,目黒区原町,255,203,8.27%
13110015001,200,東京都,目黒区原町１丁目,101,99,6.51%
13110015002,258,東京都,目黒区原町２丁目,154,104,10.46%
131100160,558,東京都,目黒区洗足,278,280,9.72%
13110016001,329,東京都,目黒区洗足１丁目,166,163,11.30%
13110016002,229,東京都,目黒区洗足２丁目,112,117,8.09%
131100170,758,東京都,目黒区南,392,366,10.44%
13110017001,282,東京都,目黒区南１丁目,158,124,9.80%
13110017002,303,東京都,目黒区南２丁目,143,160,12.59%
13110017003,173,東京都,目黒区南３丁目,91,82,8.73%
131100180,2021,東京都,目黒区碑文谷,1014,1007,11.86%
13110018001,509,東京都,目黒区碑文谷１丁目,231,278,13.34%
13110018002,407,東京都,目黒区碑文谷２丁目,211,196,13.05%
13110018003,310,東京都,目黒区碑文谷３丁目,165,145,13.64%
13110018004,329,東京都,目黒区碑文谷４丁目,162,167,12.83%
13110018005,329,東京都,目黒区碑文谷５丁目,172,157,9.46%
13110018006,137,東京都,目黒区碑文谷６丁目,73,64,7.66%
131100190,631,東京都,目黒区鷹番,320,311,7.09%
13110019001,248,東京都,目黒区鷹番１丁目,130,118,9.77%
13110019002,207,東京都,目黒区鷹番２丁目,99,108,6.52%
13110019003,176,東京都,目黒区鷹番３丁目,91,85,5.53%
131100200,673,東京都,目黒区平町,353,320,9.99%
13110020001,299,東京都,目黒区平町１丁目,162,137,8.34%
13110020002,374,東京都,目黒区平町２丁目,191,183,11.87%
131100210,799,東京都,目黒区大岡山,420,379,11.53%
13110021001,680,東京都,目黒区大岡山１丁目,350,330,12.15%
13110021002,119,東京都,目黒区大岡山２丁目,70,49,8.92%
131100220,740,東京都,目黒区緑が丘,379,361,9.81%
13110022001,344,東京都,目黒区緑が丘１丁目,177,167,10.64%
13110022002,320,東京都,目黒区緑が丘２丁目,159,161,9.38%
13110022003,76,東京都,目黒区緑が丘３丁目,43,33,8.46%
131100230,616,東京都,目黒区自由が丘,321,295,8.11%
13110023001,183,東京都,目黒区自由が丘１丁目,104,79,6.91%
