都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,不詳者の男性,不詳者の女性,世帯数,備考,KEY_CODE
131105,111,東京都,目黒区,2020-09-01,駒場一丁目,4154,2146,2008,70,58,76,69,82,63,69,50,153,135,248,174,238,166,193,147,195,160,169,175,127,136,117,103,63,104,99,90,90,116,61,86,49,66,47,110,0,0,2525,,13110001001
131105,112,東京都,目黒区,2020-09-01,駒場二丁目,570,271,299,8,8,10,11,8,10,14,13,20,18,23,24,24,24,20,17,18,17,19,23,19,24,19,11,13,15,14,12,13,24,13,14,7,13,9,21,0,0,333,,13110001002
131105,113,東京都,目黒区,2020-09-01,駒場三丁目,844,427,417,14,15,14,10,15,18,21,12,28,23,32,19,28,18,35,27,28,34,48,54,27,32,35,32,19,19,20,16,20,30,19,27,12,13,12,18,0,0,461,,13110001003
131105,114,東京都,目黒区,2020-09-01,駒場四丁目,1310,611,699,15,21,30,27,38,28,27,34,54,43,36,36,33,42,46,42,54,65,49,65,45,69,38,48,34,28,24,32,30,47,27,24,16,22,15,26,0,0,685,,13110001004
131105,121,東京都,目黒区,2020-09-01,青葉台一丁目,2519,1186,1333,46,37,46,40,30,34,41,32,54,55,92,78,103,105,116,128,105,111,106,128,112,104,85,104,64,63,55,69,37,78,37,58,28,47,29,62,0,0,1508,,13110002001
131105,122,東京都,目黒区,2020-09-01,青葉台二丁目,922,420,502,13,17,19,20,16,19,17,19,21,19,27,23,39,35,35,39,41,56,37,54,27,23,32,31,16,29,17,19,18,33,23,26,14,17,8,23,0,0,502,,13110002002
131105,123,東京都,目黒区,2020-09-01,青葉台三丁目,3050,1518,1532,56,56,50,49,50,45,43,40,89,79,175,159,151,142,195,161,167,152,112,136,122,145,85,88,51,66,63,50,40,43,30,30,21,33,18,58,0,0,1978,,13110002003
131105,124,東京都,目黒区,2020-09-01,青葉台四丁目,1895,921,974,34,34,17,27,18,22,14,17,49,41,97,73,112,89,109,99,92,93,79,90,69,73,56,65,44,51,33,51,44,54,23,34,12,28,19,33,0,0,1218,,13110002004
131105,131,東京都,目黒区,2020-09-01,東山一丁目,3777,1798,1979,65,63,72,75,58,59,53,47,109,108,168,160,167,174,146,184,169,175,164,182,132,154,125,117,92,79,71,71,78,100,59,91,34,54,36,86,0,0,2202,,13110003001
131105,132,東京都,目黒区,2020-09-01,東山二丁目,6528,3287,3241,231,185,296,236,283,234,200,201,162,181,131,138,155,201,292,305,340,376,403,410,340,306,205,151,76,69,45,55,40,57,35,49,30,33,23,54,0,0,2646,,13110003002
131105,133,東京都,目黒区,2020-09-01,東山三丁目,3411,1680,1731,99,117,81,74,66,62,67,44,121,126,212,181,200,181,149,149,134,145,124,136,107,109,73,82,64,49,36,41,43,54,46,61,29,47,29,73,0,0,1941,,13110003003
131105,141,東京都,目黒区,2020-09-01,大橋一丁目,2732,1337,1395,45,71,37,36,39,34,17,23,71,70,143,118,159,131,177,131,155,161,113,152,105,129,84,88,54,54,35,46,38,45,29,37,17,30,19,39,0,0,1784,,13110004001
131105,142,東京都,目黒区,2020-09-01,大橋二丁目,4447,2172,2275,87,111,95,103,82,103,87,73,143,94,245,149,181,165,179,207,222,180,191,227,142,192,141,120,66,77,64,69,79,83,71,89,44,100,53,133,0,0,2611,,13110004002
131105,151,東京都,目黒区,2020-09-01,上目黒一丁目,1820,852,968,40,47,45,36,20,25,10,21,26,32,49,65,64,76,97,88,107,114,101,89,74,67,60,58,28,33,26,46,28,49,31,37,26,41,20,44,0,0,1102,,13110005001
131105,152,東京都,目黒区,2020-09-01,上目黒二丁目,4341,2054,2287,70,61,46,70,54,47,36,54,96,97,224,206,231,224,208,251,209,215,177,201,156,175,108,118,82,79,94,94,93,110,65,96,61,81,44,108,0,0,2766,,13110005002
