都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,不詳者の男性,不詳者の女性,世帯数,備考,KEY_CODE
131105,111,東京都,目黒区,2016-12-01,駒場一丁目,3935,2005,1930,65,55,79,66,59,51,62,56,122,102,241,150,220,173,212,158,166,179,163,137,110,123,85,107,79,97,125,126,65,104,60,73,49,64,43,109,0,0,2379,,13110001001
131105,112,東京都,目黒区,2016-12-01,駒場二丁目,557,272,285,6,6,7,7,13,10,11,9,17,16,27,20,26,20,20,14,27,20,19,24,17,18,17,16,10,13,15,24,15,19,9,10,9,18,7,21,0,0,336,,13110001002
131105,113,東京都,目黒区,2016-12-01,駒場三丁目,767,391,376,17,12,13,11,16,10,19,10,20,17,26,16,26,18,31,27,39,31,26,45,33,30,23,26,22,20,22,31,22,25,11,15,14,15,11,17,0,0,402,,13110001003
131105,114,東京都,目黒区,2016-12-01,駒場四丁目,1658,821,837,19,33,37,26,33,30,55,41,142,92,93,91,62,51,48,61,48,69,56,74,52,61,35,39,34,33,33,48,27,31,22,18,15,18,10,21,0,0,991,,13110001004
131105,121,東京都,目黒区,2016-12-01,青葉台一丁目,2556,1199,1357,57,38,33,42,34,38,46,31,57,47,92,90,114,127,121,127,133,137,117,127,84,109,69,68,67,72,50,72,38,68,38,52,33,49,16,63,0,0,1521,,13110002001
131105,122,東京都,目黒区,2016-12-01,青葉台二丁目,931,421,510,21,23,21,22,14,9,20,14,7,17,30,36,44,54,46,47,41,58,37,30,30,33,14,33,18,17,24,30,21,26,17,18,8,14,8,29,0,0,494,,13110002002
131105,123,東京都,目黒区,2016-12-01,青葉台三丁目,3051,1510,1541,69,74,59,51,38,34,33,30,68,66,165,153,226,195,203,183,150,144,131,153,103,101,67,83,57,56,52,62,32,28,27,43,22,26,8,59,0,0,1975,,13110002003
131105,124,東京都,目黒区,2016-12-01,青葉台四丁目,1809,856,953,31,41,18,22,17,13,29,23,42,39,93,77,100,94,104,99,75,99,79,88,64,69,44,59,35,49,52,58,29,43,14,38,16,17,14,25,0,0,1117,,13110002004
131105,131,東京都,目黒区,2016-12-01,東山一丁目,3406,1624,1782,49,65,55,54,52,46,56,60,69,71,161,141,143,154,174,178,153,150,129,155,124,136,101,88,75,75,110,100,66,101,47,64,37,67,23,77,0,0,2007,,13110003001
131105,132,東京都,目黒区,2016-12-01,東山二丁目,6490,3207,3283,247,215,266,233,256,259,229,219,143,180,126,139,179,203,281,332,373,434,396,426,329,245,159,99,52,61,59,71,33,49,35,42,24,38,20,38,0,0,2592,,13110003002
131105,133,東京都,目黒区,2016-12-01,東山三丁目,2947,1431,1516,71,70,60,64,68,55,57,51,90,124,175,120,172,127,130,150,116,137,113,129,83,94,71,70,42,44,46,51,43,58,43,52,24,44,27,76,0,0,1709,,13110003003
131105,141,東京都,目黒区,2016-12-01,大橋一丁目,2726,1331,1395,69,81,39,34,22,21,40,26,58,46,137,146,199,167,197,165,149,169,119,148,73,100,63,55,38,53,39,51,29,37,26,32,18,34,16,30,0,0,1758,,13110004001
131105,142,東京都,目黒区,2016-12-01,大橋二丁目,4427,2238,2189,94,110,83,90,71,62,90,77,156,107,244,143,204,194,237,182,211,200,189,214,167,155,117,107,77,67,78,96,81,82,55,94,40,84,44,125,0,0,2644,,13110004002
131105,151,東京都,目黒区,2016-12-01,上目黒一丁目,1849,862,987,64,50,35,34,10,20,14,20,23,29,40,67,102,92,126,120,115,119,81,77,61,66,36,45,30,37,27,51,31,38,30,34,16,48,21,40,0,0,1123,,13110005001
131105,152,東京都,目黒区,2016-12-01,上目黒二丁目,4380,2082,2298,74,96,59,60,39,52,44,43,93,80,196,208,250,283,264,259,228,239,169,197,122,116,92,89,94,94,114,121,81,95,78,101,40,79,45,86,0,0,2720,,13110005002
131105,153,東京都,目黒区,2016-12-01,上目黒三丁目,5278,2501,2777,122,125,97,85,63,86,83,71,111,108,200,204,267,272,242,267,243,272,225,232,176,188,156,146,108,122,131,153,93,107,66,107,61,105,57,127,0,0,2985,,13110005003
131105,154,東京都,目黒区,2016-12-01,上目黒四丁目,3792,1848,1944,51,53,56,37,48,48,54,43,102,93,189,148,203,166,168,176,153,163,146,148,115,132,91,89,86,99,119,141,98,115,71,99,58,101,40,93,0,0,2299,,13110005004
131105,155,東京都,目黒区,2016-12-01,上目黒五丁目,3823,1833,1990,90,67,84,79,84,70,65,62,81,89,142,134,162,184,151,178,185,194,150,188,125,119,102,95,90,92,121,115,73,82,54,81,34,76,40,85,0,0,2098,,13110005005
131105,161,東京都,目黒区,2016-12-01,中目黒一丁目,3049,1417,1632,65,53,39,41,18,24,28,27,59,66,121,130,190,196,196,168,150,199,129,144,91,112,67,67,59,57,64,96,43,60,37,63,33,59,28,70,0,0,1972,,13110006001
