#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	20190721_tohyokubetsu_tohyoshasu_tohyoritsu_tokyo
#download_from	http://linkdata.org/work/rdf1s8249i
#property	投票所名	登録日現在登録者数（人）（令和元年7月3日現在）：男	登録日現在登録者数（人）（令和元年7月3日現在）：女	当日有権者数（人）：男	当日有権者数（人）：女	投票者総数（人）：男	投票者総数（人）：女	投票率（%）：男	投票率（%）：女
#object_type_xsd	string	string	string	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	四谷保健センター等複合施設	2339	2503	2320	2494	1267	1355	54.61	54.33
2	四谷小学校	2542	2655	2514	2639	1472	1450	58.55	54.95
3	四谷ひろば（旧四谷第四小学校）	3763	3733	3725	3703	1807	1886	48.51	50.93
4	信濃町子ども家庭支援センター	3343	4000	3295	3940	1911	2150	58.00	54.57
5	花園小学校	3377	2900	3323	2880	1506	1436	45.32	49.86
6	津久戸小学校	3824	4361	3783	4339	2172	2407	57.41	55.47
7	愛日小学校	2010	2359	2003	2340	1208	1367	60.31	58.42
8	江戸川小学校	2951	3150	2920	3120	1628	1619	55.75	51.89
9	箪笥町特別出張所	1996	2261	1974	2245	1111	1229	56.28	54.74
10	市谷幼稚園	2236	2600	2217	2579	1245	1422	56.16	55.14
11	細工町高齢者在宅ｻｰﾋﾞｽｾﾝﾀｰ	2527	3215	2504	3176	1456	1680	58.15	52.90
12	牛込仲之小学校	3875	3395	3757	3338	1973	1746	52.52	52.31
13	都立新宿山吹高等学校	2952	3283	2919	3245	1502	1673	51.46	51.56
14	鶴巻小学校	2030	1987	2009	1969	1090	995	54.26	50.53
15	早稲田小学校	3282	3486	3253	3464	1741	1827	53.52	52.74
16	成城学校	3722	4226	3678	4185	1951	2146	53.05	51.28
17	区立障害者福祉ｾﾝﾀｰ	1016	1139	1000	1117	508	534	50.80	47.81
18	若松町特別出張所	2837	2910	2806	2881	1408	1464	50.18	50.82
19	住吉町生涯学習館	1712	1752	1697	1741	866	858	51.03	49.28
20	富久小学校	2950	2942	2930	2926	1518	1504	51.81	51.40
21	西早稲田中学校	2558	2388	2522	2366	1386	1258	54.96	53.17
22	東戸山小学校	1864	2907	1856	2898	1076	1734	57.97	59.83
23	子ども総合センター	2650	2426	2628	2411	1175	1120	44.71	46.45
24	天神小学校	3063	2503	3020	2480	1145	956	37.91	38.55
25	新宿スポーツセンター	3353	3213	3295	3182	1540	1647	46.74	51.76
26	大久保小学校	1287	1014	1262	1011	435	396	34.47	39.17
27	新宿区役所第一分庁舎	1676	794	1629	784	382	274	23.45	34.95
28	戸山小学校	3433	2731	3390	2709	1288	1124	37.99	41.49
29	西戸山小学校	2811	3489	2781	3468	1629	2006	58.58	57.84
30	西早稲田地域交流館	2288	2491	2254	2473	1219	1386	54.08	56.05
31	戸塚第一小学校	2554	2432	2518	2405	1356	1336	53.85	55.55
32	戸塚第二幼稚園	2501	2256	2466	2228	1229	1161	49.84	52.11
33	新宿リサイクル活動センター	2549	2335	2520	2318	1258	1243	49.92	53.62
34	戸塚第三小学校	3293	2924	3271	2898	1499	1428	45.83	49.28
35	落合第四小学校	2992	3497	2970	3482	1554	1831	52.32	52.58
36	落合第一特別出張所	3627	4011	3583	3969	1833	2045	51.16	51.52
37	落合第二中学校	2552	2708	2523	2690	1309	1367	51.88	50.82
38	中落合高齢者在宅ｻｰﾋﾞｽｾﾝﾀｰ	1839	1939	1824	1925	943	945	51.70	49.09
39	落合第二小学校	4123	3898	4088	3867	2052	1971	50.20	50.97
40	落合第六小学校	3422	3875	3388	3843	1716	1930	50.65	50.22
41	落合第三小学校	2855	2724	2825	2688	1422	1357	50.34	50.48
42	落合第五小学校	4042	3835	4008	3792	1960	1862	48.90	49.10
43	東京母子愛育会保育園	2518	2274	2488	2254	1169	1083	46.99	48.05
44	淀橋第四幼稚園	2670	2424	2649	2407	1204	1117	45.45	46.41
45	大智学園高等学校  （旧淀橋中学校）	3111	2712	3062	2682	1184	1096	38.67	40.87
46	柏木地域ｾﾝﾀｰ	2194	1953	2176	1933	1127	1046	51.79	54.11
47	西新宿中学校	2431	2048	2398	2034	977	881	40.74	43.31
48	工学院大学新宿校舎	223	207	218	207	91	88	41.74	42.51
49	芸能花伝舎	3309	2827	3267	2803	1316	1151	40.28	41.06
50	角筈特別出張所	4012	3696	3963	3646	1740	1605	43.91	44.02
