#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	202304_tyotyobetu_jinkotokei
#download_from	http://linkdata.org/work/rdf1s9838i
#property	世帯数	男	女	計
#object_type_xsd	int	int	int	int
#property_context	Assertion	Assertion	Assertion	Assertion
四谷１丁目	279	241	294	535
四谷２丁目	280	209	231	440
四谷３丁目	286	192	217	409
四谷４丁目	2206	1738	1637	3375
四谷本塩町	341	264	247	511
四谷三栄町	1097	953	1025	1978
四谷坂町	1687	1338	1230	2568
若葉１丁目	1417	1299	1253	2552
若葉２丁目	484	433	426	859
若葉３丁目	638	503	486	989
須賀町	803	685	673	1358
左門町	1080	731	893	1624
信濃町	607	426	527	953
南元町	1424	1184	1397	2581
荒木町	1721	1262	1266	2528
舟町	1033	677	743	1420
愛住町	910	690	693	1383
大京町	2486	1845	2119	3964
霞ヶ丘町	1	1	0	1
内藤町	707	630	699	1329
片町	331	229	213	442
新宿１丁目	3157	2213	1964	4177
新宿２丁目	925	689	517	1206
新宿３丁目	81	74	35	109
新宿４丁目	175	142	96	238
新宿５丁目	2285	1552	1239	2791
新宿６丁目	3136	2259	1958	4217
新宿７丁目	4273	3356	3094	6450
歌舞伎町１丁目	144	108	52	160
歌舞伎町２丁目	1838	1429	709	2138
市谷田町１丁目	15	8	18	26
市谷田町２丁目	332	261	336	597
市谷田町３丁目	192	158	187	345
市谷本村町	1789	1558	1129	2687
市谷砂土原町１丁目	102	93	109	202
市谷砂土原町２丁目	266	204	257	461
市谷砂土原町３丁目	471	481	501	982
市谷左内町	271	237	257	494
市谷加賀町１丁目	247	312	349	661
市谷加賀町２丁目	993	761	1026	1787
市谷甲良町	478	396	456	852
市谷船河原町	75	93	93	186
市谷長延寺町	81	34	73	107
市谷鷹匠町	54	35	39	74
市谷山伏町	321	273	307	580
市谷八幡町	66	59	63	122
神楽坂１丁目	12	13	14	27
神楽坂２丁目	123	80	111	191
神楽坂３丁目	278	224	190	414
神楽坂４丁目	99	81	100	181
神楽坂５丁目	367	304	373	677
神楽坂６丁目	525	365	426	791
細工町	260	214	215	429
二十騎町	421	319	363	682
揚場町	59	50	52	102
津久戸町	62	46	43	89
東五軒町	1300	1093	1226	2319
西五軒町	1101	884	929	1813
赤城元町	258	213	235	448
南榎町	702	688	715	1403
袋町	370	329	334	663
払方町	536	470	534	1004
南町	394	430	439	869
北町	535	465	539	1004
納戸町	579	521	573	1094
南山伏町	458	363	381	744
北山伏町	397	252	338	590
白銀町	787	629	790	1419
下宮比町	190	107	142	249
矢来町	2524	2090	2341	4431
若宮町	527	482	494	976
岩戸町	430	285	355	640
中町	271	271	246	517
箪笥町	471	308	367	675
横寺町	629	477	489	966
筑土八幡町	634	457	558	1015
新小川町	2193	1732	1694	3426
神楽河岸	0	0	0	0
市谷薬王寺町	2191	1637	1758	3395
市谷柳町	962	637	743	1380
市谷仲之町	1401	1201	1377	2578
赤城下町	872	678	644	1322
天神町	718	515	548	1063
榎町	507	337	355	692
東榎町	284	183	187	370
早稲田町	919	601	706	1307
早稲田南町	455	359	393	752
馬場下町	324	248	241	489
原町１丁目	915	725	786	1511
原町２丁目	687	621	611	1232
原町３丁目	1257	967	1120	2087
喜久井町	1142	977	939	1916
築地町	328	253	304	557
弁天町	2088	1680	1809	3489
中里町	353	323	363	686
山吹町	2777	1887	2091	3978
改代町	402	311	304	615
水道町	766	512	505	1017
早稲田鶴巻町	3884	2690	2874	5564
住吉町	1862	1383	1404	2787
市谷台町	921	715	685	1400
河田町	1634	1530	1494	3024
若松町	3497	2756	3090	5846
余丁町	2585	2002	2090	4092
戸山１丁目	1541	1200	1303	2503
戸山２丁目	3356	2038	3276	5314
戸山３丁目	662	548	568	1116
富久町	4149	3606	3527	7133
百人町１丁目	2887	2101	1452	3553
百人町２丁目	3333	2491	2020	4511
百人町３丁目	2594	2597	2820	5417
百人町４丁目	1679	1147	1555	2702
大久保１丁目	2929	2046	1725	3771
大久保２丁目	5379	4060	3553	7613
大久保３丁目	2487	2309	2455	4764
戸塚町１丁目	158	102	115	217
西早稲田１丁目	3791	2730	2856	5586
西早稲田２丁目	4192	3143	3006	6149
西早稲田３丁目	4135	3427	3326	6753
高田馬場１丁目	2922	2311	2082	4393
高田馬場２丁目	1397	1060	867	1927
高田馬場３丁目	4250	3135	2729	5864
高田馬場４丁目	4241	3399	3043	6442
下落合１丁目	2065	1367	1344	2711
下落合２丁目	2125	1818	1826	3644
下落合３丁目	2709	2099	2525	4624
下落合４丁目	2728	2191	2335	4526
中落合１丁目	2477	1868	1834	3702
中落合２丁目	2930	2487	2560	5047
中落合３丁目	2424	1971	2190	4161
中落合４丁目	1738	1540	1504	3044
上落合１丁目	3363	2687	2650	5337
上落合２丁目	3310	2455	2379	4834
上落合３丁目	3333	2455	2282	4737
西落合１丁目	2979	2256	2412	4668
西落合２丁目	2598	2146	2133	4279
西落合３丁目	1924	1484	1682	3166
西落合４丁目	1372	1118	1233	2351
中井１丁目	1314	955	806	1761
中井２丁目	1768	1590	1651	3241
北新宿１丁目	5368	3934	3303	7237
北新宿２丁目	3362	2822	2543	5365
北新宿３丁目	4650	3560	3245	6805
北新宿４丁目	4467	3273	3090	6363
西新宿１丁目	28	23	23	46
西新宿２丁目	1	1	4	5
西新宿３丁目	1673	1136	1047	2183
西新宿４丁目	5108	3753	3424	7177
西新宿５丁目	2657	2064	1856	3920
西新宿６丁目	2511	2012	1739	3751
西新宿７丁目	1735	1322	966	2288
西新宿８丁目	2290	1636	1531	3167
