"年月[西暦]","米国[人]","韓国及び朝鮮[人]","中国[人]","英国[人]","フィリピン[人]","フランス[人]","ドイツ[人]","その他[人]","計[人]"
"202408","2686","3633","6900","782","994","581","302","6489","22367"
"202407","2646","3607","6832","780","998","588","295","6464","22210"
"202406","2647","3630","6685","775","995","595","298","6474","22099"
"202405","2675","3603","6634","786","997","609","301","6503","22108"
"202404","2675","3601","6574","791","988","618","292","6509","22048"
"202403","2700","3583","6481","790","980","605","292","6432","21863"
"202402","2713","3552","6395","799","972","592","285","6350","21658"
"202401","2701","3544","6286","806","973","577","290","6353","21530"
"202312","2663","3536","6214","790","964","561","292","6258","21278"
"202311","2698","3573","6137","806","971","581","298","6306","21370"
"202310","2715","3572","6065","809","965","576","295","6272","21269"
"202309","2712","3552","5951","805","953","565","293","6249","21080"
"202308","2714","3527","5825","801","956","573","293","6158","20847"
"202307","2664","3487","5780","789","961","559","292","6118","20650"
"202306","2711","3495","5634","801","958","578","302","6143","20622"
"202305","2779","3486","5514","809","960","593","318","6200","20659"
"202304","2772","3465","5405","809","967","588","319","6197","20522"
"202303","2777","3450","5190","804","971","589","307","6127","20215"
"202302","2757","3398","4978","792","959","593","308","6095","19880"
"202301","2733","3376","4878","771","946","591","307","6036","19638"
"202212","2709","3350","4794","764","954","583","301","5884","19339"
"202211","2748","3353","4739","775","949","590","313","5985","19452"
"202210","2741","3332","4646","768","954","585","313","5983","19322"
"202209","2687","3320","4509","768","953","587","307","5923","19054"
"202208","2663","3290","4438","751","950","571","299","5810","18772"
"202207","2568","3260","4358","743","968","551","304","5725","18477"
"202206","2580","3269","4285","741","983","575","303","5728","18464"
"202205","2601","3254","4177","737","959","584","311","5714","18337"
"202204","2511","3225","4097","735","962","569","306","5596","18001"
"202203","2409","3141","3990","698","939","533","261","5253","17224"
"202202","2386","3042","3907","698","937","544","249","5138","16901"
"202201","2386","3055","3903","700","930","551","259","5165","16949"
"202112","2384","3064","3871","701","933","558","263","5155","16929"
"202111","2416","3088","3896","725","942","569","276","5257","17169"
"202110","2430","3121","3875","737","942","559","280","5330","17274"
"202109","2473","3130","3877","747","955","569","280","5363","17394"
"202108","2506","3146","3907","765","965","579","278","5452","17598"
"202107","2550","3144","3921","773","971","598","282","5522","17761"
"202106","2601","3163","3928","777","974","617","297","5582","17939"
"202105","2677","3188","3933","779","976","635","310","5649","18147"
"202104","2691","3200","3967","771","980","637","318","5648","18212"
"202103","2708","3196","3967","773","982","641","320","5704","18291"
"202102","2749","3233","3992","776","978","646","332","5788","18494"
"202101","2782","3280","4042","786","978","655","335","5882","18740"
"202012","2777","3271","4079","792","979","638","331","5851","18718"
"202011","2773","3343","4084","783","982","661","338","5958","18922"
"202010","2783","3303","4045","780","978","638","332","5863","18722"
"202009","2825","3337","4098","783","987","642","341","5955","18968"
"202008","2857","3384","4141","785","997","654","351","6032","19201"
"202007","2907","3418","4220","823","1013","672","367","6196","19616"
"202006","2974","3443","4270","851","1033","710","373","6334","19988"
"202005","3050","3475","4291","874","1039","737","383","6460","20309"
"202004","3072","3494","4312","877","1049","752","389","6499","20444"
"202003","3120","3515","4325","878","1054","748","391","6556","20587"
"202002","3131","3517","4307","886","1050","754","394","6546","20585"
"202001","3147","3537","4310","882","1050","751","385","6539","20601"
"201912","3102","3530","4232","869","1054","732","378","6417","20314"
"201911","3184","3563","4221","899","1060","745","384","6557","20613"
"201910","3208","3566","4207","912","1064","754","381","6515","20607"
"201909","3199","3555","4142","899","1074","756","378","6432","20435"
"201908","3181","3560","4084","905","1066","745","372","6352","20265"
"201907","3170","3555","4067","891","1071","744","372","6336","20206"
"201906","3205","3533","4040","898","1069","775","373","6365","20258"
"201905","3361","3517","4027","896","1055","774","383","6415","20428"
"201904","3350","3518","4009","894","1039","769","376","6431","20386"
"201903","3349","3504","3958","892","1038","755","374","6407","20277"
"201902","3327","3495","3961","895","1028","762","377","6401","20246"
"201901","3320","3499","3950","885","1032","761","374","6410","20231"
"201812","3257","3496","3962","865","1027","758","364","6328","20057"
"201811","3302","3505","3959","878","1035","773","375","6407","20234"
"201810","3292","3524","3948","887","1047","776","376","6340","20190"
"201809","3256","3508","3891","882","1061","773","376","6260","20007"
"201808","3225","3467","3876","878","1061","767","366","6219","19859"
"201807","3182","3456","3910","858","1065","783","358","6232","19844"
"201806","3243","3480","3869","875","1062","823","371","6359","20082"
"201805","3316","3490","3845","877","1054","829","377","6381","20169"
"201804","3312","3478","3844","875","1059","822","378","6362","20130"
"201803","3304","3456","3825","881","1043","818","371","6274","19972"
"201802","3266","3472","3797","881","1037","808","371","6281","19913"
"201801","3238","3469","3785","874","1030","820","381","6277","19874"
"201712","3119","3464","3746","863","1036","802","369","6123","19522"
"201711","3147","3482","3725","887","1044","817","382","6239","19723"
"201710","3142","3475","3721","886","1030","818","379","6236","19687"
"201709","3130","3464","3716","884","1020","819","371","6190","19594"
"201708","3114","3440","3674","871","1030","812","370","6139","19450"
"201707","3070","3438","3666","851","1040","774","358","6087","19284"
"201706","3103","3436","3628","856","1035","802","372","6130","19362"
"201705","3183","3434","3660","856","1031","792","381","6206","19543"
"201704","3179","3424","3642","858","1032","790","385","6165","19475"
"201703","3182","3416","3578","849","1039","782","379","6134","19359"
"201702","3162","3403","3559","835","1032","776","384","6117","19268"
"201701","3131","3399","3534","829","1027","779","380","6107","19186"
"201612","3075","3410","3525","803","1021","763","373","6022","18992"
"201611","3164","3449","3517","823","1019","783","381","6118","19254"
"201610","3177","3445","3502","803","1012","792","376","6084","19191"
"201609","3192","3429","3477","796","999","790","367","6099","19149"
"201608","3186","3416","3449","788","990","779","362","6021","18991"
"201607","3085","3425","3422","776","979","757","351","5983","18778"
"201606","3149","3421","3411","786","972","790","367","6074","18970"
"201605","3294","3432","3397","792","961","798","363","6166","19203"
"201604","3294","3417","3376","784","967","798","358","6128","19122"
"201603","3293","3415","3298","780","960","787","356","6060","18949"
"201602","3282","3367","3294","795","958","780","353","6062","18891"
"201601","3286","3347","3279","782","949","781","360","6044","18828"
"201512","3231","3337","3276","771","940","760","350","5821","18486"
"201511","3323","3379","3269","807","939","789","359","5953","18818"
"201510","3340","3391","3279","809","942","786","363","5930","18840"
"201509","3348","3399","3244","798","938","775","372","5913","18787"
"201508","3343","3427","3200","786","931","755","368","5898","18708"
"201507","3271","3449","3227","788","931","732","372","5864","18634"
"201506","3275","3482","3197","789","924","753","375","5871","18666"
"201505","3397","3525","3194","801","921","767","368","5936","18909"
"201504","3386","3528","3190","806","919","767","364","5874","18834"
"201503","3372","3517","3160","803","910","758","366","5822","18708"
"201502","3365","3507","3167","808","901","753","365","5742","18608"
"201501","3341","3514","3145","811","906","737","365","5716","18535"
"201412","3311","3501","3153","807","915","712","351","5670","18420"
"201411","3412","3539","3145","844","916","725","357","5779","18717"
"201410","3391","3535","3164","860","919","720","360","5754","18703"
"201409","3407","3551","3136","844","907","716","366","5643","18570"
"201408","3380","3560","3144","844","918","703","358","5557","18464"
"201407","3292","3586","3136","829","920","704","358","5545","18370"
"201406","3342","3587","3103","832","907","706","355","5606","18438"
"201405","3440","3619","3098","838","909","717","347","5611","18579"
"201404","3434","3634","3120","848","903","705","341","5589","18574"
"201403","3430","3635","3060","838","902","703","327","5547","18442"
"201402","3410","3646","3082","831","898","700","330","5509","18406"
"201401","3408","3642","3059","814","899","696","313","5453","18284"
"201312","3342","3662","3059","800","889","680","309","5363","18104"
"201311","3427","3666","3069","812","893","682","321","5456","18326"
"201310","3409","3640","3080","808","893","684","319","5423","18256"
"201309","3378","3647","3040","802","893","679","310","5382","18131"
"201308","3376","3651","3011","816","894","672","314","5424","18158"
"201307","3382","3658","3041","820","905","669","306","5389","18170"
"201306","3416","3668","3071","828","905","676","314","5433","18311"
"201305","3535","3717","3096","859","914","688","327","5577","18713"
"201304","3531","3729","3094","854","916","681","320","5612","18737"
"201303","3534","3691","3076","855","916","681","317","5578","18648"
"201302","3520","3686","3092","864","915","674","315","5559","18625"
"201301","3635","3703","3155","891","927","685","320","5660","18976"
"201212","3619","3712","3127","892","927","670","324","5582","18853"
"201211","3864","3761","3144","955","935","701","361","5840","19561"
"201210","3884","3738","3135","956","931","684","360","5808","19496"
"201209","3860","3702","3129","952","924","679","353","5768","19367"
"201208","3811","3706","3137","965","924","674","347","5675","19239"
"201207","3772","3679","3160","966","922","672","352","5615","19138"

"国籍別外国人住民数","Ver202409",,,,,,,,
