"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"溜池眼科医院","東京都港区赤坂一丁目3番5号","赤坂アビタシオンビル1階","03-3586-9045","2013/11/5","眼科","35.670425","139.744019"
"医療法人社団和風会　千里リハビリテーションクリニック東京","東京都港区赤坂一丁目3番18号","コカドビル1階","03-6441-2721","2020/2/7","リハビリテーション科","35.670543","139.743628"
"赤坂溜池クリニック","東京都港区赤坂一丁目5番15号","溜池アネックスビル5階","03-5572-7821","1997/6/23","内科、心療内科、精神科","35.670637","139.743149"
"医療法人社団南青山アイクリニック南青山アイクリニック東京","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル2階","03-6633-4872","2024/1/1","眼科","35.669220","139.741745"
"アメリカンクリニック東京","東京都港区赤坂一丁目7番4号","No.1ニイクラビル3階","03-6441-0969","2013/9/18","内科","35.669291","139.742031"
"赤坂虎の門クリニック","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR地下1階","03-3583-8080","2017/9/1","内科、消化器内科、消化器内科（内視鏡）、呼吸器内科、循環器内科、糖尿病内科、老年内科、脳神経内科、耳鼻咽喉科、皮膚科、泌尿器科、産婦人科、脳神経外科","35.669827","139.742197"
"国家公務員共済組合連合会虎の門病院付属健康管理センター・画像診断センター","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR5階","03-3560-7777","2017/9/28","内科、放射線科","35.669827","139.742197"
"グラクソ・スミスクライン・クリニック","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR17階","03-4231-5738","2017/11/8","内科","35.669827","139.742197"
"医療法人社団好日会　南赤坂クリニック","東京都港区赤坂一丁目11番36号","レジデンスバイカウンテス4階","03-5561-9258","1991/3/1","内科、放射線科、婦人科、循環器科","35.668674","139.741612"
"アークヒルズクリニック","東京都港区赤坂一丁目12番32号","アーク森ビル3階","03-3505-5151","1986/11/27","内科、呼吸器科、消化器科、循環器科、整形外科、神経内科","35.667113","139.740135"
"ＮＡクリニック","東京都港区赤坂一丁目12番32号","アーク森ビル24階",,"2023/6/1","内科","35.667113","139.740135"
"元赤坂クリニック","東京都港区赤坂一丁目12番33号","ANAインターコンチネンタルホテル東京1階","03-3560-6465","2006/12/1","内科、整形外科、形成外科、アレルギー科","35.668290","139.740831"
"医療法人社団順幸会　小林メディカルクリニック東京","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザ2階","03-3589-3717","2011/12/1","内科、皮膚科、アレルギー科","35.671237","139.741652"
"ＣＬＩＮＩＣＡ　ＢｅｌｌａＦｏｒｍａ","東京都港区赤坂二丁目3番5号",,"0120-140-220","2023/11/1","形成外科、美容外科、皮膚科、美容皮膚科、整形外科、内科、泌尿器科、脳神経外科","35.671237","139.741652"
"関東ＩＴソフトウェア健康保険組合山王診療所","東京都港区赤坂二丁目5番6号",,"03-5570-1871","2002/8/20","内科、外科、婦人科、放射線科","35.672787","139.73973"
"医療法人社団メディカルフェニックス　メディカルスキャニング溜池山王クリニック","東京都港区赤坂二丁目5番7号","渡辺商事赤坂ビル1階","03-3568-3211","2014/11/26","放射線科、内科","35.672678","139.739836"
"赤坂心療内科クリニック","東京都港区赤坂二丁目5番7号","渡辺商事赤坂ビル7階","03-5544-8485","2022/12/1","心療内科、精神科","35.672678","139.739836"
"医療法人社団同心会ＫＹＢクリニック","東京都港区赤坂二丁目5番7号","渡辺商事赤坂ビル6階","03-5778-2188","2022/10/1","内科、皮膚科、形成外科","35.672678","139.739836"
"医療法人社団赤坂坦誠会　赤坂整形外科クリニック","東京都港区赤坂二丁目6番24号","赤坂水野ビル4階","03-5545-4800","2022/3/1","整形外科、リハビリテーション科、内科","35.673098","139.738563"
"医療法人社団大星会　大星クリニック","東京都港区赤坂二丁目9番11号","オリックス赤坂2丁目ビルB1","03-6426-5933","2011/2/14","内科、皮膚科、泌尿器科、脳神経外科、婦人科、消化器内科（胃腸内科）、精神科、心療内科、内視鏡内科、整形外科","35.671072","139.740973"
"溜池山王伊藤眼科","東京都港区赤坂二丁目9番11号","オリックス赤坂2丁目ビル B1","03-5545-5377","2023/9/1","眼科","35.671072","139.740973"
"Ｂａｓｅクリニック赤坂","東京都港区赤坂二丁目10番15号","溜池ミツワビル7階","03-6459-1401","2022/12/1","精神科、心療内科、アレルギー科、麻酔科","35.670485","139.741530"
"湊メディカルクリニック","東京都港区赤坂二丁目11番3号","福田ビルウエスト2階","03-5570-5888","2017/1/3","内科、消化器内科、肝臓内科","35.670153","139.741185"
"医療法人社団　星英会　眼科スターアイクリニック","東京都港区赤坂二丁目11番15号","第2堀内ビル4階","03-3505-9981","2010/4/1","眼科、形成外科","35.670508","139.741242"
"赤坂三浦クリニック","東京都港区赤坂二丁目11番15号","第二堀内ビル2階","03-3560-6008","2016/9/1","乳腺外科、乳腺内科、内分泌外科、内分泌内科、外科","35.670508","139.741242"
"陳瑞東クリニック","東京都港区赤坂二丁目13番5号","赤坂会館地下1階","03-5856-0015","2008/4/1","婦人科、内科","35.672513","139.738547"
"医療法人社団江仁会　赤坂レディースクリニック","東京都港区赤坂二丁目14番32号","赤坂2・14プラザビル6階","03-5545-4123","2022/4/6","婦人科","35.672532","139.737461"
"医療法人社団江仁会　赤坂皮膚科クリニック","東京都港区赤坂二丁目14番32号","赤坂2・14プラザビル6階","03-5545-4112","2022/4/6","美容皮膚科、アレルギー科、皮膚科","35.672532","139.737461"
"大原皮膚泌尿器科","東京都港区赤坂二丁目14番33号","栄屋清水ビル5階","03-3584-4821","1994/3/22","皮膚科、泌尿器科","35.672798","139.73772"
"赤坂ファミリークリニック","東京都港区赤坂二丁目15番15号","赤坂プラザビル3階","03-5562-8825","2017/5/1","内科、小児科、リハビリテーション科","35.672574","139.737489"
"医療法人社団赤坂記念小澁会　メディカルスクエア赤坂","東京都港区赤坂二丁目17番17号",,"03-3585-0600","2004/4/1","内科、外科、婦人科、リウマチ科、乳腺外科、糖尿病内科","35.670387","139.740654"
"医療法人社団櫻雪会　キルシェクリニック","東京都港区赤坂二丁目17番58号","3階","03-6459-1661","2019/4/1","美容外科、形成外科、美容皮膚科、麻酔科","35.670576","139.737774"
"声のクリニック赤坂","東京都港区赤坂二丁目17番65号","ウィンド赤坂2ビル2階","03-5797-8558","2023/5/1","耳鼻いんこう科","35.670819","139.738957"
"小川聡クリニック","東京都港区赤坂二丁目19番4号","FORUM赤坂2階","03-5570-5055","2016/4/1","内科、循環器内科","35.668721","139.740078"
"茂松クリニック","東京都港区赤坂二丁目22番20号","103","03-3583-5655","2011/8/16","整形外科、形成外科、皮膚科、泌尿器科","35.668599","139.738284"
"医療法人社団成章会　岩沢医院","東京都港区赤坂三丁目1番16号","BIビル2階","03-3583-6155","2014/5/1","耳鼻いんこう科","35.677446","139.736523"
"マリーゴールドクリニック","東京都港区赤坂三丁目2番2号","4階","03-3582-3131","1999/12/16","胃腸科、肛門科、内科、外科","35.676264","139.737241"
"赤坂ステラクリニック","東京都港区赤坂三丁目4番3号","APA赤坂ゲイトウェイビル4階5階","03-3585-3741","2021/1/28","美容皮膚科、形成外科、内科、循環器内科","35.674115","139.738399"
"永沢クリニック","東京都港区赤坂三丁目5番2号","サンヨー赤坂ビル2階","03-3583-6710","2012/9/1","内科、循環器内科、消化器内科","35.673679","139.738596"
"赤坂内視鏡クリニック","東京都港区赤坂三丁目5番5号","ストロング赤坂ビル5階","03-6441-2528","2019/11/1","内視鏡内科、消化器内科、胃腸内科","35.673442","139.738662"
