"年齢[歳]","芝 男[人]","芝 女[人]","芝 計[人]","麻布 男[人]","麻布 女[人]","麻布 計[人]","赤坂 男[人]","赤坂 女[人]","赤坂 計[人]","高輪 男[人]","高輪 女[人]","高輪 計[人]","芝浦港南 男[人]","芝浦港南 女[人]","芝浦港南 計[人]"
"0～ 4","968","930","1898","1366","1271","2637","820","783","1603","1387","1312","2699","1750","1645","3395"
"5～ 9","804","835","1639","1529","1515","3044","846","891","1737","1511","1550","3061","1781","1606","3387"
"10～14","550","569","1119","1352","1215","2567","730","709","1439","1259","1307","2566","1468","1370","2838"
"15～19","474","450","924","989","912","1901","574","591","1165","1010","1041","2051","1110","1064","2174"
"20～24","887","1033","1920","1241","1373","2614","711","710","1421","1255","1296","2551","1098","1103","2201"
"25～29","1947","1929","3876","2218","2282","4500","1181","1078","2259","1752","2011","3763","1608","1710","3318"
"30～34","1885","2033","3918","2223","2444","4667","1253","1418","2671","1787","2249","4036","2028","2233","4261"
"35～39","1903","2080","3983","2446","2820","5266","1399","1518","2917","2078","2689","4767","2384","2760","5144"
"40～44","1935","1880","3815","2683","3096","5779","1521","1685","3206","2350","2952","5302","2635","2783","5418"
"45～49","1772","1836","3608","2648","3132","5780","1613","1809","3422","2465","3100","5565","2892","2990","5882"
"50～54","1639","1694","3333","2477","2819","5296","1611","1714","3325","2366","3090","5456","2830","2805","5635"
"55～59","1367","1389","2756","2073","2176","4249","1430","1474","2904","2085","2485","4570","2271","2029","4300"
"60～64","1048","1042","2090","1449","1511","2960","1072","1162","2234","1539","1860","3399","1430","1364","2794"
"65～69","737","773","1510","1023","1138","2161","738","890","1628","1223","1389","2612","921","949","1870"
"70～74","770","960","1730","1036","1295","2331","814","1052","1866","1318","1708","3026","956","1040","1996"
"75～79","689","864","1553","810","1137","1947","619","890","1509","1031","1382","2413","603","857","1460"
"80～84","433","663","1096","578","849","1427","453","716","1169","707","1220","1927","436","799","1235"
"85～89","278","564","842","336","663","999","268","602","870","440","881","1321","275","511","786"
"90～94","101","271","372","135","384","519","120","364","484","188","503","691","93","243","336"
"95～99","26","94","120","41","190","231","28","115","143","44","200","244","20","75","95"
"100～","1","17","18","3","28","31","3","18","21","8","33","41","2","8","10"
"合計","20214","21906","42120","28656","32250","60906","17804","20189","37993","27803","34258","62061","28591","29944","58535"

"令和5年度港区行政資料集　年齢（５歳階級）別・総合支所別人口","Ver202301",,,,,,,,,,,,,,
