"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","区の広報紙（広報みなと）","730","35.3","57.0"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","区のパンフレット（「いきいき」、「あったかいね!介護保険」など）","83","4.0","6.5"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","区および町会・自治会の掲示板","16","0.8","1.3"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","新聞・雑誌・本","18","0.9","1.4"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","インターネット（パソコン、タブレット型端末、スマートフォン）","27","1.3","2.1"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","テレビ・ラジオ","14","0.7","1.1"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","家族・親族","29","1.4","2.3"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","友人・知人","43","2.1","3.4"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","民生委員・児童委員","6","0.3","0.5"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","区の職員の訪問","21","1.0","1.6"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","かかりつけ医","33","1.6","2.6"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","総合支所・区役所","55","2.7","4.3"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","みなと保健所","2","0.1","0.2"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","高齢者相談センター（地域包括支援センター）","95","4.6","7.4"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","いきいきプラザ","67","3.2","5.2"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","社会福祉協議会・シルバー人材センター","7","0.3","0.5"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","その他","34","1.6","2.7"
"202003","保健福祉サービスの情報について","Q54-2. 【問54-1で「１.～17.」と回答された方のみ】問54-1で選択したもののうち、最も役立ったのはどこからの情報ですか","無回答","789","38.1",

"港区保健福祉基礎調査（高齢者）・単純集計表・保健福祉サービスの情報についてQ54-2","Ver202003",,,,,
