"年月[西暦]","調査項目","設問","政策目標","調査回答者の属性種別","調査回答者の属性","調査数[人]","強くそう思う[人]","どちらかといえばそう思う[人]","あまりそう思わない[人]","全くそう思わない[人]","無回答[人]"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","全体",,"658","66","255","255","52","30"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性（計）","248","26","84","97","31","10"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性 18～29歳","23","3","10","6","4","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性 30～39歳","35","6","13","15","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性 40～49歳","41","4","16","12","9","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性 50～59歳","49","6","19","20","3","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性 60～69歳","39","3","9","20","7","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性 70歳以上","60","4","16","24","7","9"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","男性 無回答","1","0","1","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性（計）","400","40","167","154","20","19"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性 18～29歳","28","1","12","13","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性 30～39歳","65","7","30","22","5","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性 40～49歳","95","14","38","37","5","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性 50～59歳","82","10","34","33","4","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性 60～69歳","55","4","25","22","1","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性 70歳以上","75","4","28","27","4","12"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","女性 無回答","0","0","0","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","性・年代別","無回答","10","0","4","4","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","職業別","自営業主・家族従業","92","5","33","37","10","7"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","職業別","会社員・団体職員・公務員","280","33","111","105","24","7"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","職業別","アルバイト・パートタイマー","58","8","24","20","5","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","職業別","家事専業","94","9","38","39","5","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(20)スポーツをできる環境が充実している","職業別","学生","20","1","7","11","1","0"
