"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2018","議会費",,"750184"
"2018","総務費",,"36691522"
"2018","環境清掃費",,"5541290"
"2018","民生費",,"51432133"
"2018","衛生費",,"5117668"
"2018","産業経済費",,"2637006"
"2018","土木費",,"11290105"
"2018","教育費",,"17948524"
"2018","公債費",,"382576"
"2018","諸支出金",,"6476008"
"2018","予備費",,"0"
"2018","歳出合計",,"138267016"
"2019","議会費",,"703453"
"2019","総務費",,"31901152"
"2019","環境清掃費",,"5824126"
"2019","民生費",,"56439526"
"2019","衛生費",,"5382650"
"2019","産業経済費",,"2923234"
"2019","土木費",,"15289993"
"2019","教育費",,"19649181"
"2019","公債費",,"238284"
"2019","諸支出金",,"11648606"
"2019","予備費",,"0"
"2019","歳出合計",,"150000205"
"2020","議会費","709629","694865"
"2020","総務費","55435593","52616158"
"2020","環境清掃費","6230158","6101055"
"2020","民生費","58915129","55648422"
"2020","衛生費","6403198","5638529"
"2020","産業経済費","8103344","5968452"
"2020","土木費","17408696","16575031"
"2020","教育費","20451046","19202253"
"2020","公債費","189786","188508"
"2020","諸支出金","8901627","8481967"
"2020","予備費","288247","0"
"2020","歳出合計","183036453","171115241"
"2021","議会費","742481","709853"
"2021","総務費","26288040","24761671"
"2021","環境清掃費","6774418","6576028"
"2021","民生費","64372779","60068656"
"2021","衛生費","13635138","12559129"
"2021","産業経済費","14452218","13188005"
"2021","土木費","18401791","17791745"
"2021","教育費","30530959","29805079"
"2021","公債費","158449","156828"
"2021","諸支出金","15607186","15468111"
"2021","予備費","638811","0"
"2021","歳出合計","191602269","181085105"
"2022","議会費","711758","694937"
"2022","総務費","29823933","28855524"
"2022","環境清掃費","6877691","6617570"
"2022","民生費","67297886","64764863"
"2022","衛生費","12194777","10878475"
"2022","産業経済費","5657836","5099885"
"2022","土木費","18745988","17920274"
"2022","教育費","30826675","30098935"
"2022","公債費","121572","119585"
"2022","諸支出金","7325319","7112389"
"2022","予備費","525812","0"
"2022","歳出合計","180109247","172162437"

"令和5年度港区行政資料集　一般会計歳出決算","Ver202303",,
