"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2019120101,"一の橋",1,24,38,62,0,8,58,230,24,17,3,"Calm",84,49,288
2019120102,"一の橋",1,11,34,45,0,6,48,221,15,16,3,"Calm",83,49,269
2019120103,"一の橋",1,8,29,37,1,5,40,216,15,17,5,"E",67,55,256
2019120104,"一の橋",1,3,19,22,7,4,29,208,12,16,5,"E",66,51,237
2019120105,"一の橋",1,3,16,19,9,3,22,206,10,6,4,"Calm",68,51,228
2019120106,"一の橋",1,3,16,19,10,3,22,208,13,6,7,"E",66,49,230
2019120107,"一の橋",1,3,14,17,13,3,22,204,9,12,5,"E",71,46,226
2019120108,"一の橋",1,6,17,23,12,3,13,204,8,4,4,"Calm",75,44,217
2019120109,"一の橋",1,5,15,20,16,3,14,204,10,3,3,"Calm",77,44,218
2019120110,"一の橋",1,9,16,25,14,3,18,204,7,9,3,"Calm",88,41,222
2019120111,"一の橋",1,6,15,21,19,3,17,204,11,6,4,"Calm",100,39,221
2019120112,"一の橋",3,8,20,28,20,4,22,205,14,14,5,"E",113,37,227
2019120113,"一の橋",4,9,28,37,16,5,23,204,18,17,4,"Calm",114,39,227
2019120114,"一の橋",5,10,32,42,15,5,26,207,22,27,4,"Calm",114,42,233
2019120115,"一の橋",4,11,38,49,10,6,29,212,23,22,3,"Calm",119,48,241
2019120116,"一の橋",5,14,42,56,7,7,36,217,31,23,2,"Calm",126,49,253
2019120117,"一の橋",4,15,44,59,2,8,46,220,30,24,3,"Calm",119,42,266
2019120118,"一の橋",3,16,46,62,1,8,48,224,33,27,3,"Calm",117,43,272
2019120119,"一の橋",2,11,45,56,2,7,47,220,29,21,5,"E",114,45,267
2019120120,"一の橋",2,5,34,39,9,6,41,216,31,20,2,"Calm",111,47,257
2019120121,"一の橋",2,8,38,46,5,7,40,217,35,26,2,"Calm",110,50,257
2019120122,"一の橋",2,25,46,71,1,9,55,230,39,30,2,"Calm",112,53,285
2019120123,"一の橋",2,45,47,92,0,10,58,235,41,32,1,"Calm",107,56,293
2019120124,"一の橋",2,49,48,97,0,12,78,251,40,29,1,"Calm",113,57,329
2019120201,"一の橋",2,"校正","校正","校正",0,10,72,246,42,39,3,"Calm",109,55,318
2019120202,"一の橋",2,40,48,88,0,10,68,247,45,39,3,"Calm",102,57,315
2019120203,"一の橋",2,41,42,83,0,9,76,243,45,37,4,"Calm",102,56,319
2019120204,"一の橋",1,9,32,41,2,5,43,217,34,34,3,"Calm",95,62,260
2019120205,"一の橋",1,5,28,33,2,4,32,210,33,31,5,"ENE",94,63,242
2019120206,"一の橋",1,19,30,49,0,5,33,213,36,27,2,"Calm",99,64,246
2019120207,"一の橋",1,35,32,67,1,5,36,217,37,29,0,"Calm",100,79,253
2019120208,"一の橋",1,71,36,107,1,7,37,222,36,30,6,"NE",102,84,259
2019120209,"一の橋",1,85,37,122,1,8,47,228,44,32,4,"Calm",104,89,275
2019120210,"一の橋",2,117,41,158,1,10,59,233,45,29,4,"Calm",102,89,292
2019120211,"一の橋",2,118,40,158,1,9,61,233,42,24,2,"Calm",109,90,294
