"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2015120101,"港南",1,3,32,35,1,,,,22,,8,"WNW",,,
2015120102,"港南",1,9,33,42,0,,,,27,,2,"WNW",,,
2015120103,"港南",1,22,32,54,0,,,,24,,4,"WNW",,,
2015120104,"港南",1,37,31,68,0,,,,29,,6,"NNW",,,
2015120105,"港南",1,38,29,67,0,,,,29,,2,"NNW",,,
2015120106,"港南",1,35,27,62,0,,,,27,,3,"W",,,
2015120107,"港南",1,54,29,83,0,,,,33,,1,"W",,,
2015120108,"港南",1,33,29,62,2,,,,22,,12,"NNW",,,
2015120109,"港南",1,34,31,65,5,,,,18,,9,"NE",,,
2015120110,"港南",2,42,34,76,8,,,,13,,12,"NNW",,,
2015120111,"港南",1,39,34,73,9,,,,8,,5,"SE",,,
2015120112,"港南",2,44,36,80,9,,,,7,,11,"ESE",,,
2015120113,"港南",1,29,30,59,15,,,,27,,8,"E",,,
2015120114,"港南",9998,9998,9998,9998,9998,,,,9998,,9998,,,,
2015120115,"港南",2,30,36,66,12,,,,9998,,9998,,,,
2015120116,"港南",3,32,44,76,6,,,,2,,3,"SW",,,
2015120117,"港南",6,19,48,67,2,,,,11,,10,"SW",,,
2015120118,"港南",4,17,47,64,3,,,,13,,3,"W",,,
2015120119,"港南",3,12,38,50,6,,,,20,,7,"E",,,
2015120120,"港南",3,11,32,43,11,,,,17,,2,"WSW",,,
2015120121,"港南",2,4,28,32,13,,,,13,,6,"ESE",,,
2015120122,"港南",3,8,25,33,12,,,,18,,9,"E",,,
2015120123,"港南",2,12,22,34,13,,,,14,,11,"ENE",,,
2015120124,"港南",2,7,16,23,17,,,,15,,13,"E",,,
2015120201,"港南",1,9996,9996,9996,9996,,,,8,,6,"NNE",,,
2015120202,"港南",2,8,22,30,12,,,,10,,9,"ENE",,,
2015120203,"港南",1,6,22,28,13,,,,18,,9,"N",,,
2015120204,"港南",1,5,20,25,14,,,,8,,5,"NNE",,,
2015120205,"港南",1,9,23,32,12,,,,10,,6,"N",,,
2015120206,"港南",1,14,26,40,10,,,,7,,6,"NNW",,,
2015120207,"港南",1,14,26,40,9,,,,7,,6,"NE",,,
2015120208,"港南",1,32,34,66,4,,,,15,,13,"NNW",,,
2015120209,"港南",1,22,30,52,3,,,,22,,14,"NW",,,
2015120210,"港南",1,24,31,55,2,,,,9,,14,"NNW",,,
2015120211,"港南",1,27,33,60,3,,,,15,,11,"NNW",,,
2015120212,"港南",1,27,33,60,5,,,,13,,9,"NW",,,
2015120213,"港南",1,39,35,74,4,,,,21,,12,"NNW",,,
2015120214,"港南",1,25,32,57,5,,,,19,,8,"ENE",,,
2015120215,"港南",1,28,34,62,5,,,,22,,8,"NNE",,,
2015120216,"港南",1,31,38,69,3,,,,30,,11,"NNW",,,
2015120217,"港南",1,19,36,55,2,,,,26,,13,"NW",,,
2015120218,"港南",1,15,37,52,2,,,,25,,7,"NNW",,,
2015120219,"港南",1,12,38,50,0,,,,36,,8,"NW",,,
2015120220,"港南",1,11,35,46,1,,,,33,,7,"NE",,,
2015120221,"港南",0,13,34,47,2,,,,37,,8,"NNE",,,
2015120222,"港南",0,12,31,43,3,,,,29,,3,"W",,,
2015120223,"港南",1,8,32,40,1,,,,26,,1,"W",,,
2015120224,"港南",1,3,32,35,2,,,,29,,1,"NNW",,,
2015120301,"港南",1,4,33,37,1,,,,33,,5,"NW",,,
2015120302,"港南",1,22,36,58,0,,,,33,,4,"SSW",,,
2015120303,"港南",1,21,35,56,0,,,,28,,4,"NNW",,,
2015120304,"港南",1,20,34,54,0,,,,25,,4,"NNW",,,
2015120305,"港南",1,26,34,60,1,,,,33,,3,"NNW",,,
2015120306,"港南",1,44,36,80,1,,,,29,,3,"NW",,,
2015120307,"港南",1,81,41,122,1,,,,46,,5,"S",,,
2015120308,"港南",2,141,49,190,1,,,,46,,3,"SW",,,
2015120309,"港南",2,123,46,169,1,,,,43,,6,"ENE",,,
2015120310,"港南",2,128,47,175,1,,,,50,,3,"SSW",,,
2015120311,"港南",1,177,52,229,1,,,,55,,3,"NW",,,
2015120312,"港南",1,112,45,157,1,,,,57,,16,"NW",,,
2015120313,"港南",1,37,35,72,2,,,,44,,11,"NNW",,,
2015120314,"港南",1,30,37,67,3,,,,33,,3,"WNW",,,
2015120315,"港南",1,35,41,76,2,,,,27,,2,"WSW",,,
2015120316,"港南",1,69,45,114,1,,,,34,,4,"WNW",,,
2015120317,"港南",1,71,48,119,1,,,,44,,4,"WNW",,,
2015120318,"港南",1,105,50,155,0,,,,51,,3,"WNW",,,
