"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2003120101,"港南",2,12,32,44,,,,,14,,2,"SSE",,,
2003120102,"港南",1,13,32,45,,,,,2,,5,"WNW",,,
2003120103,"港南",1,7,27,34,,,,,10,,5,"E",,,
2003120104,"港南",1,2,19,21,,,,,6,,2,"NNW",,,
2003120105,"港南",0,3,21,24,,,,,6,,4,"ENE",,,
2003120106,"港南",0,8,27,35,,,,,16,,2,"NNE",,,
2003120107,"港南",1,29,32,61,,,,,9,,5,"NNE",,,
2003120108,"港南",1,39,35,74,,,,,0,,7,"NE",,,
2003120109,"港南",1,52,37,89,,,,,11,,9,"ENE",,,
2003120110,"港南",1,38,36,74,,,,,7,,9,"NE",,,
2003120111,"港南",1,26,37,63,,,,,4,,10,"NE",,,
2003120112,"港南",1,38,41,79,,,,,4,,6,"NW",,,
2003120113,"港南",1,27,37,64,,,,,9,,10,"NE",,,
2003120114,"港南",1,31,37,68,,,,,2,,11,"NNW",,,
2003120115,"港南",1,36,39,75,,,,,6,,9,"N",,,
2003120116,"港南",1,24,38,62,,,,,6,,11,"N",,,
2003120117,"港南",1,24,38,62,,,,,13,,7,"NNE",,,
2003120118,"港南",0,17,34,51,,,,,7,,10,"N",,,
2003120119,"港南",1,12,32,44,,,,,15,,8,"NNE",,,
2003120120,"港南",1,13,31,44,,,,,5,,9,"NE",,,
2003120121,"港南",0,7,27,34,,,,,11,,10,"ENE",,,
2003120122,"港南",0,5,24,29,,,,,0,,9,"ENE",,,
2003120123,"港南",0,5,23,28,,,,,3,,10,"ESE",,,
2003120124,"港南",0,4,21,25,,,,,11,,9,"ENE",,,
2003120201,"港南",0,3,16,19,,,,,12,,12,"ENE",,,
2003120202,"港南",0,2,17,19,,,,,7,,11,"ENE",,,
2003120203,"港南",0,2,15,17,,,,,3,,9,"ESE",,,
2003120204,"港南",0,2,17,19,,,,,1,,10,"E",,,
2003120205,"港南",1,3,18,21,,,,,0,,9,"E",,,
2003120206,"港南",1,3,19,22,,,,,16,,11,"E",,,
2003120207,"港南",1,5,21,26,,,,,4,,13,"ENE",,,
2003120208,"港南",1,12,25,37,,,,,13,,10,"NE",,,
2003120209,"港南",1,22,28,50,,,,,7,,8,"ENE",,,
2003120210,"港南",2,27,28,55,,,,,8,,5,"E",,,
2003120211,"港南",2,28,29,57,,,,,13,,8,"ENE",,,
2003120212,"港南",2,19,28,47,,,,,17,,8,"E",,,
2003120213,"港南",2,13,21,34,,,,,17,,14,"E",,,
2003120214,"港南",1,10,19,29,,,,,9,,14,"E",,,
2003120215,"港南",1,9,20,29,,,,,14,,14,"E",,,
2003120216,"港南",1,8,21,29,,,,,6,,12,"SE",,,
2003120217,"港南",1,8,27,35,,,,,13,,13,"E",,,
2003120218,"港南",1,9,30,39,,,,,9,,9,"E",,,
2003120219,"港南",1,8,31,39,,,,,12,,10,"ENE",,,
2003120220,"港南",0,6,27,33,,,,,7,,8,"NE",,,
2003120221,"港南",0,5,21,26,,,,,10,,9,"NE",,,
2003120222,"港南",0,4,17,21,,,,,7,,9,"N",,,
2003120223,"港南",0,4,17,21,,,,,6,,11,"E",,,
2003120224,"港南",0,4,18,22,,,,,9,,11,"E",,,
2003120301,"港南",0,3,19,22,,,,,11,,10,"E",,,
2003120302,"港南",0,2,13,15,,,,,11,,11,"E",,,
2003120303,"港南",0,1,12,13,,,,,3,,11,"ENE",,,
2003120304,"港南",0,1,13,14,,,,,2,,12,"E",,,
2003120305,"港南",0,1,13,14,,,,,1,,10,"E",,,
2003120306,"港南",0,3,17,20,,,,,2,,9,"ENE",,,
2003120307,"港南",0,4,22,26,,,,,9,,14,"NE",,,
2003120308,"港南",0,9,27,36,,,,,6,,8,"NE",,,
2003120309,"港南",1,19,36,55,,,,,10,,8,"ENE",,,
2003120310,"港南",1,30,40,70,,,,,1,,6,"ENE",,,
2003120311,"港南",3,37,41,78,,,,,13,,17,"NE",,,
2003120312,"港南",7,63,44,107,,,,,10,,8,"SE",,,
2003120313,"港南",6,28,38,66,,,,,18,,13,"ESE",,,
2003120314,"港南",6,32,41,73,,,,,10,,10,"ESE",,,
2003120315,"港南",7,45,45,90,,,,,10,,15,"SSE",,,
2003120316,"港南",9,41,46,87,,,,,15,,14,"SE",,,
2003120317,"港南",4,41,46,87,,,,,12,,12,"SE",,,
2003120318,"港南",6,44,48,92,,,,,8,,5,"S",,,
2003120319,"港南",4,28,41,69,,,,,7,,9,"SSE",,,
2003120320,"港南",4,27,42,69,,,,,6,,2,"S",,,
2003120321,"港南",6,32,44,76,,,,,8,,0,"N",,,
2003120322,"港南",8,67,45,112,,,,,11,,0,"N",,,
2003120323,"港南",6,69,48,117,,,,,15,,4,"ESE",,,
2003120324,"港南",4,73,49,122,,,,,21,,6,"WNW",,,
2003120401,"港南",9995,60,46,106,,,,,10,,3,"SE",,,
2003120402,"港南",9995,23,41,64,,,,,16,,3,"E",,,
2003120403,"港南",2,10,37,47,,,,,13,,6,"ESE",,,
2003120404,"港南",1,6,34,40,,,,,4,,4,"ESE",,,
2003120405,"港南",1,12,37,49,,,,,3,,7,"ESE",,,
2003120406,"港南",1,13,36,49,,,,,12,,7,"E",,,
2003120407,"港南",1,23,39,62,,,,,8,,7,"ESE",,,
2003120408,"港南",1,27,39,66,,,,,11,,7,"ENE",,,
2003120409,"港南",2,36,37,73,,,,,11,,9,"NNE",,,
2003120410,"港南",3,37,39,76,,,,,2,,6,"ENE",,,
2003120411,"港南",9998,9998,9998,9998,,,,,20,,5,"S",,,
2003120412,"港南",9998,9998,9998,9998,,,,,4,,11,"ENE",,,
2003120413,"港南",2,15,29,44,,,,,9,,5,"NNW",,,
2003120414,"港南",4,39,44,83,,,,,11,,7,"NE",,,
2003120415,"港南",2,14,28,42,,,,,4,,7,"ENE",,,
2003120416,"港南",1,15,32,47,,,,,14,,5,"SE",,,
2003120417,"港南",2,12,32,44,,,,,6,,8,"ENE",,,
2003120418,"港南",2,11,33,44,,,,,3,,6,"W",,,
2003120419,"港南",1,13,37,50,,,,,8,,6,"ENE",,,
2003120420,"港南",2,16,40,56,,,,,3,,5,"NNE",,,
