"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2016","総務費",,"637867"
"2016","保険給付費",,"13307186"
"2016","地域支援事業費",,"643418"
"2016","基金積立金",,"213425"
"2016","諸支出金",,"135085"
"2016","公債費",,"21784"
"2016","歳出合計",,"14958766"
"2017","総務費",,"616438"
"2017","保険給付費",,"13520830"
"2017","地域支援事業費",,"897537"
"2017","基金積立金",,"255742"
"2017","諸支出金",,"189555"
"2017","公債費",,"21784"
"2017","歳出合計",,"15501887"
"2018","総務費",,"663064"
"2018","保険給付費",,"13708516"
"2018","地域支援事業費",,"902793"
"2018","基金積立金",,"256749"
"2018","諸支出金",,"261536"
"2018","公債費",,
"2018","歳出合計",,"15792658"
"2019","総務費","777155","593858"
"2019","保険給付費","15176232","14240212"
"2019","地域支援事業費","953190","890966"
"2019","基金積立金","400769","400747"
"2019","諸支出金","83216","80194"
"2019","公債費",,
"2019","歳出合計","17390562","16205977"
"2020","総務費","838506","699939"
"2020","保険給付費","16436043","14547340"
"2020","地域支援事業費","950254","773240"
"2020","基金積立金","450400","450399"
"2020","諸支出金","29325","19522"
"2020","公債費",,
"2020","歳出合計","18704528","16490442"

"令和3年度港区行政資料集　介護保険会計歳出決算","Ver202103",,
