"選挙名称","時現在","投票者数[人]","投票率[%]"
"平成31年4月21日執行 港区議会議員選挙","8時現在","887","0.45"
"平成31年4月21日執行 港区議会議員選挙","9時現在","2542","1.30"
"平成31年4月21日執行 港区議会議員選挙","10時現在","5632","2.88 "
"平成31年4月21日執行 港区議会議員選挙","11時現在","10410","5.33"
"平成31年4月21日執行 港区議会議員選挙","12時現在","15986","8.18"
"平成31年4月21日執行 港区議会議員選挙","13時現在","20625","10.56"
"平成31年4月21日執行 港区議会議員選挙","14時現在","25322","12.96 "
"平成31年4月21日執行 港区議会議員選挙","15時現在","29844","15.28"
"平成31年4月21日執行 港区議会議員選挙","16時現在","34191","17.50 "
"平成31年4月21日執行 港区議会議員選挙","17時現在","38613","19.77"
"平成31年4月21日執行 港区議会議員選挙","18時現在","43739","22.39"
"平成31年4月21日執行 港区議会議員選挙","19時現在","48674","24.92"
"平成31年4月21日執行 港区議会議員選挙","20時終了","69093","35.37"

"平成31年4月21日執行 港区議会議員選挙投票状況速報 ","Ver201904",,
