"科目","金額[百万円]"
"年度","2017"
"期間（自）","20170401"
"期間（至）","20180331"
"経常費用","185391"
"経常費用 業務費用","86098"
"経常費用 業務費用 人件費","21424"
"経常費用 業務費用 人件費 職員給与費","17526"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1024"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1398"
"経常費用 業務費用 人件費 その他","1476"
"経常費用 業務費用 物件費等","56374"
"経常費用 業務費用 物件費等 物件費","41727"
"経常費用 業務費用 物件費等 維持補修費","4406"
"経常費用 業務費用 物件費等 減価償却費","10211"
"経常費用 業務費用 物件費等 その他","31"
"経常費用 業務費用 その他の業務費用","8300"
"経常費用 業務費用 その他の業務費用 支払利息","45"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","826"
"経常費用 業務費用 その他の業務費用 その他","7429"
"経常費用 移転費用","99293"
"経常費用 移転費用 補助金等","78264"
"経常費用 移転費用 社会保障給付","20661"
"経常費用 移転費用 他会計への繰出金","0"
"経常費用 移転費用 その他","368"
"経常収益","18941"
"経常収益 使用料及び手数料","8277"
"経常収益 その他","10664"
"純経常行政コスト","-166451"
"臨時損失","191"
"臨時損失 災害復旧事業費","0"
"臨時損失 資産除売却損","191"
"臨時損失 損失補償等引当金繰入額","0"
"臨時損失 その他","0"
"臨時利益","8"
"臨時利益 資産売却益","2"
"臨時利益 その他","5"
"純行政コスト","-166634"

"連結会計財務書類（行政コスト計算書）(平成29年4月1日から平成30年3月31日)","Ver201803"
