"登録日","所管","町丁名","男[人]","女[人]","計[人]"
"20210901","芝地区総合支所管内","芝一丁目","777","875","1652"
"20210901","芝地区総合支所管内","芝二丁目","1350","1555","2905"
"20210901","芝地区総合支所管内","芝三丁目","1351","1548","2899"
"20210901","芝地区総合支所管内","芝四丁目","880","1022","1902"
"20210901","芝地区総合支所管内","芝五丁目","1014","1463","2477"
"20210901","芝地区総合支所管内","海岸一丁目","821","784","1605"
"20210901","芝地区総合支所管内","東新橋一丁目","575","674","1249"
"20210901","芝地区総合支所管内","東新橋二丁目","284","185","469"
"20210901","芝地区総合支所管内","新橋一丁目","5","6","11"
"20210901","芝地区総合支所管内","新橋二丁目","47","47","94"
"20210901","芝地区総合支所管内","新橋三丁目","81","79","160"
"20210901","芝地区総合支所管内","新橋四丁目","234","213","447"
"20210901","芝地区総合支所管内","新橋五丁目","455","390","845"
"20210901","芝地区総合支所管内","新橋六丁目","469","371","840"
"20210901","芝地区総合支所管内","西新橋一丁目","141","99","240"
"20210901","芝地区総合支所管内","西新橋二丁目","158","150","308"
"20210901","芝地区総合支所管内","西新橋三丁目","340","368","708"
"20210901","芝地区総合支所管内","三田一丁目","1440","1844","3284"
"20210901","芝地区総合支所管内","三田二丁目","1540","1960","3500"
"20210901","芝地区総合支所管内","三田三丁目","658","712","1370"
"20210901","芝地区総合支所管内","浜松町一丁目","921","911","1832"
"20210901","芝地区総合支所管内","浜松町二丁目","132","107","239"
"20210901","芝地区総合支所管内","芝大門一丁目","307","310","617"
"20210901","芝地区総合支所管内","芝大門二丁目","326","315","641"
"20210901","芝地区総合支所管内","芝公園一丁目","104","118","222"
"20210901","芝地区総合支所管内","芝公園二丁目","266","283","549"
"20210901","芝地区総合支所管内","芝公園三丁目","123","138","261"
"20210901","芝地区総合支所管内","芝公園四丁目","31","26","57"
"20210901","芝地区総合支所管内","虎ノ門一丁目","185","190","375"
"20210901","芝地区総合支所管内","虎ノ門二丁目","7","6","13"
"20210901","芝地区総合支所管内","虎ノ門三丁目","728","821","1549"
"20210901","芝地区総合支所管内","虎ノ門四丁目","175","365","540"
"20210901","芝地区総合支所管内","虎ノ門五丁目","130","135","265"
"20210901","芝地区総合支所管内","愛宕一丁目","9","11","20"
"20210901","芝地区総合支所管内","愛宕二丁目","128","143","271"
"20210901","麻布地区総合支所管内","麻布狸穴町","218","269","487"
"20210901","麻布地区総合支所管内","麻布永坂町","72","99","171"
"20210901","麻布地区総合支所管内","南麻布一丁目","1519","1978","3497"
"20210901","麻布地区総合支所管内","南麻布二丁目","1388","1752","3140"
"20210901","麻布地区総合支所管内","南麻布三丁目","1044","1360","2404"
"20210901","麻布地区総合支所管内","南麻布四丁目","1098","1468","2566"
"20210901","麻布地区総合支所管内","南麻布五丁目","602","858","1460"
"20210901","麻布地区総合支所管内","元麻布一丁目","378","510","888"
"20210901","麻布地区総合支所管内","元麻布二丁目","613","786","1399"
"20210901","麻布地区総合支所管内","元麻布三丁目","574","603","1177"
"20210901","麻布地区総合支所管内","西麻布一丁目","699","677","1376"
"20210901","麻布地区総合支所管内","西麻布二丁目","988","1097","2085"
"20210901","麻布地区総合支所管内","西麻布三丁目","1116","1366","2482"
"20210901","麻布地区総合支所管内","西麻布四丁目","1116","1380","2496"
"20210901","麻布地区総合支所管内","六本木一丁目","730","962","1692"
"20210901","麻布地区総合支所管内","六本木二丁目","331","281","612"
"20210901","麻布地区総合支所管内","六本木三丁目","1048","1026","2074"
"20210901","麻布地区総合支所管内","六本木四丁目","481","442","923"
"20210901","麻布地区総合支所管内","六本木五丁目","711","856","1567"
"20210901","麻布地区総合支所管内","六本木六丁目","472","605","1077"
"20210901","麻布地区総合支所管内","六本木七丁目","802","895","1697"
"20210901","麻布地区総合支所管内","麻布台一丁目","79","71","150"
"20210901","麻布地区総合支所管内","麻布台二丁目","160","173","333"
"20210901","麻布地区総合支所管内","麻布台三丁目","378","414","792"
"20210901","麻布地区総合支所管内","麻布十番一丁目","477","457","934"
"20210901","麻布地区総合支所管内","麻布十番二丁目","1023","1278","2301"
"20210901","麻布地区総合支所管内","麻布十番三丁目","679","720","1399"
"20210901","麻布地区総合支所管内","麻布十番四丁目","158","243","401"
"20210901","麻布地区総合支所管内","東麻布一丁目","838","1052","1890"
"20210901","麻布地区総合支所管内","東麻布二丁目","871","959","1830"
"20210901","麻布地区総合支所管内","東麻布三丁目","317","361","678"
"20210901","赤坂地区総合支所管内","元赤坂一丁目","138","148","286"
"20210901","赤坂地区総合支所管内","元赤坂二丁目","143","116","259"
"20210901","赤坂地区総合支所管内","赤坂一丁目","184","240","424"
"20210901","赤坂地区総合支所管内","赤坂二丁目","1178","1178","2356"
"20210901","赤坂地区総合支所管内","赤坂三丁目","118","89","207"
"20210901","赤坂地区総合支所管内","赤坂四丁目","945","959","1904"
"20210901","赤坂地区総合支所管内","赤坂五丁目","250","364","614"
"20210901","赤坂地区総合支所管内","赤坂六丁目","1431","1609","3040"
"20210901","赤坂地区総合支所管内","赤坂七丁目","963","1094","2057"
"20210901","赤坂地区総合支所管内","赤坂八丁目","1087","1492","2579"
"20210901","赤坂地区総合支所管内","赤坂九丁目","897","785","1682"
"20210901","赤坂地区総合支所管内","南青山一丁目","913","1150","2063"
"20210901","赤坂地区総合支所管内","南青山二丁目","839","983","1822"
"20210901","赤坂地区総合支所管内","南青山三丁目","431","556","987"
"20210901","赤坂地区総合支所管内","南青山四丁目","1177","1450","2627"
"20210901","赤坂地区総合支所管内","南青山五丁目","490","604","1094"
"20210901","赤坂地区総合支所管内","南青山六丁目","645","823","1468"
"20210901","赤坂地区総合支所管内","南青山七丁目","905","1176","2081"
"20210901","赤坂地区総合支所管内","北青山一丁目","430","664","1094"
"20210901","赤坂地区総合支所管内","北青山二丁目","197","252","449"
"20210901","赤坂地区総合支所管内","北青山三丁目","297","394","691"
"20210901","高輪地区総合支所管内","三田四丁目","1304","1681","2985"
"20210901","高輪地区総合支所管内","三田五丁目","2122","2822","4944"
"20210901","高輪地区総合支所管内","高輪一丁目","2355","3261","5616"
"20210901","高輪地区総合支所管内","高輪二丁目","2322","2983","5305"
"20210901","高輪地区総合支所管内","高輪三丁目","1744","2130","3874"
"20210901","高輪地区総合支所管内","高輪四丁目","1683","1833","3516"
"20210901","高輪地区総合支所管内","白金一丁目","1449","1983","3432"
"20210901","高輪地区総合支所管内","白金二丁目","845","1112","1957"
"20210901","高輪地区総合支所管内","白金三丁目","1423","1768","3191"
"20210901","高輪地区総合支所管内","白金四丁目","484","697","1181"
"20210901","高輪地区総合支所管内","白金五丁目","638","783","1421"
"20210901","高輪地区総合支所管内","白金六丁目","1341","1695","3036"
"20210901","高輪地区総合支所管内","白金台一丁目","344","470","814"
"20210901","高輪地区総合支所管内","白金台二丁目","1002","1334","2336"
"20210901","高輪地区総合支所管内","白金台三丁目","1315","1767","3082"
"20210901","高輪地区総合支所管内","白金台四丁目","696","938","1634"
"20210901","高輪地区総合支所管内","白金台五丁目","675","883","1558"
"20210901","芝浦港南地区総合支所管内","芝浦一丁目","1302","1230","2532"
"20210901","芝浦港南地区総合支所管内","芝浦二丁目","1380","1579","2959"
"20210901","芝浦港南地区総合支所管内","芝浦三丁目","794","866","1660"
"20210901","芝浦港南地区総合支所管内","芝浦四丁目","6030","6555","12585"
"20210901","芝浦港南地区総合支所管内","海岸二丁目","477","491","968"
"20210901","芝浦港南地区総合支所管内","海岸三丁目","1752","1421","3173"
"20210901","芝浦港南地区総合支所管内","港南一丁目","131","140","271"
"20210901","芝浦港南地区総合支所管内","港南二丁目","963","1096","2059"
"20210901","芝浦港南地区総合支所管内","港南三丁目","2320","2641","4961"
"20210901","芝浦港南地区総合支所管内","港南四丁目","3666","4233","7899"
"20210901","芝浦港南地区総合支所管内","港南五丁目","271","184","455"
"20210901","芝浦港南地区総合支所管内","台場一丁目","1619","1833","3452"
"20210901","芝浦港南地区総合支所管内","台場二丁目","370","387","757"

"町丁別選挙人名簿登録者数　令和3年9月1日時点","Ver202109",,,,
