"館名","一般図書[冊]","ヤング[冊]","児童図書[冊]","紙芝居[組]","デイジー[組]","一般雑誌[冊]","児童雑誌[冊]","CD[組]","LD[組]","DVD[組]","ｶｾｯﾄ[組]","ｽﾗｲﾄﾞ[組]","16mm[巻]","ビデオ[組]","その他視聴覚","合計"
"みなと","201945","10731","35581","1399","689","19630","3028","19964","1131","7160","4030","84","642","2370","70","308454"
"三田","150291","8753","25672","683","0","8850","296","7697","0","1707","0","0","0","0","0","203949"
"麻布","99175","7350","20328","585","0","3680","339","3487","0","1315","0","0","0","0","0","136259"
"赤坂","128719","8539","29236","844","0","5105","385","5695","0","1475","0","0","0","0","0","179998"
"高輪","114340","5081","37363","972","0","4649","460","8761","2","2157","0","0","0","0","0","173785"
"高輪(分室)","749","24295","32506","599","0","807","888","1816","0","1079","0","0","0","0","0","62739"
"港南","126857","5567","28103","607","0","4134","395","7822","665","1899","0","0","0","0","0","176049"
"合計","822076","70316","208789","5689","689","46855","5791","55242","1798","16792","4030","84","642","2370","70","1241233"

"令和2年度港区行政資料集　図書館別資料所蔵状況","Ver202004",,,,,,,,,,,,,,,
