"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","介護保険料","4021493","22.1","4021493","21.5"
"2020","使用料及び手数料","1","0.0","1","0.0"
"2020","国庫支出金","3585541","19.7","3630326","19.4"
"2020","支払基金交付金","4616729","25.3","4646557","24.8"
"2020","都支出金","2552368","14.0","2585889","13.8"
"2020","財産収入","138","0.0","244","0.0"
"2020","寄附金","1","0.0","1","0.0"
"2020","繰入金","3449336","18.9","3448579","18.4"
"2020","繰越金","7639","0.0","371347","2.0"
"2020","諸収入","91","0.0","91","0.0"
"2020","歳入合計","18233337","100.0","18704528","100.0"
"2021","介護保険料","4013704","23.6",,
"2021","使用料及び手数料",,,,
"2021","国庫支出金","3303192","19.5",,
"2021","支払基金交付金","4290350","25.3",,
"2021","都支出金","2376882","14.0",,
"2021","財産収入","498","0.0",,
"2021","寄附金","1","0.0",,
"2021","繰入金","2983546","17.6",,
"2021","繰越金","7032","0.0",,
"2021","諸収入","33","0.0",,
"2021","歳入合計","16975238","100.0",,

"令和3年度港区行政資料集　介護保険会計歳入予算","Ver202103",,,,
