"登録日","投票区","投票所名","男[人]","女[人]","計[人]"
"20200901","1","虎ノ門いきいきプラザ","1260","1529","2789"
"20200901","2","南桜公園管理棟","785","702","1487"
"20200901","3","生涯学習センター","373","339","712"
"20200901","4","福祉プラザさくら川","2004","2011","4015"
"20200901","5","エコプラザ","2634","2580","5214"
"20200901","6","障害保健福祉センター","2662","2922","5584"
"20200901","7","芝小学校","3030","3417","6447"
"20200901","8","港勤労福祉会館","1004","1482","2486"
"20200901","9","芝浦港南地区総合支所","3327","3453","6780"
"20200901","10","三田中学校","747","833","1580"
"20200901","11","赤羽小学校","2551","3279","5830"
"20200901","12","豊岡いきいきプラザ","2885","3643","6528"
"20200901","13","御田小学校","1173","1534","2707"
"20200901","14","旧三光小学校（三光学童クラブ）","4472","5883","10355"
"20200901","15","旧神応小学校","2456","3095","5551"
"20200901","16","白金小学校","3600","4898","8498"
"20200901","17","高輪台小学校","3445","4629","8074"
"20200901","18","シティハイツ桂坂","2070","2597","4667"
"20200901","19","国民生活センタ－","2286","2577","4863"
"20200901","20","港南小学校","3673","4236","7909"
"20200901","21","六本木中学校","1833","1786","3619"
"20200901","22","麻布小学校","2548","2993","5541"
"20200901","23","飯倉いきいきプラザ","2502","2923","5425"
"20200901","24","南山小学校","2286","2576","4862"
"20200901","25","南麻布いきいきプラザ","4601","5689","10290"
"20200901","26","本村小学校","2341","3108","5449"
"20200901","27","笄小学校","2445","3147","5592"
"20200901","28","西麻布いきいきプラザ","1658","1762","3420"
"20200901","29","高陵中学校","1492","1937","3429"
"20200901","30","赤坂地区総合支所","1548","1537","3085"
"20200901","31","赤坂子ども中高生プラザ","3189","3384","6573"
"20200901","32","赤坂小学校","2798","3121","5919"
"20200901","33","赤坂図書館","1191","1502","2693"
"20200901","34","青山小学校","1302","1712","3014"
"20200901","35","青南小学校","2829","3577","6406"
"20200901","36","赤坂子ども中高生プラザ青山館","412","567","979"
"20200901","37","お台場学園","1991","2210","4201"
"20200901","38","芝浦港南区民センター","3260","3526","6786"
"20200901","39","品川インターシティB棟","1061","1237","2298"
"20200901","40","芝浦アイランド児童高齢者交流プラザ","3846","3800","7646"
"20200901","41","シティハイツ港南","2627","2856","5483"
"20200901",,"在外選挙人名簿","512","663","1175"

"選挙人名簿登録者数　令和2年9月1日時点","Ver202009",,,,
