"年月[西暦]","回収方法","種類","回収量[kg]","対前年同月比[%]"
"201904","集積所回収","資源プラスチック","220890","2"
"201904","集積所回収","古紙","593240","2"
"201904","集積所回収","びん・缶","352341","2"
"201904","集積所回収","ペットボトル","96430","1"
"201904","拠点回収","使用済み乾電池","0","-"
"201904","拠点回収","使用済み小型家電製品","181","-"
"201904","拠点回収","古着","5330","-20"
"201904","拠点回収","蛍光灯","15","500"
"201904","拠点回収","ペットボトルキャップ","81","55"
"201904","拠点回収","廃食用油","0","-"
"201904","ピックアップ回収","金属製品等（不燃ごみからの回収）","47030","-10"
"201904","ピックアップ回収","コード類（不燃ごみからの回収）","2050","-40"
"201904","ピックアップ回収","蛍光灯（不燃ごみからの回収）","826","-"
"201904","ピックアップ回収","金属製品等（粗大ごみからの回収）","29090","-11"
"201904","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201904","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201904","ピックアップ回収","木材（粗大ごみからの回収）","35390","14"
"201905","集積所回収","資源プラスチック","228990","1"
"201905","集積所回収","古紙","596850","-1"
"201905","集積所回収","びん・缶","368445","1"
"201905","集積所回収","ペットボトル","105750","-1"
"201905","拠点回収","使用済み乾電池","0","0"
"201905","拠点回収","使用済み小型家電製品","256","-9"
"201905","拠点回収","古着","10359","53"
"201905","拠点回収","蛍光灯","14","0"
"201905","拠点回収","ペットボトルキャップ","80","105"
"201905","拠点回収","廃食用油","0","-"
"201905","ピックアップ回収","金属製品等（不燃ごみからの回収）","51440","13"
"201905","ピックアップ回収","コード類（不燃ごみからの回収）","2750","-18"
"201905","ピックアップ回収","蛍光灯（不燃ごみからの回収）","1206","-59"
"201905","ピックアップ回収","金属製品等（粗大ごみからの回収）","29010","-19"
"201905","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201905","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201905","ピックアップ回収","木材（粗大ごみからの回収）","36580","-8"
"201906","集積所回収","資源プラスチック","207570","-3"
"201906","集積所回収","古紙","536980","-5"
"201906","集積所回収","びん・缶","337642","-4"
"201906","集積所回収","ペットボトル","103830","-2"
"201906","拠点回収","使用済み乾電池","1880","-"
"201906","拠点回収","使用済み小型家電製品","152","-30"
"201906","拠点回収","古着","4410","-6"
"201906","拠点回収","蛍光灯","18","260"
"201906","拠点回収","ペットボトルキャップ","49","-43"
"201906","拠点回収","廃食用油","0","-"
"201906","ピックアップ回収","金属製品等（不燃ごみからの回収）","47200","3"
"201906","ピックアップ回収","コード類（不燃ごみからの回収）","2540","6"
"201906","ピックアップ回収","蛍光灯（不燃ごみからの回収）","1959","6"
"201906","ピックアップ回収","金属製品等（粗大ごみからの回収）","30130","-10"
"201906","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201906","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201906","ピックアップ回収","木材（粗大ごみからの回収）","33220","8"
"201907","集積所回収","資源プラスチック","224350","5"
"201907","集積所回収","古紙","607520","6"
"201907","集積所回収","びん・缶","363906","5"
"201907","集積所回収","ペットボトル","111680","-9"
"201907","拠点回収","使用済み乾電池","0","-"
"201907","拠点回収","使用済み小型家電製品","142","-27"
"201907","拠点回収","古着","4180","59"
"201907","拠点回収","蛍光灯","39","680"
"201907","拠点回収","ペットボトルキャップ","95","31"
"201907","拠点回収","廃食用油","0","-"
"201907","ピックアップ回収","金属製品等（不燃ごみからの回収）","46270","4"
"201907","ピックアップ回収","コード類（不燃ごみからの回収）","2680","9"
"201907","ピックアップ回収","蛍光灯（不燃ごみからの回収）","3767","120"
"201907","ピックアップ回収","金属製品等（粗大ごみからの回収）","28330","-3"
"201907","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201907","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201907","ピックアップ回収","木材（粗大ごみからの回収）","33210","2"
"201908","集積所回収","資源プラスチック","214390","-"
"201908","集積所回収","古紙","554270","3"
"201908","集積所回収","びん・缶","349652","-"
"201908","集積所回収","ペットボトル","120820","-2"
"201908","拠点回収","使用済み乾電池","0","-"
"201908","拠点回収","使用済み小型家電製品","110","-59"
"201908","拠点回収","古着","4430","18"
"201908","拠点回収","蛍光灯","4","-56"
"201908","拠点回収","ペットボトルキャップ","73","2"
"201908","拠点回収","廃食用油","0","-"
"201908","ピックアップ回収","金属製品等（不燃ごみからの回収）","45310","8"
"201908","ピックアップ回収","コード類（不燃ごみからの回収）","2232","12"
"201908","ピックアップ回収","蛍光灯（不燃ごみからの回収）","2532","53"
"201908","ピックアップ回収","金属製品等（粗大ごみからの回収）","31560","7"
"201908","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201908","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201908","ピックアップ回収","木材（粗大ごみからの回収）","33810","1"
"201909","集積所回収","資源プラスチック","205670","-"
"201909","集積所回収","古紙","550790","4"
"201909","集積所回収","びん・缶","329547","1"
"201909","集積所回収","ペットボトル","109610","2"
"201909","拠点回収","使用済み乾電池","1800","-12"
"201909","拠点回収","使用済み小型家電製品","138","-33"
"201909","拠点回収","古着","3915","26"
"201909","拠点回収","蛍光灯","16","14"
"201909","拠点回収","ペットボトルキャップ","100","19"
"201909","拠点回収","廃食用油","0","-"
"201909","ピックアップ回収","金属製品等（不燃ごみからの回収）","43900","7"
"201909","ピックアップ回収","コード類（不燃ごみからの回収）","2347","-25"
"201909","ピックアップ回収","蛍光灯（不燃ごみからの回収）","782","-71"
"201909","ピックアップ回収","金属製品等（粗大ごみからの回収）","24350","-20"
"201909","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201909","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201909","ピックアップ回収","木材（粗大ごみからの回収）","30250","-8"
"201910","集積所回収","資源プラスチック","228210","3"
"201910","集積所回収","古紙","595470","2"
"201910","集積所回収","びん・缶","366843","3"
"201910","集積所回収","ペットボトル","112690","7"
"201910","拠点回収","使用済み乾電池","0","-"
"201910","拠点回収","使用済み小型家電製品","145","-40"
"201910","拠点回収","古着","5450","10"
"201910","拠点回収","蛍光灯","13","18"
"201910","拠点回収","ペットボトルキャップ","60","-40"
"201910","拠点回収","廃食用油","0","-"
"201910","ピックアップ回収","金属製品等（不燃ごみからの回収）","40890","-9"
"201910","ピックアップ回収","コード類（不燃ごみからの回収）","2249","-"
"201910","ピックアップ回収","蛍光灯（不燃ごみからの回収）","2419","40"
"201910","ピックアップ回収","金属製品等（粗大ごみからの回収）","26290","-21"
"201910","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201910","ピックアップ回収","ふとん（粗大ごみからの回収）","30","-"
"201910","ピックアップ回収","木材（粗大ごみからの回収）","32120","-7"
"201911","集積所回収","資源プラスチック","212030","-1"
"201911","集積所回収","古紙","577100","2"
"201911","集積所回収","びん・缶","338320","-"
"201911","集積所回収","ペットボトル","96550","2"
"201911","拠点回収","使用済み乾電池","0","-"
"201911","拠点回収","使用済み小型家電製品","132","-31"
"201911","拠点回収","古着","7681","11"
"201911","拠点回収","蛍光灯","11","-16"
"201911","拠点回収","ペットボトルキャップ","49","-43"
"201911","拠点回収","廃食用油","0","-"
"201911","ピックアップ回収","金属製品等（不燃ごみからの回収）","42900","-5"
"201911","ピックアップ回収","コード類（不燃ごみからの回収）","2431","12"
"201911","ピックアップ回収","蛍光灯（不燃ごみからの回収）","3224","79"
"201911","ピックアップ回収","金属製品等（粗大ごみからの回収）","30490","-9"
"201911","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201911","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201911","ピックアップ回収","木材（粗大ごみからの回収）","32750","-5"
"201912","集積所回収","資源プラスチック","223150","-2"
"201912","集積所回収","古紙","669080","6"
"201912","集積所回収","びん・缶","365126","-"
"201912","集積所回収","ペットボトル","93910","3"
"201912","拠点回収","使用済み乾電池","1980","1"
"201912","拠点回収","使用済み小型家電製品","103","-56"
"201912","拠点回収","古着","5610","3"
"201912","拠点回収","蛍光灯","19","111"
"201912","拠点回収","ペットボトルキャップ","80","2"
"201912","拠点回収","廃食用油","0","-"
"201912","ピックアップ回収","金属製品等（不燃ごみからの回収）","44740","-12"
"201912","ピックアップ回収","コード類（不燃ごみからの回収）","2697","-11"
"201912","ピックアップ回収","蛍光灯（不燃ごみからの回収）","977","-49"
"201912","ピックアップ回収","金属製品等（粗大ごみからの回収）","23690","-18"
"201912","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201912","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201912","ピックアップ回収","木材（粗大ごみからの回収）","28480","-11"
"202001","集積所回収","資源プラスチック","237280","-"
"202001","集積所回収","古紙","651320","7"
"202001","集積所回収","びん・缶","417431","-"
"202001","集積所回収","ペットボトル","97440","3"
"202001","拠点回収","使用済み乾電池","0","-"
"202001","拠点回収","使用済み小型家電製品","184","-41"
"202001","拠点回収","古着","8034","68"
"202001","拠点回収","蛍光灯","19","111"
"202001","拠点回収","ペットボトルキャップ","60","-60"
"202001","拠点回収","廃食用油","0","-"
"202001","ピックアップ回収","金属製品等（不燃ごみからの回収）","39900","-3"
"202001","ピックアップ回収","コード類（不燃ごみからの回収）","2171","13"
"202001","ピックアップ回収","蛍光灯（不燃ごみからの回収）","3885","-7"
"202001","ピックアップ回収","金属製品等（粗大ごみからの回収）","21970","-9"
"202001","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"202001","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"202001","ピックアップ回収","木材（粗大ごみからの回収）","17400","-36"
"202002","集積所回収","資源プラスチック","209540","2"
"202002","集積所回収","古紙","549520","9"
"202002","集積所回収","びん・缶","339519","4"
"202002","集積所回収","ペットボトル","91360","9"
"202002","拠点回収","使用済み乾電池","0","-"
"202002","拠点回収","使用済み小型家電製品","152","-36"
"202002","拠点回収","古着","5773","83"
"202002","拠点回収","蛍光灯","4","-67"
"202002","拠点回収","ペットボトルキャップ","30","-25"
"202002","拠点回収","廃食用油","0","-"
"202002","ピックアップ回収","金属製品等（不燃ごみからの回収）","42310","-"
"202002","ピックアップ回収","コード類（不燃ごみからの回収）","1957","28"
"202002","ピックアップ回収","蛍光灯（不燃ごみからの回収）","2617","-"
"202002","ピックアップ回収","金属製品等（粗大ごみからの回収）","24570","-9"
"202002","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"202002","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"202002","ピックアップ回収","木材（粗大ごみからの回収）","22090","-31"

"令和元年度　資源回収量【速報値】","Ver202002",,,
