"町丁目","事業所数[事業所]","事業所数のうち民営事業所数[事業所]","従業者数[人]","従業員数のうち民営事業所の従業員数[人]"
"赤坂一丁目",824,822,16425,16336
"赤坂二丁目",1184,1184,23473,23473
"赤坂三丁目",1282,1282,14886,14886
"赤坂四丁目",528,526,7458,7063
"赤坂五丁目",290,290,10415,10415
"赤坂六丁目",410,409,8920,8891
"赤坂七丁目",545,545,7093,7093
"赤坂八丁目",211,210,6756,6751
"赤坂九丁目",277,277,1813,1813
"麻布十番一丁目",318,317,2893,2883
"麻布十番二丁目",336,336,2590,2590
"麻布十番三丁目",97,97,727,727
"麻布十番四丁目",43,43,231,231
"麻布台一丁目",240,236,3135,3075
"麻布台二丁目",72,72,1894,1894
"麻布台三丁目",94,94,694,694
"麻布永坂町",15,14,154,147
"麻布狸穴町",4,4,10,10
"愛宕一丁目",108,108,1121,1121
"愛宕二丁目",59,59,1801,1801
"海岸一丁目",302,301,11554,11541
"海岸二丁目",77,76,2386,2349
"海岸三丁目",251,248,8819,8662
"北青山一丁目",192,192,3177,3177
"北青山二丁目",552,552,10989,10989
"北青山三丁目",728,728,8214,8214
"港南一丁目",99,99,11147,11147
"港南二丁目",662,662,48637,48637
"港南三丁目",90,89,2426,2411
"港南四丁目",94,94,2837,2837
"港南五丁目",96,93,3287,2200
"芝一丁目",281,281,5516,5516
"芝二丁目",610,610,12625,12625
"芝三丁目",440,440,11868,11868
"芝四丁目",458,458,9585,9585
"芝五丁目",1126,1122,30402,29615
"芝浦一丁目",215,215,17673,17673
"芝浦二丁目",187,187,5082,5082
"芝浦三丁目",362,359,11177,11085
"芝浦四丁目",311,311,17608,17608
"芝公園一丁目",195,188,4446,3526
"芝公園二丁目",205,205,8618,8618
"芝公園三丁目",172,172,3016,3016
"芝公園四丁目",91,91,3456,3456
"芝大門一丁目",682,682,10177,10177
"芝大門二丁目",669,669,8235,8235
"白金一丁目",298,298,5643,5643
"白金二丁目",44,43,720,609
"白金三丁目",195,195,981,981
"白金四丁目",30,30,474,474
"白金五丁目",94,93,1697,1674
"白金六丁目",115,115,496,496
"白金台一丁目",35,35,1500,1500
"白金台二丁目",92,92,737,737
"白金台三丁目",179,179,2124,2124
"白金台四丁目",102,102,1658,1658
"白金台五丁目",195,195,1677,1677
"新橋一丁目",576,576,10698,10698
"新橋二丁目",1477,1477,14314,14314
"新橋三丁目",910,910,7170,7170
"新橋四丁目",687,687,6164,6164
"新橋五丁目",696,696,9750,9750
"新橋六丁目",526,522,11150,10151
"高輪一丁目",370,369,4275,4197
"高輪二丁目",353,352,7266,7235
"高輪三丁目",537,535,11948,11584
"高輪四丁目",414,414,7176,7176
"虎ノ門一丁目",1376,1373,20483,20450
"虎ノ門二丁目",515,513,21109,21045
"虎ノ門三丁目",566,566,9482,9482
"虎ノ門四丁目",285,285,12340,12340
"虎ノ門五丁目",338,338,17116,17116
"西麻布一丁目",482,482,4086,4086
"西麻布二丁目",236,236,3685,3685
"西麻布三丁目",399,398,3776,3534
"西麻布四丁目",314,314,3539,3539
"西新橋一丁目",1423,1420,20343,20332
"西新橋二丁目",777,776,12166,12165
"西新橋三丁目",530,529,15356,15159
"浜松町一丁目",827,827,13374,13374
"浜松町二丁目",796,796,12944,12944
"東麻布一丁目",244,243,3106,3077
"東麻布二丁目",142,141,1782,1742
"東麻布三丁目",120,120,1196,1196
"東新橋一丁目",422,422,51890,51890
"東新橋二丁目",353,353,7182,7182
"三田一丁目",241,241,10665,10665
"三田二丁目",226,224,4742,4707
"三田三丁目",447,447,17355,17355
"三田四丁目",211,211,2118,2118
"三田五丁目",155,155,1564,1564
"南青山一丁目",423,423,8893,8893
"南青山二丁目",1016,1015,11360,11252
"南青山三丁目",606,606,7497,7497
"南青山四丁目",266,266,2685,2685
"南青山五丁目",1130,1129,10455,10454
"南青山六丁目",431,431,3083,3083
"南青山七丁目",161,161,1569,1569
"南麻布一丁目",139,139,1803,1803
"南麻布二丁目",176,176,3202,3202
"南麻布三丁目",86,86,1180,1180
"南麻布四丁目",203,203,2203,2203
"南麻布五丁目",190,190,2496,2496
"元赤坂一丁目",329,329,7984,7984
"元赤坂二丁目",6,3,647,361
"元麻布一丁目",61,61,409,409
"元麻布二丁目",36,36,398,398
"元麻布三丁目",94,93,782,675
"六本木一丁目",182,182,6962,6962
"六本木二丁目",64,64,1412,1412
"六本木三丁目",764,763,10902,10674
"六本木四丁目",578,578,5095,5095
"六本木五丁目",460,459,4233,4153
"六本木六丁目",649,647,21277,20843
"六本木七丁目",996,995,7984,7919
"台場一丁目",311,310,4337,4334
"台場二丁目",125,125,8233,8233

"平成18年事業所・企業統計調査港区町丁目別事業所数及び従業者数 町丁目別(平成18年10月1日現在)","Ver200610",,,
