"課税標準額段階","納税義務者数[人]","納税義務者数 構成比[%]","総所得金額等[千円]","所得割額[千円]","所得割額 構成比[%]"
"10万円以下の金額","2988","2.0","2009377","824088","0.9"
"10万円を超える金額","21215","14.5","30947257","1072077","1.2"
"100万円を超える金額","26164","17.9","66075507","2495457","2.8"
"200万円を超える金額","19820","13.6","74396347","2897748","3.3"
"300万円を超える金額","14209","9.7","70218390","2932022","3.3"
"400万円を超える金額","14419","9.9","92224240","4203417","4.7"
"550万円を超える金額","9438","6.5","76049912","3419649","3.8"
"700万円を超える金額","12001","8.2","123881847","5886270","6.6"
"1,000万円を超える金額","25839","17.7","995449473","65422554","73.4"
"合計","146093","100.0","1531252350","89153282","100.0"

"令和4年度港区行政資料集　令和４年度特別区民税課税標準額段階別納税義務者数等","Ver202207",,,,
