"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","時刻39","時刻40"
"青山ルート","六本木ヒルズ","126","赤坂見附駅","7:51","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11","20:31","20:51"
"青山ルート","六本木ヒルズ","127","元赤坂一丁目","7:52","8:12","8:32","8:52","9:12","9:32","9:52","10:12","10:32","10:52","11:12","11:32","11:52","12:12","12:32","12:52","13:12","13:32","13:52","14:12","14:32","14:52","15:12","15:32","15:52","16:12","16:32","16:52","17:12","17:32","17:52","18:12","18:32","18:52","19:12","19:32","19:52","20:12","20:32","20:52"
"青山ルート","六本木ヒルズ","44","赤坂地区総合支所前","7:54","8:14","8:34","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:34","14:54","15:14","15:34","15:54","16:14","16:34","16:54","17:14","17:34","17:54","18:14","18:34","18:54","19:14","19:34","19:54","20:14","20:34","20:54"
"青山ルート","六本木ヒルズ","45","高橋是清翁記念公園前","7:55","8:15","8:35","8:55","9:15","9:35","9:55","10:15","10:35","10:55","11:15","11:35","11:55","12:15","12:35","12:55","13:15","13:35","13:55","14:15","14:35","14:55","15:15","15:35","15:55","16:15","16:35","16:55","17:15","17:35","17:55","18:15","18:35","18:55","19:15","19:35","19:55","20:15","20:35","20:55"
"青山ルート","六本木ヒルズ","46","赤坂郵便局前","7:56","8:16","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:36","14:56","15:16","15:36","15:56","16:16","16:36","16:56","17:16","17:36","17:56","18:16","18:36","18:56","19:16","19:36","19:56","20:16","20:36","20:56"
"青山ルート","六本木ヒルズ","128","青山一丁目駅前","7:57","8:17","8:37","8:57","9:17","9:37","9:57","10:17","10:37","10:57","11:17","11:37","11:57","12:17","12:37","12:57","13:17","13:37","13:57","14:17","14:37","14:57","15:17","15:37","15:57","16:17","16:37","16:57","17:17","17:37","17:57","18:17","18:37","18:57","19:17","19:37","19:57","20:17","20:37","20:57"
"青山ルート","六本木ヒルズ","129","青山二丁目交差点","7:59","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","20:39","20:59"
"青山ルート","六本木ヒルズ","130","外苑前駅","8:01","8:21","8:41","9:01","9:21","9:41","10:01","10:21","10:41","11:01","11:21","11:41","12:01","12:21","12:41","13:01","13:21","13:41","14:01","14:21","14:41","15:01","15:21","15:41","16:01","16:21","16:41","17:01","17:21","17:41","18:01","18:21","18:41","19:01","19:21","19:41","20:01","20:21","20:41","21:01"
"青山ルート","六本木ヒルズ","131","南青山三丁目交差点","8:02","8:22","8:42","9:02","9:22","9:42","10:02","10:22","10:42","11:02","11:22","11:42","12:02","12:22","12:42","13:02","13:22","13:42","14:02","14:22","14:42","15:02","15:22","15:42","16:02","16:22","16:42","17:02","17:22","17:42","18:02","18:22","18:42","19:02","19:22","19:42","20:02","20:22","20:42","21:02"
"青山ルート","六本木ヒルズ","132","表参道駅","8:04","8:24","8:44","9:04","9:24","9:44","10:04","10:24","10:44","11:04","11:24","11:44","12:04","12:24","12:44","13:04","13:24","13:44","14:04","14:24","14:44","15:04","15:24","15:44","16:04","16:24","16:44","17:04","17:24","17:44","18:04","18:24","18:44","19:04","19:24","19:44","20:04","20:24","20:44","21:04"
"青山ルート","六本木ヒルズ","133","青南小学校","8:07","8:27","8:47","9:07","9:27","9:47","10:07","10:27","10:47","11:07","11:27","11:47","12:07","12:27","12:47","13:07","13:27","13:47","14:07","14:27","14:47","15:07","15:27","15:47","16:07","16:27","16:47","17:07","17:27","17:47","18:07","18:27","18:47","19:07","19:27","19:47","20:07","20:27","20:47","21:07"
"青山ルート","六本木ヒルズ","133-2","南青山六丁目","8:08","8:28","8:48","9:08","9:28","9:48","10:08","10:28","10:48","11:08","11:28","11:48","12:08","12:28","12:48","13:08","13:28","13:48","14:08","14:28","14:48","15:08","15:28","15:48","16:08","16:28","16:48","17:08","17:28","17:48","18:08","18:28","18:48","19:08","19:28","19:48","20:08","20:28","20:48","21:08"
"青山ルート","六本木ヒルズ","198","青山高樹町","8:10","8:30","8:50","9:10","9:30","9:50","10:10","10:30","10:50","11:10","11:30","11:50","12:10","12:30","12:50","13:10","13:30","13:50","14:10","14:30","14:50","15:10","15:30","15:50","16:10","16:30","16:50","17:10","17:30","17:50","18:10","18:30","18:50","19:10","19:30","19:50","20:10","20:30","20:50","21:10"
"青山ルート","六本木ヒルズ","117-2","日赤医療センター","8:13","8:33","8:53","9:13","9:33","9:53","10:13","10:33","10:53","11:13","11:33","11:53","12:13","12:33","12:53","13:13","13:33","13:53","14:13","14:33","14:53","15:13","15:33","15:53","16:13","16:33","16:53","17:13","17:33","17:53","18:13","18:33","18:53","19:13","19:33","19:53","20:13","20:33","20:53","21:13"
"青山ルート","六本木ヒルズ","135","西麻布二丁目","8:17","8:37","8:57","9:17","9:37","9:57","10:17","10:37","10:57","11:17","11:37","11:57","12:17","12:37","12:57","13:17","13:37","13:57","14:17","14:37","14:57","15:17","15:37","15:57","16:17","16:37","16:57","17:17","17:37","17:57","18:17","18:37","18:57","19:17","19:37","19:57","20:17","20:37","20:57","21:17"
"青山ルート","六本木ヒルズ","135-2","西麻布一丁目","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","20:39","20:59","21:19"
"青山ルート","六本木ヒルズ","16","六本木ヒルズ","8:23","8:43","9:03","9:23","9:43","10:03","10:23","10:43","11:03","11:23","11:43","12:03","12:23","12:43","13:03","13:23","13:43","14:03","14:23","14:43","15:03","15:23","15:43","16:03","16:23","16:43","17:03","17:23","17:43","18:03","18:23","18:43","19:03","19:23","19:43","20:03","20:23","20:43","21:03","21:23"

"ちぃばす時刻表　青山ルート 六本木ヒルズ行き（土曜日・日曜日及び祝祭日）","Ver201904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
