番号,地区名,所在地,指定面積（ｈａ）,指定年月日
1,新宿区赤城元町地区,新宿区赤城元町、西五軒町、築地町地内,0.493,昭49.11.27
2,北区赤羽西二丁目地区,北区赤羽西二丁目地内,0.25,昭57.3.31
3,神津島村七軒町地区,神津島村滝川地内,1.35,昭57.3.31
4,奥多摩町小留浦地区,奥多摩町留浦字小留浦地内,2.2,昭59.3.31
5,北区赤羽西三丁目地区,北区赤羽西三丁目地内,0.308,昭59.5.15
6,あきる野市草花地区,あきる野市草花字花ノ岡地内,0.9,昭60.3.30
7,神津島村上の川地区,神津島村上の川地内,1.9,昭60.3.30
8,奥多摩町留浦地区,奥多摩町留浦字留浦地内,2.856,昭62.2.23
9,神津島村上の山地区,神津島村滝川地内,1.42,昭62.2.23
９の２,神津島村上の山地区（２）,神津島村滝川地内,2.354,平15.3.19
10,北区赤羽西四丁目地区,北区赤羽西四丁目地内,0.21,昭62.10.27
11,青梅市長淵二丁目地区,青梅市長淵二丁目地内,0.528,平元.1.28
12,北区岸町二丁目地区,北区岸町二丁目、中十条一丁目地内,0.226,平元.2.17
13,八丈島八丈町三根地区,八丈町三根地内,1.54,平元.2.17
14,八王子市初沢町地区,八王子市初沢町地内,1.357,平2.1.30
15,奥多摩町原地区,奥多摩町原字上の山、字熱海地内,1.784,平2.3.26
16,大島町波浮港地区,大島町波浮港字吹上、字港渕ほか地内,2.77,平2.3.26
17,青梅市千ヶ瀬町五丁目地区,青梅市千ヶ瀬町五丁目地内,0.392,平3.3.1
１７の２,青梅市千ヶ瀬町五丁目地区,青梅市千ヶ瀬町五丁目地内,0.003,平5.12.21
18,あきる野市折立地区,あきる野市草花字下折立、字上折立、字折立下夕平地内,1.765,平3.3.14
19,府中市日新町一丁目地区,府中市日新町一丁目ほか地内,0.562,平3.3.20
１９の２,府中市日新町一町目地区,府中市日新町一丁目ほか地内,0.333,平5.3.19
20,北区赤羽西二丁目（２）地区,北区赤羽西二丁目地内,0.585,平3.3.26
21,あきる野市山田地区,あきる野市山田、上分、下分地内,1.017,平3.3.26
２１の２,あきる野市山田地区,あきる野市山田字下分地内,0.619,平9.1.13
２１の３,あきる野市山田地区（３）,あきる野市山田字下分地内,0.226,平24.1.19
22,三宅村夕景地区,三宅村阿古、伊ヶ谷地内,0.979,平4.3.23
23,日野市落川地区,日野市落川、百草地内,1.076,平5.12.13
24,八王子市大和田地区,八王子市大和田七丁目地内,0.396,平7.3.15
25,あきる野市平沢地区,あきる野市平沢字瀧ノ上、字西ノ前地内,0.450,平8.3.8
２５の２,あきる野市平沢地区（２）,あきる野市平沢字西ノ前地内,0.231,平12.7.28
26,青梅市御岳山地区,青梅市御岳山地内,0.393,平8.5.22
27,神津島村与種地区,神津島村高処山地内,2.032,平8.5.22
２７の２,神津島村与種地区（２）,神津島村高処山地内,6.616,平15.3.19
28,青梅市青梅地区,青梅市青梅字滝ノ上地内,0.309,平9.1.13
29,大島町岡田地区,大島町岡田字川の道ほか地内,2.240,平9.1.13
２９の２,大島町岡田地区（２）,大島町岡田字上ノ山地内,0.772,平12.10.17
30,あきる野市伊奈地区,あきる野市伊奈字上宿ほか地内,0.205,平10.5.28
３０の２,あきる野市伊奈地区（２）,あきる野市伊奈字上宿ほか地内,0.202,平16.5.24
31,八王子市初沢町地区（２）,八王子市初沢町地内,2.384,平10.12.2
32,三宅村伊ヶ谷地区,三宅村伊ヶ谷地内,1.355,平10.12.11
33,大島町泉津地区,大島町泉津字川之原、字波牛地内,0.545,平11.11.5
34,羽村市羽西二丁目地区,羽村市羽西二丁目、羽加美四丁目地内,0.151,平11.11.24
35,八王子市横川地区,八王子市横川町地内,0.451,平13.1.16
36,多摩市連光寺一丁目地区,多摩市連光寺一丁目ほか地内,1.86,平14.2.1
３６の２,多摩市連光寺一丁目地区（２）,多摩市連光寺一丁目地内,1.471,平14.12.19
37,神津島村宮原地区,神津島村宮原地内,1.914,平15.3.19
38,新島木戸上地区,新島村木戸上地内,0.938,平15.3.19
39,瑞穂町箱根ヶ崎地区,瑞穂町箱根ヶ崎地内,0.272,平15.3.19
40,日の出町大久野細尾地区,日の出町大久野細尾地内,2.366,平15.7.28
41,八王子市初沢（３）地区,八王子市初沢町地内,0.528,平17.4.6
４１の２,八王子市初沢（３－２）地区,八王子市初沢町地内,0.594,平21.3.9
４１の３,八王子市初沢（３－３）地区,八王子市初沢町地内,0.955,平21.12.21
42,日の出町大久野細尾（２）地区,日の出町大久野細尾地内,1.381,平19.10.4
43,杉並区堀ノ内一丁目地区,杉並区堀ノ内一丁目地内,0.106,平19.12.14
44,大島町岡田（２）地区,大島町岡田字上の山、字大久保、字助田地内,2.869,平20.9.30
45,八王子市南浅川地区,八王子市南浅川町地内,0.832,平21.3.9
46,檜原村藤原地区,檜原村字藤原地内,2.526,平21.3.17
47,あきる野市舘谷地区,あきる野市舘谷字追原地内,0.391,平23.7.28
48,あきる野市折立（２）地区,あきる野市草花字下折立ほか地内,0.167,平23.11.29
49,檜原村三都郷地区,檜原村三都郷地内,2.305,平23.11.29
50,奥多摩町大沢地区,奥多摩町日原字大沢地内,1.076,平24.3.13
51,青梅市御岳山（２）地区,青梅市御岳山地内,0.316,平25.3.18
