河川名,区間１,区間２,基準地点,担当事務所
石神井川,左岸　自,小平市花小金井南町（上流端）,芝久保,北多摩南部建設事務所
石神井川,左岸　至,西東京市東伏見３丁目（練馬区境）,芝久保,北多摩南部建設事務所
石神井川,右岸　自,小平市花小金井南町（上流端）,芝久保,北多摩南部建設事務所
石神井川,右岸　至,西東京市東伏見３丁目（練馬区境）,芝久保,北多摩南部建設事務所
石神井川,左岸　自,練馬区関町北３丁目（西東京市境）,稲荷橋,第四建設事務所
石神井川,左岸　至,練馬区石神井台１丁目（蛍橋）,稲荷橋,第四建設事務所
石神井川,右岸　自,練馬区関町北３丁目（西東京市境）,稲荷橋,第四建設事務所
石神井川,右岸　至,練馬区上石神井３丁目（蛍橋）,稲荷橋,第四建設事務所
石神井川,左岸　自,練馬区石神井台１丁目（蛍橋）,加賀橋,第四建設事務所
石神井川,左岸　至,北区王子本町１丁目（飛鳥山公園）,加賀橋,第四建設事務所
石神井川,右岸　自,練馬区上石神井３丁目（蛍橋）,加賀橋,第四建設事務所
石神井川,右岸　至,北区滝野川２丁目（飛鳥山公園）,加賀橋,第四建設事務所
石神井川,左岸　自,北区王子本町１丁目（飛鳥山公園）,溝田橋,第六建設事務所
石神井川,左岸　至,北区堀船３丁目（隅田川合流点）,溝田橋,第六建設事務所
石神井川,右岸　自,北区滝野川２丁目（飛鳥山公園）,溝田橋,第六建設事務所
石神井川,右岸　至,北区堀船３丁目（隅田川合流点）,溝田橋,第六建設事務所
善福寺川,左岸　自,杉並区善福寺２丁目（上流端）,西田端橋,第三建設事務所
善福寺川,左岸　至,杉並区和田１丁目（神田川合流点）,西田端橋,第三建設事務所
善福寺川,右岸　自,杉並区善福寺２丁目（上流端）,西田端橋,第三建設事務所
善福寺川,右岸　至,中野区弥生町６丁目（神田川合流点）,西田端橋,第三建設事務所
妙正寺川,左岸　自,杉並区清水３丁目（上流端）,鷺盛橋,第三建設事務所
妙正寺川,左岸　至,中野区野方５丁目（新昭栄橋）,鷺盛橋,第三建設事務所
妙正寺川,右岸　自,杉並区清水３丁目（上流端）,鷺盛橋,第三建設事務所
妙正寺川,右岸　至,中野区大和町２丁目（新昭栄橋）,鷺盛橋,第三建設事務所
妙正寺川,左岸　自,中野区野方３丁目（新昭栄橋）,千歳橋,第三建設事務所
妙正寺川,左岸　至,新宿区下落合１丁目（神田川合流点）,千歳橋,第三建設事務所
妙正寺川,右岸　自,中野区野方２丁目（新昭栄橋）,千歳橋,第三建設事務所
妙正寺川,右岸　至,新宿区下落合１丁目（神田川合流点）,千歳橋,第三建設事務所
鶴見川,左岸　自,町田市野津田町（丸山橋）,下川戸橋,南多摩東部建設事務所
鶴見川,左岸　至,町田市三輪町（神奈川県境）,下川戸橋,南多摩東部建設事務所
鶴見川,右岸　自,町田市野津田町（丸山橋）,下川戸橋,南多摩東部建設事務所
鶴見川,右岸　至,町田市三輪町（神奈川県境）,下川戸橋,南多摩東部建設事務所
恩田川,左岸　自,町田市本町田（上流端）,高瀬橋,南多摩東部建設事務所
恩田川,左岸　至,町田市成瀬（神奈川県境）,高瀬橋,南多摩東部建設事務所
恩田川,右岸　自,町田市本町田（上流端）,高瀬橋,南多摩東部建設事務所
恩田川,右岸　至,町田市成瀬（神奈川県境）,高瀬橋,南多摩東部建設事務所
真光寺川,左岸　自,町田市広袴３丁目（上流端）,矢崎橋,南多摩東部建設事務所
真光寺川,左岸　至,町田市能ヶ谷町（神奈川県境）,矢崎橋,南多摩東部建設事務所
真光寺川,右岸　自,町田市広袴３丁目（上流端）,矢崎橋,南多摩東部建設事務所
真光寺川,右岸　至,町田市能ヶ谷町（神奈川県境）,矢崎橋,南多摩東部建設事務所
境川,左岸　自,町田市根岸町（根岸橋）,根岸橋,南多摩東部建設事務所
境川,左岸　至,町田市原町田１丁目（境橋）,根岸橋,南多摩東部建設事務所
境川,右岸　自,町田市原町田１丁目（境橋）,境橋,南多摩東部建設事務所
境川,右岸　至,町田市鶴間（神奈川県境）,境橋,南多摩東部建設事務所
