ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）沖港,２．４０～６．７８,２．４０～６．７８,3.66,3.66,８７．８～９１．７,90.0,１０７．８～２５６．９,154.5
1,（２）母島漁港（東港）,２．３７～８．８３,２．３７～８．８３,5.84,5.84,９２．６～１００．０,99.7,１０１．３～１６５．９,125.8
1,（３）母島漁港（北港）,２．４１～８．７２,２．４１～８．７２,5.31,5.31,８８．８～１０１．５,89.6,１２１．１～１９７．２,135.1
1,島全体,１．８０～８．８３,１．８０～８．８３,4.01,4.01,８６．５～１０１．９,99.7,９３．７～２５６．９,125.8
2,（１）沖港,２．５２～５．７０,２．５２～５．７０,3.60,3.60,８６．３～８８．９,88.7,８７．７～１６９．５,154.5
2,（２）母島漁港（東港）,２．６７～９．２３,２．６７～９．２３,5.68,5.68,９０．７～９９．４,90.8,１００．８～１６５．８,124.5
2,（３）母島漁港（北港）,２．３７～６．４６,２．３７～６．４６,4.17,4.17,８６．５～１００．５,88.4,１０９．４～１６８．３,110.5
2,島全体,１．７８～９．９９,１．７８～９．９９,3.94,3.94,８５．０～１０２．３,91.7,８５．８～２０５．８,137.3
5,（１）沖港,５．０２～１０．３５,５．０２～１０．３５,7.22,7.22,９０．２～９２．８,92.5,９２．５～１２９．８,110.4
5,（２）母島漁港（東港）,３．０６～９．４０,３．０６～９．４０,6.04,6.04,９２．５～９４．９,94.6,１０５．２～１５２．９,110.8
5,（３）母島漁港（北港）,３．６８～８．７６,３．６８～８．７６,6.10,6.10,９０．２～９２．９,91.6,１０６．６～１４９．７,107.5
5,島全体,２．９０～１５．９１,２．９０～１５．９１,6.96,6.96,８８．７～１０５．８,97.0,９０．４～１８３．３,107.8
6,（１）沖港,２．６１～６．３５,２．６１～６．３５,3.97,3.97,９０．０～９２．７,92.1,９５．４～１６９．３,156.0
6,（２）母島漁港（東港）,２．２３～１１．２０,２．２３～１１．２０,6.41,6.41,９４．４～１０２．４,94.5,１０４．３～１７０．１,134.5
6,（３）母島漁港（北港）,２．７２～８．６０,２．７２～８．６０,5.03,5.03,９０．１～９２．５,92.1,１０５．５～１４７．０,139.4
6,島全体,２．１６～１１．２０,２．１６～１１．２０,4.32,4.32,８８．７～１０３．４,94.5,９０．６～２２０．５,134.5
8,（１）沖港,２．３０～５．７４,２．３０～５．７４,3.29,3.29,８６．３～８９．０,88.3,８７．７～１９５．０,99.4
8,（２）母島漁港（東港）,２．７２～６．８９,２．７２～６．８９,4.70,4.70,９０．７～９９．１,90.8,１００．８～１９９．７,117.5
8,（３）母島漁港（北港）,２．２４～７．１７,２．２４～７．１７,4.50,4.50,８６．５～９５．３,88.4,１０８．８～１５２．１,128.3
8,島全体,１．５１～９．０７,１．５１～９．０７,3.88,3.89,８５．０～１１３．７,91.7,８６．４～２８６．４,137.0
