時点,総数,都市銀行,第二地方・地方銀行,信託銀行,相互銀行,信用金庫,信用組合,労働金庫,農業協同組合
1964/3/31,3,1,0,0,0,2,0,…,…
1965/3/31,4,1,1,0,0,2,0,…,…
1966/3/31,6,3,1,0,0,2,0,…,…
1967/3/31,6,3,1,0,0,2,0,…,…
1968/3/31,7,3,2,0,0,2,0,…,…
1969/3/31,7,3,2,0,0,2,0,…,…
1970/3/31,8,4,1,0,0,2,1,…,…
1971/3/31,9,5,0,0,1,2,1,…,…
1972/3/31,9,5,0,0,1,2,1,…,…
1973/3/31,9,5,0,0,1,2,1,…,…
1974/3/31,9,5,0,0,1,2,1,…,…
1975/3/31,10,5,0,0,1,2,2,…,…
1976/3/31,12,5,0,0,2,3,2,…,…
1977/3/31,13,6,0,0,3,3,1,…,…
1978/3/31,15,6,0,0,3,4,2,…,…
1979/3/31,15,6,0,0,3,4,2,…,…
1980/3/31,17,6,1,0,3,5,2,…,…
1981/3/31,19,6,1,1,3,5,3,…,…
1982/3/31,21,7,1,2,3,5,3,…,…
1983/3/31,23,8,1,2,3,5,4,…,…
1984/3/31,24,8,1,2,3,5,4,1,…
1985/3/31,25,8,1,2,3,6,4,1,…
1986/3/31,26,8,1,2,3,7,4,1,…
1987/3/31,27,8,1,2,3,8,4,1,…
1988/3/31,28,9,3,2,2,8,3,1,…
1989/3/31,27,9,2,2,2,8,3,1,…
1990/3/31,26,8,2,2,2,8,3,1,…
1991/3/31,28,8,2,2,2,10,3,1,…
1992/3/31,25,8,2,2,…,9,3,1,…
1993/3/31,25,8,5,2,…,6,3,1,…
1994/3/31,25,8,5,2,…,6,3,1,…
1995/3/31,26,9,5,2,…,6,3,1,…
1996/3/31,26,9,5,2,…,6,3,1,…
1997/3/31,26,9,5,2,…,6,3,1,…
1998/3/31,25,9,5,1,…,6,3,1,…
1999/3/31,32,9,5,1,…,6,2,1,8
2000/3/31,32,9,5,1,…,6,2,1,8
2001/3/31,32,9,5,1,…,6,2,1,8
2002/3/31,32,9,5,1,…,6,2,1,8
2003/3/31,32,9,5,1,…,6,2,1,8
2004/3/31,29,7,5,1,…,6,1,1,8
2005/3/31,29,7,5,1,…,6,1,1,8
2006/3/31,29,7,5,1,…,6,1,1,8
2007/3/31,28,6,5,1,…,6,1,1,8
2008/3/31,28,6,5,1,…,6,1,1,8
2009/3/31,29,6,6,1,…,6,1,1,8
2010/3/31,29,6,6,1,…,6,1,1,8
2011/3/31,29,6,6,1,…,6,1,1,8
2012/3/31,28,6,5,1,…,6,1,1,8
2013/3/31,28,6,5,1,…,6,1,1,8
2014/3/31,28,6,5,1,…,6,1,1,8
2015/3/31,28,6,5,1,…,6,1,1,8
2016/3/31,27,6,5,1,…,6,1,1,7
2017/3/31,28,6,5,1,…,7,1,1,7
2018/3/31,28,6,5,1,…,7,1,1,7
2019/3/31,28,6,5,1,…,7,1,1,7
2020/3/31,29,6,6,1,…,7,1,1,7
2021/3/31,31,6,8,1,…,7,1,1,7
2022/3/31,33,6,10,1,…,7,1,1,7
2023/3/31,33,6,10,1,…,7,1,1,7
2024/3/31,32,6,9,1,…,7,1,1,7
