年次,総数_幼児,総数_小学生,総数_中学生,死亡_幼児,死亡_小学生,死亡_中学生,負傷_幼児,負傷_小学生,負傷_中学生
1975,65,66,9,0,0,0,65,66,9
1976,74,66,8,1,0,0,73,66,8
1977,70,56,16,1,1,0,69,55,16
1978,54,41,8,1,0,0,53,41,8
1979,37,43,9,0,0,0,37,43,9
1980,22,33,5,1,0,0,21,33,5
1981,28,31,15,0,0,0,28,31,15
1982,27,58,10,0,1,0,27,57,10
1983,37,43,14,0,0,0,37,43,14
1984,14,23,3,0,0,0,14,23,3
1985,54,74,26,0,0,0,54,74,26
1986,22,24,11,0,0,0,22,24,11
1987,26,36,13,0,2,0,26,34,13
1988,37,50,22,0,0,0,37,50,22
1989,34,46,7,0,0,0,34,46,7
1990,8,7,2,0,0,0,8,7,2
1991,27,34,7,0,0,0,27,34,7
1992,14,43,18,0,0,0,14,43,18
1993,38,60,13,0,0,0,38,60,13
1994,36,51,15,0,0,0,36,51,15
1995,33,54,22,0,0,0,33,54,22
1996,34,59,33,0,0,0,34,59,33
1997,25,76,11,0,0,0,25,76,11
1998,26,74,22,0,0,0,26,74,22
1999,33,57,13,0,0,0,33,57,13
2000,12,77,32,0,0,0,12,77,32
2001,18,80,20,0,0,0,18,80,20
2002,20,59,21,0,0,0,20,59,21
2003,28,82,22,0,0,0,28,82,22
2004,40,73,19,0,0,0,40,73,19
2005,35,79,27,0,0,0,35,79,27
2006,27,60,22,0,0,0,27,60,22
2007,33,61,25,0,0,0,33,61,25
2008,33,65,20,0,0,0,33,65,20
2009,23,54,26,0,0,0,23,54,26
2010,15,47,13,0,0,0,15,47,13
2011,25,54,17,0,0,0,25,54,17
2012,19,41,21,0,0,0,19,41,21
2013,17,29,15,0,0,0,17,29,15
2014,15,32,8,0,0,0,15,32,8
2015,7,23,13,0,0,0,7,23,13
2016,10,13,6,0,0,0,10,13,6
2017,13,19,6,0,0,0,13,19,6
2018,9,21,6,0,1,0,9,20,6
2019,5,17,5,0,0,0,5,17,5
2020,7,14,2,0,0,0,7,14,2
2021,5,14,4,0,0,0,5,14,4
2022,12,22,5,0,0,0,12,22,5
2023,3,12,2,0,0,0,3,12,2
