No,回答方法,問1-ア,問1-イ,問1-ウ,問1-エ,問1-オ,問1カ,問1キ-回答1,問1キ-回答2,問1キ-回答3,問1キ-回答4,問1-ク,問1-ケ,問1-コ,問2,問3,問3-1_回答1,問3-1_回答2,問3-1_回答3,問3-2,問3-3_回答1,問3-3_回答2,問3-3_回答3,問4-愛着,問4-誇り,問4-1愛着_1,問4-1愛着_2,問4-1愛着_3,問4-1愛着_4,問4-1愛着_5,問4-1誇_り1,問4-1_誇り2,問4-1誇り_3,問4-1_誇り4,問4-1誇り_5,問5-回答1,問5-回答2,問5-回答3,問6,問7-回答1,問7-回答2,問7-回答3,問8,問9-回答1,問9-回答2,問9-回答3,問10,問11,問11-1_回答1,問11-1_回答2,問11-1_回答3,問11-1_回答4,問11-1_回答5,問11-1_回答6,問11-1_回答7,問12-回答1,問12-回答2,問12-回答3,問13,問13-1,問14-回答1,問14-回答2,問14-回答3,問14-回答4,問14-回答5,問14-回答6,問14-回答7,問14-回答8,問14-回答9,問14-回答10,問14-回答11,問15-回答1,問15-回答2,問15-回答3,問15-回答4,問15-回答5,問15-回答6,問15-回答7,問15-回答8,問16-回答1,問16-回答2,問16-回答3,問16-回答4,問16-回答5,問16-回答6,問17,問18,問19-花火大会,問19-区民まつり,問19-農業まつり,問20,問21-回答1,問21-回答2,問21-回答3,問21-回答4,問22-自然環境,問22-公園・緑地,問23-回答1,問23-回答2,問23-回答3,問23-回答4,問23-回答5,問23-回答6,問23-回答7,問23-回答8,問23-回答9,問23-回答10,問23-回答11,問23-回答12,問24-回答1,問24-回答2,問24-回答3,問24-回答4,問24-回答5,問24-回答6,問24-回答7,問24-回答8,問25-回答1,問25-回答2,問25-回答3,問25-回答4,問25-回答5,問25-回答6,問26-回答1,問26-回答2,問26-回答3,問26-回答4,問26-回答5,問26-回答6,問26-回答7,問26-回答8,問26-1,問27,問28,問28-1,問29,問30,問31-戦略Ⅰ,問31-戦略Ⅱ,問31-戦略Ⅲ,問32,問33-回答1,問33-回答2,問33-回答3,問33-回答4,問33-回答5,問33-回答6,問33-回答7,問33-回答8,問34,問35-回答1,問35-回答2,問35-回答3,問35-回答4,問36,問37-回答1,問37-回答2,問37-回答3,問37-回答4,問37-回答5,問38,問38-1_回答1,問38-1_回答2,問38-1_回答3,問39-回答1,問39-回答2,問39-回答3,問40,問40-1_回答1,問40-1_回答2,問40-1_回答3,問40-1_回答4,問40-1_回答5,問41-回答1,問41-回答2,問41-回答3,問41-回答4,問41-回答5,問41-回答6,問42,問43,問44-1位,問44-2位,問44-3位,問44-4位,問44-5位,問45,問45-1,問45-2（1）,問45-2（2）,問45-2（3）,問45-2（4）,問45-2（5）,問45-2（6）,問45-2（7）,問45-2（8）,問45-2（9）,問46-回答1,問46-回答2,問46-回答3,問47,問47-1
1,郵送,2,4,1,1,4,3,2,6,,,3,4,1,1,1,1,9,19,,,,,1,3,1,9,16,17,19,,,,,,1,5,6,,2,9,11,3,4,6,11,4,1,1,2,,,,,,3,6,8,4,,1,4,10,,,,,,,,,3,,,,,,,,1,3,,,,,3,1,2,2,6,1,6,,,,3,6,1,2,3,6,7,11,12,,,,,,2,6,7,,,,,,3,5,,,,,3,4,7,,,,,,,2,4,,1,3,1,2,1,4,2,,,,,,,,7,3,5,,,8,2,,,,,1,,,,1,7,,2,,,,,,7,,,,,,3,4,2,8,22,21,19,2,,,,,,,,,,,1,7,8,1,1
2,郵送,2,6,2,1,4,2,,,,,1,5,,2,1,13,14,22,,,,,3,4,,,,,,,,,,,,,,9,,,,6,1,6,,2,2,1,2,5,,,,,4,,,4,,5,,,,,,,,,,,8,,,,,,,,7,,,,,,2,1,,,,,6,,,,,,3,6,7,11,,,,,,,,,9,,,,,,,,5,6,,,,,7,,,,,,,,,2,4,,2,3,3,3,4,3,8,,,,,,,,,2,,,,8,7,,,,,1,,,,2,,,,,,,,,3,,,,,,3,,21,20,2,23,10,,,,,,,,,,,,1,8,9,,
3,郵送,1,6,2,,8,3,6,,,,1,6,,1,1,11,13,19,,,,,2,2,,,,,,,,,,,2,5,6,1,1,5,6,3,5,6,7,3,1,1,2,6,,,,,2,3,6,3,4,2,6,7,8,9,,,,,,,4,6,,,,,,,1,,,,,,2,1,,,,2,6,,,,,,1,2,3,4,6,7,11,,,,,,1,6,,,,,,,5,6,,,,,1,2,3,4,,,,,3,2,4,,1,3,3,3,3,4,2,5,8,9,,,,,,2,,,,8,1,5,,,,2,10,,,2,6,7,1,2,,,,,1,5,,,,,1,2,,,,,,1,2,2,2,3,2,2,2,2,2,2,1,2,7,1,1
4,郵送,2,3,3,1,1,3,1,6,,,4,3,1,1,2,,,,,,,,3,3,,,,,,,,,,,4,5,8,2,1,2,9,6,2,6,11,3,1,1,2,3,,,,,2,5,8,4,,1,2,4,5,7,9,10,,,,,1,3,,,,,,,1,5,,,,,1,1,1,6,6,3,6,,,,4,4,1,3,4,6,7,8,11,12,,,,,1,2,3,4,5,6,7,,2,5,,,,,1,4,5,,,,,,2,2,2,3,2,5,2,2,2,4,7,8,,,,,,,,4,,,,,1,,,,,4,6,,,1,3,7,1,3,6,,,,2,,,,,,3,4,24,23,1,2,3,1,2,2,2,3,2,2,2,2,2,2,1,6,9,3,
5,郵送,2,7,4,1,6,2,4,,,,4,5,5,2,1,6,17,21,,,,,,,,,,,,,,,,,1,6,,,,,,1,5,6,7,,1,1,,,,,,,1,3,5,4,,1,2,3,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,,6,,,,,,1,2,3,6,7,10,12,,,,,,1,2,4,,,,,,5,,,,,,1,4,,,,,,,2,2,4,,2,3,2,2,3,,2,,,,,,,,4,2,,,,8,1,,,,,4,13,,,7,,,2,,,,,,7,,,,,,5,,,,,,,2,,,,,,,,,,,2,5,7,3,
6,郵送,2,4,5,1,4,3,1,6,,,4,3,5,2,1,1,16,,,,,,2,3,1,9,14,16,19,,,,,,1,6,7,1,7,8,9,1,2,3,5,3,1,1,2,,,,,,5,6,,1,2,4,5,7,,,,,,,,,1,,,,,,,,1,,,,,,2,1,1,2,3,2,6,,,,1,1,1,2,3,4,5,6,7,8,11,12,,,1,2,3,4,6,7,,,3,5,6,,,,1,4,6,,,,,,3,3,3,,1,4,2,1,2,4,2,,,,,,,,8,1,,,,2,7,,,,,2,8,,,1,4,,1,3,,,,,2,,,,,,5,2,22,21,20,23,17,2,,,,,,,,,,,6,8,9,2,
7,郵送,2,4,5,1,1,2,6,,,,5,4,2,1,1,9,19,21,,,,,1,1,4,9,19,21,22,6,11,14,16,18,3,4,6,4,2,6,11,4,4,7,8,2,2,1,2,5,6,,,,1,2,4,4,,1,3,5,6,7,8,9,10,,,,1,,,,,,,,7,,,,,,2,1,1,6,6,2,6,,,,1,1,13,,,,,,,,,,,,1,2,4,6,7,,,,3,5,,,,,1,2,3,4,6,7,,,2,1,3,,1,2,2,1,1,4,2,,,,,,,,8,6,,,,7,1,,,,,2,1,6,10,1,2,3,3,,,,,,2,3,,,,,4,3,15,6,26,18,4,2,,,,,,,,,,,2,5,9,4,
8,郵送,2,3,2,1,6,6,6,,,,4,1,1,2,1,5,17,,,,,,3,3,,,,,,,,,,,1,2,7,9,1,6,7,4,1,3,6,4,2,2,,,,,,,3,8,,4,,12,,,,,,,,,,,1,2,4,,,,,,7,,,,,,6,1,6,6,6,2,6,,,,3,3,1,3,7,,,,,,,,,,4,6,7,,,,,,3,,,,,,5,,,,,,,,,3,3,,3,3,3,2,3,4,11,,,,,,,,,2,,,,6,2,,,,,4,6,,,6,,,2,,,,,,3,4,,,,,3,5,27,7,1,,,1,3,3,3,3,,4,4,3,3,4,5,7,8,1,3
9,郵送,1,9,4,1,8,3,3,4,5,6,7,6,,1,1,1,10,22,,,,,1,1,,,,,,,,,,,3,5,8,9,2,5,7,1,2,3,6,3,2,1,6,,,,,,1,5,8,3,4,1,4,5,7,9,,,,,,,1,6,8,,,,,,7,,,,,,6,2,2,6,6,4,6,,,,1,1,1,2,3,4,5,6,7,9,11,12,,,1,4,7,,,,,,3,5,,,,,1,3,,,,,,,5,4,,,1,3,3,3,3,4,2,,,,,,,,,2,,,,2,7,,,,,2,4,8,,1,2,6,2,,,,,,2,,,,,,3,2,19,21,8,15,,1,,,,,,,,,,,5,9,,1,1
10,郵送,1,4,1,1,1,4,4,,,,1,6,,2,1,1,14,16,,,,,4,4,,,,,,,,,,,2,3,7,4,1,5,9,4,1,9,10,1,1,2,,,,,,,2,3,,4,,2,3,4,5,7,8,9,,,,,1,6,,,,,,,4,,,,,,2,1,,,,6,6,,,,,,1,2,3,5,6,7,8,11,,,,,4,,,,,,,,3,,,,,,1,2,4,5,6,7,8,,3,2,4,,3,5,5,3,4,5,10,,,,,,,,2,1,,,,1,7,,,,,2,1,,,1,4,7,2,,,,,,1,3,,,,,4,4,22,2,15,20,1,1,5,5,4,4,5,4,4,5,5,5,2,8,9,1,3
