都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
131199,,東京都,板橋区,「東京マイ・タイムライン」講習,「トウキョウマイ・タイムライン」コウシュウ,,2021/7/17,2021/7/17,9:30,11:30,,マイ・タイムラインシートの作成方法や、避難に必要な情報について解説します。受講者には会場で「東京・マイタイムライン」とハザードマップを配布します。,,,,,,,板橋区役所本庁舎 南館4階 災害対策室,,,,,,,,2021/6/21,,,/1000779/1000796/1000798/1033243.html,
131199,,東京都,板橋区,「東京マイ・タイムライン」講習,「トウキョウマイ・タイムライン」コウシュウ,,2021/7/18,2021/7/18,9:30,11:30,,マイ・タイムラインシートの作成方法や、避難に必要な情報について解説します。受講者には会場で「東京・マイタイムライン」とハザードマップを配布します。,,,,,,,蓮根地域センターレクリエーションホール,,,,,,,,2021/6/21,,,/1000779/1000796/1000798/1033243.html,
131199,,東京都,板橋区,前野スポーツ大会in歩け歩けスタンプラリー,マエノスポーツタイカイinアルケアルケスタンプラリー,,2022/10/9,2022/10/9,8:30,12:00,,前野の6か所のチェックポイントをまわり、スタンプを集めよう！4つ以上たまればゴールでくじ引きができるよ。はずれても全員に参加賞があるよ。みんなで前野町を歩こう！（事前申込制なので必ず前野地域センターに申し込んでください。）,,,,,,,前野町全域,,,,,,,,2022/9/30,,,/1000779/1000799/1000800/1040839.html,
131199,,東京都,板橋区,モンゴル国立馬頭琴交響楽団コンサート,モンゴルコクリツバトウキンコウキョウガクダンコンサート,,2022/12/20,2022/12/20,18:00,20:00,,区政施行90周年、日本・モンゴル外交関係樹立50周年、また2021年の板橋区とモンゴル国「文化・教育交流協定：締結25周年を記念して、創立30周年を迎えるモンゴル国立馬頭琴交響楽団による日本公演を開催します。&nbsp;&nbsp;,,,,,,,板橋区立文化会館大ホール（板橋区大山東町51-1）,,,,,,,,,,,/1000779/1000799/1000802/1041500.html,
131199,,東京都,板橋区,消費生活講座　食品ロス削減のコツ,ショウヒセイカツコウザ　ショクヒンロスサクゲンノコツ,,2022/12/1,2022/12/1,10:00,11:40,,講義「日々の食生活でできる食品ロス削減のコツ」「板橋区のフードドライブ取り組み」せっかく購入した食品の一部を無駄にして、捨ててしまう食品ロス。日々の食生活の中で、ちょっとした気遣いや習慣で、食品ロスを減らすことができます。食費の無駄遣いを防ぎ家計にも優しく、ごみも減らして環境にも配慮できます。食品ロスを減らすコツを学んで、できることから始めてみましょう。&nbsp;,,,,,,,板橋区立グリーンホール2階ホール（板橋区栄町36-1）,,,,,,,,,,,/1000779/1000805/1000807/1041650.html,
131199,,東京都,板橋区,パネル展「行ってみよう！見てみよう！いたばし」,パネルテン「イッテミヨウ！ミテミヨウ！イタバシ」,,2022/11/12,2022/11/12,,,,,,,,,,,赤塚支所1階ギャラリー,,,,,,,,,,,/1000779/1000805/1000807/1041932.html,
131199,,東京都,板橋区,パネル展「行ってみよう！見てみよう！いたばし」,パネルテン「イッテミヨウ！ミテミヨウ！イタバシ」,,2022/11/13,2022/11/13,,,,,,,,,,,赤塚支所1階ギャラリー,,,,,,,,,,,/1000779/1000805/1000807/1041932.html,
131199,,東京都,板橋区,シニア向け初めてのスマートフォン安全教室（Android・iPhone）,シニアムケハジメテノスマートフォンアンゼンキョウシツ（Android・iPhone）,,2022/12/15,2022/12/15,10:00,12:00,,基本的な操作・不当請求の対処方法など,,,,,,,板橋区消費者センター（板橋区板橋2-65-6　情報処理センター7階）,,,,,,,,,,,/1000779/1000805/1000807/1041733.html,
131199,,東京都,板橋区,板橋区医師会医学会　区民公開講座,イタバシクイシカイイガクカイ　クミンコウカイコウザ,,2022/12/4,2022/12/4,13:30,15:00,,内容・講師講演「病院・診療所の役割の違いと地域医療連携について」板橋区医師会 理事 大野安実特別講演「フレイル・認知症予防 100歳時代：人生の後半をどう生き抜くか」講師：東京都健康長寿医療センター 理事長 鳥羽研二、座長 板橋区医師会 会長 齋藤英治,,,,,,,板橋区立文化会館　大ホール,,,,,,,,2022/11/22,,,/1000779/1000809/1000814/1041191.html,
131199,,東京都,板橋区,老年学・老年医学公開講座,ロウネンガク・ロウネンイガクコウカイコウザ,,2023/1/24,2023/1/24,13:15,16:00,,内容・講師1．「消化管診療における内視鏡の進歩と最先端 胃カメラ＋超音波で見えるもの」（地独）東京都健康長寿医療センター 消化器内科 部長 小野 敏嗣2．「膵癌とどう闘うか？」同センター 外科総括部長 中里 徹矢3．「膵癌研究の最前線 ―現状と撲滅への道すじ―」同センター研究所 老年病理学研究チーム 研究部長 石渡 俊行,,,,,,,板橋区立文化会館　大ホール,,,,,,,,,,,/1000779/1000809/1000814/1042317.html,
