日時,曜日,週,ポイント,方向,合計,"00:00
 ～
 00:30","00:30
 ～ 
01:00","01:00
 ～ 
01:30","01:30
 ～ 02:00","02:00
 ～ 
02:30","02:30
 ～ 
03:00","03:00
 ～ 
03:30","03:30
 ～ 
04:00","04:00
 ～ 
04:30","04:30
 ～ 
05:00","05:00
 ～ 
05:30","05:30
 ～ 
06:00","06:00
 ～ 
06:30","06:30
 ～ 
07:00","07:00
 ～ 
07:30","07:30
 ～ 
08:00","08:00
 ～ 
08:30","08:30
 ～ 
09:00","09:00
 ～ 
09:30","09:30
 ～ 
10:00","10:00
 ～ 
10:30","10:30
 ～ 
11:00","11:00
 ～ 
11:30","11:30
 ～ 12:00","12:00
 ～ 
12:30","12:30
 ～ 
13:00","13:00
 ～ 
13:30","13:30
 ～ 
14:00","14:00
 ～ 14:30","14:30
 ～ 
15:00","15:00
 ～ 
15:30","15:30
 ～ 
16:00","16:00
 ～ 
16:30","16:30
 ～ 
17:00","17:00
 ～ 
17:30","17:30
 ～ 
18:00","18:00
 ～ 
18:30","18:30
 ～ 
19:00","19:00
 ～ 
19:30","19:30
 ～ 
20:00","20:00
 ～ 
20:30","20:30
 ～ 
21:00","21:00
 ～ 
21:30","21:30
 ～ 
22:00","22:00
 ～ 
22:30","22:30
 ～ 
23:00","23:00
 ～ 
23:30","23:30
 ～ 
24:00"
2020/2/1,土,1,1,順方向,21651,400,212,41,27,11,15,9,6,17,92,148,95,94,85,81,94,130,144,168,236,359,411,556,631,635,770,756,782,837,851,921,829,909,845,890,781,804,721,696,620,617,640,701,608,685,602,525,564
2020/2/1,土,1,1,逆方向,25463,187,140,77,85,7,6,9,4,10,10,29,52,85,73,79,132,184,307,402,668,688,838,876,1039,1066,1040,1064,1068,1138,1049,1017,1059,974,1019,1072,1166,1113,1076,928,708,624,503,440,412,288,284,206,162
2020/2/1,土,1,2,順方向,26551,170,79,5,10,3,4,6,4,0,41,78,125,187,316,316,417,630,489,490,485,453,712,850,1049,1150,1275,1054,953,916,1012,1088,1081,1101,1208,1097,1126,966,894,838,750,731,600,442,336,299,284,233,198
2020/2/1,土,1,2,逆方向,36174,346,212,31,21,1,1,2,1,0,4,65,162,300,516,734,930,1169,885,737,708,895,1015,1039,1453,1301,1458,1518,1376,1257,1227,1342,1338,1356,1359,1328,1354,1327,1146,1109,900,836,694,596,583,438,482,302,320
2020/2/1,土,1,3,順方向,4361,3,3,1,0,0,0,0,0,0,6,2,18,107,71,100,148,109,148,164,165,162,166,196,156,147,152,197,164,140,127,122,174,124,152,189,118,140,110,125,112,83,80,89,31,20,18,13,9
2020/2/1,土,1,3,逆方向,3170,17,31,2,1,0,0,0,1,0,6,5,10,27,30,45,49,38,69,36,31,35,72,85,81,75,84,92,76,94,73,124,100,114,107,134,122,124,121,163,125,127,144,141,91,87,87,52,42
2020/2/1,土,1,4,順方向,10344,35,32,10,14,0,2,1,2,4,8,19,32,78,87,84,110,136,122,164,204,241,252,335,389,449,429,361,467,433,365,498,484,406,484,426,399,358,352,303,267,246,214,217,227,207,181,119,91
2020/2/1,土,1,4,逆方向,12635,64,55,9,12,3,6,3,5,4,20,7,33,58,67,109,128,185,203,223,255,228,313,367,464,477,553,467,587,568,548,547,521,487,525,531,535,458,500,410,349,338,357,268,241,222,168,76,81
2020/2/1,土,1,5,順方向,52410,372,245,14,16,5,1,5,5,10,98,177,256,426,744,952,1031,1550,1325,1285,1276,1203,1622,1449,1692,1640,1856,1597,1559,1675,1857,1898,2021,1792,1997,2042,2254,2025,1918,1616,1433,1361,1247,1063,1007,810,828,565,590
2020/2/1,土,1,5,逆方向,43101,391,246,48,48,3,8,5,4,5,49,118,231,464,574,949,1122,1200,1045,955,953,1058,1160,1337,1396,1407,1456,1390,1513,1397,1313,1574,1614,1559,1726,1699,1605,1539,1424,1302,1086,943,854,866,789,774,685,642,575
2020/2/1,土,1,6,順方向,36474,414,250,34,18,3,5,4,5,6,18,55,108,285,520,779,991,1304,886,807,726,861,978,978,1087,1069,1087,1316,1231,1233,1319,1405,1412,1291,1394,1410,1449,1344,1201,1194,934,936,811,693,682,553,559,408,421
2020/2/1,土,1,6,逆方向,26636,171,77,4,7,1,2,4,2,2,32,45,50,121,332,314,399,610,524,584,605,531,762,764,836,930,961,927,931,1009,1080,1153,1115,1161,1295,1209,1208,1081,943,874,741,762,615,443,392,311,295,237,184
2020/2/1,土,1,7,順方向,8078,114,52,18,2,5,4,7,3,7,18,25,15,26,45,55,57,85,51,53,77,88,128,156,203,246,234,253,302,301,364,314,303,398,349,394,327,292,284,259,233,232,196,255,212,265,245,273,253
2020/2/1,土,1,7,逆方向,10983,54,42,10,7,8,2,1,0,2,3,7,8,16,30,55,82,195,130,154,266,230,321,326,362,331,397,369,402,456,450,437,493,487,519,455,541,530,505,468,345,310,308,204,182,162,135,99,87
2020/2/1,土,1,8,順方向,13431,163,82,19,3,0,0,0,0,0,0,0,59,73,70,95,90,109,109,119,111,211,195,299,349,398,453,472,466,563,569,589,659,653,612,660,545,508,469,447,458,403,355,376,333,365,309,311,302
2020/2/1,土,1,8,逆方向,13435,77,80,16,1,0,0,0,0,0,0,0,13,15,33,34,46,99,134,184,317,323,444,442,472,533,544,614,548,652,657,689,576,640,597,559,687,585,549,500,401,342,243,233,168,113,121,78,76
2020/2/2,日,2,1,順方向,19507,322,134,51,15,6,6,2,7,6,67,200,63,94,72,74,84,101,134,177,213,297,406,503,558,594,695,636,754,779,842,925,989,976,952,978,803,698,608,658,544,551,522,593,430,466,325,331,266
2020/2/2,日,2,1,逆方向,22431,138,109,130,3,4,13,3,0,6,17,56,48,57,57,66,128,157,271,410,650,585,857,835,971,928,992,1003,1023,1154,1093,1063,1084,1034,979,953,882,839,824,609,496,426,352,278,230,209,177,125,107
2020/2/2,日,2,2,順方向,23706,112,47,9,1,4,3,1,0,5,21,62,76,106,199,233,291,372,426,379,402,562,709,765,1013,1068,1201,963,950,958,1016,1122,1097,1078,1067,1039,1002,806,785,680,672,564,525,364,299,244,194,100,114
2020/2/2,日,2,2,逆方向,31159,206,79,33,7,4,0,0,1,3,6,54,125,191,353,469,559,656,681,626,706,848,832,991,1375,1371,1337,1496,1318,1300,1285,1285,1301,1382,1303,1277,1158,1072,889,850,727,650,577,424,370,326,262,227,167
2020/2/2,日,2,3,順方向,4295,2,3,1,1,1,0,0,5,1,0,0,17,54,61,44,93,66,100,141,191,158,288,175,195,151,116,212,162,150,161,228,199,353,309,175,91,59,65,58,37,28,41,37,22,22,12,7,3
2020/2/2,日,2,3,逆方向,2835,12,3,1,1,1,0,0,2,0,4,3,6,10,22,50,67,74,58,57,53,77,191,111,88,64,70,93,68,80,98,80,86,125,123,118,103,92,95,96,80,85,77,70,81,78,57,20,5
2020/2/2,日,2,4,順方向,9998,43,25,6,9,1,1,3,0,2,4,20,27,32,59,81,100,120,136,123,159,218,312,316,404,373,393,411,437,472,439,508,451,579,541,452,383,345,339,274,236,258,201,178,181,107,116,42,81
