日時,曜日,週,ポイント,方向,合計,"00:00
 ～
 00:30","00:30
 ～ 
01:00","01:00
 ～ 
01:30","01:30
 ～ 
02:00","02:00
 ～ 
02:30","02:30
 ～ 
03:00","03:00
 ～ 
03:30","03:30
 ～ 
04:00","04:00
 ～ 
04:30","04:30
 ～ 
05:00","05:00
 ～ 
05:30","05:30
 ～ 
06:00","06:00
 ～ 
06:30","06:30
 ～ 
07:00","07:00
 ～ 
07:30","07:30
 ～ 
08:00","08:00
 ～ 
08:30","08:30
 ～ 
09:00","09:00
 ～ 
09:30","09:30
 ～ 
10:00","10:00
 ～ 
10:30","10:30
 ～ 
11:00","11:00
 ～ 
11:30","11:30
 ～ 
12:00","12:00
 ～ 
12:30","12:30
 ～ 
13:00","13:00
 ～ 
13:30","13:30
 ～ 
14:00","14:00
 ～ 
14:30","14:30
 ～ 
15:00","15:00
 ～ 
15:30","15:30
 ～ 
16:00","16:00
 ～ 
16:30","16:30
 ～ 
17:00","17:00
 ～ 
17:30","17:30
 ～ 
18:00","18:00
 ～ 
18:30","18:30
 ～ 
19:00","19:00
 ～ 
19:30","19:30
 ～ 
20:00","20:00
 ～ 
20:30","20:30
 ～ 
21:00","21:00
 ～ 
21:30","21:30
 ～ 
22:00","22:00
 ～ 
22:30","22:30
 ～ 
23:00","23:00
 ～ 
23:30","23:30
 ～ 
24:00"
2020/9/1,火,36,1,順方向,12740,108,50,17,2,5,2,4,3,4,42,61,47,62,91,108,99,150,116,165,207,260,306,340,413,471,482,419,385,463,409,422,456,471,463,552,559,508,513,517,469,461,430,416,304,286,243,235,144
2020/9/1,火,36,1,逆方向,15267,44,59,9,0,20,2,0,2,1,9,27,41,55,84,114,140,260,279,331,444,477,554,568,566,621,597,571,586,530,480,506,546,612,637,588,696,750,632,655,517,428,319,239,210,164,141,95,61
2020/9/1,火,36,2,順方向,19032,41,19,0,0,1,0,1,0,2,17,51,180,450,665,1046,1206,864,649,341,250,280,298,377,394,462,478,481,419,377,463,403,420,545,733,638,832,1049,916,788,739,515,417,345,254,233,142,135,116
2020/9/1,火,36,2,逆方向,26327,31,56,3,3,5,3,0,0,1,3,37,228,569,1078,1535,1868,1333,868,608,376,442,415,497,493,560,555,573,530,470,457,525,592,735,814,889,1160,1269,1228,1184,955,856,568,546,450,364,255,196,144
2020/9/1,火,36,3,順方向,3951,1,0,0,1,1,0,0,0,2,0,0,74,127,144,206,196,170,133,147,145,131,165,111,131,126,127,76,56,78,67,124,140,191,108,94,209,146,141,108,77,63,52,31,29,10,8,4,1
2020/9/1,火,36,3,逆方向,3002,6,3,1,0,1,0,1,2,0,2,2,4,31,58,87,157,168,74,50,35,47,47,45,71,67,73,77,54,76,56,69,78,98,101,118,132,170,152,147,150,110,110,74,67,50,50,21,10
2020/9/1,火,36,4,順方向,7221,16,4,3,0,8,0,0,2,2,4,15,36,71,98,173,161,136,140,119,142,176,193,200,267,258,281,241,199,188,238,297,257,358,258,317,336,309,291,297,239,218,157,145,130,83,73,53,32
2020/9/1,火,36,4,逆方向,9464,21,15,0,2,1,1,1,0,3,7,13,19,43,80,221,366,261,277,235,345,165,241,254,283,274,314,316,296,333,263,240,310,331,350,365,413,476,429,425,365,298,214,201,135,110,77,49,26
2020/9/1,火,36,5,順方向,45689,171,61,3,2,1,0,4,5,6,59,174,376,730,1161,2266,2965,2222,1891,1185,1257,831,930,1012,980,1013,1039,1007,939,986,857,957,1275,1413,1581,1417,1858,2370,2251,1694,1661,1197,913,884,638,496,425,285,241
2020/9/1,火,36,5,逆方向,37214,116,106,7,2,6,1,4,2,6,25,133,334,579,997,1555,1894,1561,1299,936,760,852,868,916,880,934,868,888,826,820,848,1092,1227,1528,1344,1370,1598,1589,1506,1428,1126,1011,739,696,608,434,386,305,204
2020/9/1,火,36,6,順方向,28431,57,60,6,5,8,10,3,0,5,8,42,248,626,1165,1643,2027,1471,1048,676,393,440,413,492,486,606,561,562,589,503,458,560,618,775,836,959,1219,1379,1328,1290,981,940,684,654,478,451,289,211,168
2020/9/1,火,36,6,逆方向,20036,49,17,0,2,0,2,0,2,2,17,59,194,504,651,1107,1199,941,687,428,336,315,351,416,419,529,488,505,421,418,429,403,444,592,736,722,867,1059,932,800,721,536,479,334,294,244,142,148,95
2020/9/1,火,36,7,順方向,3577,30,18,15,3,1,0,1,2,1,8,7,27,33,50,82,98,80,43,34,45,37,57,54,75,75,112,97,93,108,75,103,96,102,128,145,142,112,131,143,87,158,180,134,126,97,96,124,112
2020/9/1,火,36,7,逆方向,6049,20,17,9,1,1,4,3,5,1,2,6,7,29,49,114,164,207,160,137,134,112,127,152,181,231,195,160,192,159,162,167,220,200,243,251,277,366,284,273,254,209,144,135,100,63,65,31,26
2020/9/1,火,36,8,順方向,6792,33,26,2,2,4,5,3,2,7,29,47,26,78,97,148,164,126,80,54,76,63,108,131,131,219,215,222,173,213,225,225,219,264,333,315,296,295,320,246,248,275,211,205,202,153,124,64,88
2020/9/1,火,36,8,逆方向,6065,14,18,1,3,0,2,2,3,2,3,13,7,14,24,43,65,87,116,89,166,144,170,155,195,256,235,217,202,207,187,226,237,247,301,252,341,344,313,245,231,201,159,96,77,42,75,22,16
2020/9/2,水,36,1,順方向,12345,115,55,7,8,5,1,1,3,15,38,57,56,70,74,109,116,121,136,165,199,252,317,369,357,423,435,425,393,410,393,402,458,501,430,512,511,561,557,479,438,513,407,311,310,253,251,185,141
2020/9/2,水,36,1,逆方向,14623,57,39,34,1,3,0,0,1,1,11,15,34,52,69,95,118,216,275,316,418,439,530,510,559,560,582,565,538,518,448,500,530,572,593,621,677,752,723,674,453,409,251,241,192,137,129,104,61
2020/9/2,水,36,2,順方向,16536,53,15,1,1,2,0,0,0,3,27,97,238,169,218,653,1093,813,645,332,327,246,271,291,337,366,376,320,383,416,398,428,476,511,657,630,826,1037,947,757,707,333,175,264,190,203,122,145,37
