令和2年12月1日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,6,4,46,26,32,12,22,15,15,178
下連雀　　　,男,1,11,7,46,36,42,28,21,16,9,216
下連雀　　　,男,2,6,8,49,27,46,19,24,17,21,217
下連雀　　　,男,3,7,11,54,19,36,26,24,19,22,218
下連雀　　　,男,4,13,8,40,32,34,25,12,21,30,215
下連雀　　　,男,5,8,13,40,33,27,15,12,25,28,201
下連雀　　　,男,6,8,10,44,25,24,29,19,21,28,208
下連雀　　　,男,7,8,11,38,31,27,26,20,23,34,218
下連雀　　　,男,8,13,15,30,27,20,23,23,26,37,214
下連雀　　　,男,9,8,14,35,28,23,7,25,20,48,208
下連雀　　　,男,10,15,10,29,24,20,16,21,27,33,195
下連雀　　　,男,11,8,13,27,22,12,25,27,32,39,205
下連雀　　　,男,12,13,9,41,23,19,14,23,24,41,207
下連雀　　　,男,13,15,13,27,19,22,18,27,17,28,186
下連雀　　　,男,14,14,10,21,19,31,17,20,15,29,176
下連雀　　　,男,15,13,11,21,23,26,8,23,25,41,191
下連雀　　　,男,16,14,9,18,17,26,19,24,19,26,172
下連雀　　　,男,17,13,10,15,18,28,26,28,24,22,184
下連雀　　　,男,18,13,14,26,13,35,24,27,14,34,200
下連雀　　　,男,19,14,10,25,18,27,20,23,17,20,174
下連雀　　　,男,20,10,19,39,31,19,19,23,18,26,204
下連雀　　　,男,21,12,22,40,25,20,22,28,20,26,215
下連雀　　　,男,22,22,13,45,28,25,33,25,27,18,236
下連雀　　　,男,23,17,20,56,37,14,26,23,22,19,234
下連雀　　　,男,24,18,24,61,44,17,36,28,26,17,271
下連雀　　　,男,25,19,27,60,36,19,31,20,24,12,248
下連雀　　　,男,26,23,26,81,43,12,35,20,17,21,278
下連雀　　　,男,27,23,19,73,53,22,18,16,15,10,249
下連雀　　　,男,28,23,33,89,56,16,25,21,16,15,294
下連雀　　　,男,29,11,19,101,53,31,28,17,14,14,288
下連雀　　　,男,30,23,26,96,38,33,29,25,13,11,294
下連雀　　　,男,31,23,21,88,39,35,24,30,16,16,292
下連雀　　　,男,32,23,19,80,45,29,32,33,15,10,286
下連雀　　　,男,33,32,20,80,47,36,21,38,11,10,295
下連雀　　　,男,34,19,24,86,58,35,34,32,16,20,324
下連雀　　　,男,35,13,14,91,55,32,38,35,19,28,325
下連雀　　　,男,36,27,21,86,40,47,35,25,26,19,326
下連雀　　　,男,37,28,26,110,48,48,24,49,23,22,378
下連雀　　　,男,38,15,37,89,48,59,32,33,24,26,363
