平成28年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1546,1454,1492,2946
下連雀２丁目,1771,1719,1751,3470
下連雀３丁目,5923,4539,5255,9794
下連雀４丁目,3248,2889,3151,6040
下連雀５丁目,1790,1780,2193,3973
下連雀６丁目,2087,2016,2128,4144
下連雀７丁目,2308,2302,2580,4882
下連雀８丁目,1544,1772,1912,3684
下連雀９丁目,1987,2405,2561,4966
小計,22204,20876,23023,43899
牟礼１丁目,1087,992,1060,2052
牟礼２丁目,1985,1840,2017,3857
牟礼３丁目,982,1044,943,1987
牟礼４丁目,1552,1636,1737,3373
牟礼５丁目,1350,1305,1359,2664
牟礼６丁目,2821,3156,3269,6425
牟礼７丁目,866,950,897,1847
小計,10643,10923,11282,22205
井の頭１丁目,2514,2134,2378,4512
井の頭２丁目,2112,1592,1846,3438
井の頭３丁目,1238,1098,1226,2324
井の頭４丁目,1105,1038,1025,2063
井の頭５丁目,1724,1683,1657,3340
小計,8693,7545,8132,15677
中原１丁目,2110,2025,2181,4206
中原２丁目,1433,1489,1525,3014
中原３丁目,1481,1548,1619,3167
中原４丁目,1920,2031,2130,4161
小計,6944,7093,7455,14548
北野１丁目,637,705,740,1445
北野２丁目,920,1003,1006,2009
北野３丁目,910,1065,1017,2082
北野４丁目,1003,975,989,1964
小計,3470,3748,3752,7500
新川１丁目,1034,1074,1084,2158
新川２丁目,687,752,770,1522
新川３丁目,1021,1060,1017,2077
新川４丁目,1631,1614,1775,3389
新川５丁目,1352,1225,1344,2569
新川６丁目,2554,2333,2124,4457
小計,8279,8058,8114,16172
上連雀１丁目,1773,1590,1497,3087
上連雀２丁目,1360,1133,1207,2340
上連雀３丁目,919,793,804,1597
上連雀４丁目,1688,1628,1552,3180
上連雀５丁目,1457,1376,1360,2736
上連雀６丁目,1504,1449,1618,3067
上連雀７丁目,1396,1413,1527,2940
上連雀８丁目,1554,1677,1822,3499
上連雀９丁目,1515,1620,1635,3255
小計,13166,12679,13022,25701
井口１丁目,1732,1902,1837,3739
井口２丁目,1066,1188,1274,2462
井口３丁目,984,1011,1114,2125
井口４丁目,1420,1512,1509,3021
井口５丁目,474,471,505,976
小計,5676,6084,6239,12323
深大寺１丁目,801,837,841,1678
深大寺２丁目,2046,2183,1944,4127
深大寺３丁目,1074,1096,994,2090
小計,3921,4116,3779,7895
野崎１丁目,549,515,560,1075
野崎２丁目,1192,1261,1230,2491
野崎３丁目,947,1065,1037,2102
野崎４丁目,295,349,261,610
小計,2983,3190,3088,6278
大沢１丁目,1310,1468,1410,2878
大沢２丁目,937,1001,979,1980
大沢３丁目,907,824,913,1737
大沢４丁目,1330,1418,1496,2914
大沢５丁目,858,1016,1028,2044
大沢６丁目,735,760,762,1522
小計,6077,6487,6588,13075
合計,92056,90799,94474,185273
平成28年11月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1557,1466,1496,2962
下連雀２丁目,1773,1719,1757,3476
下連雀３丁目,5910,4532,5263,9795
下連雀４丁目,3252,2893,3148,6041
下連雀５丁目,1792,1787,2198,3985
下連雀６丁目,2089,2017,2131,4148
下連雀７丁目,2314,2311,2576,4887
下連雀８丁目,1543,1774,1914,3688
下連雀９丁目,1980,2396,2559,4955
小計,22210,20895,23042,43937
牟礼１丁目,1087,990,1065,2055
牟礼２丁目,1988,1838,2007,3845
牟礼３丁目,967,1018,918,1936
牟礼４丁目,1544,1632,1734,3366
牟礼５丁目,1351,1310,1359,2669
牟礼６丁目,2815,3144,3251,6395
牟礼７丁目,862,940,895,1835
小計,10614,10872,11229,22101
井の頭１丁目,2503,2127,2372,4499
井の頭２丁目,2125,1597,1852,3449
井の頭３丁目,1241,1099,1227,2326
井の頭４丁目,1104,1041,1028,2069
井の頭５丁目,1732,1692,1660,3352
