平成23年10月１日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,5,8,49,29,24,17,32,23,34,221
下連雀　　　,男,1,13,12,38,20,17,15,22,27,31,195
下連雀　　　,男,2,10,12,37,28,22,18,22,31,28,208
下連雀　　　,男,3,8,11,40,21,21,10,20,25,39,195
下連雀　　　,男,4,8,8,18,22,31,16,21,27,31,182
下連雀　　　,男,5,13,6,23,19,24,8,31,21,37,182
下連雀　　　,男,6,8,9,25,21,31,8,18,28,34,182
下連雀　　　,男,7,10,9,19,19,23,18,19,19,22,158
下連雀　　　,男,8,12,9,21,17,22,21,31,19,24,176
下連雀　　　,男,9,7,11,27,14,34,14,23,16,25,171
下連雀　　　,男,10,16,9,28,22,25,26,25,18,23,192
下連雀　　　,男,11,8,11,22,23,21,15,28,20,21,169
下連雀　　　,男,12,8,12,33,15,17,15,19,19,33,171
下連雀　　　,男,13,23,14,21,22,27,25,22,11,18,183
下連雀　　　,男,14,12,9,28,18,21,18,23,14,28,171
下連雀　　　,男,15,11,8,17,21,19,19,30,12,19,156
下連雀　　　,男,16,10,10,22,17,10,11,23,12,18,133
下連雀　　　,男,17,14,13,24,18,15,23,19,13,24,163
下連雀　　　,男,18,13,9,23,19,15,13,29,13,12,146
下連雀　　　,男,19,6,11,24,23,8,16,22,12,20,142
下連雀　　　,男,20,9,19,33,23,16,25,24,14,12,175
下連雀　　　,男,21,12,12,35,19,19,21,18,9,21,166
下連雀　　　,男,22,16,17,38,35,5,30,26,20,17,204
下連雀　　　,男,23,19,16,49,31,10,32,31,17,11,216
下連雀　　　,男,24,17,23,54,26,6,31,32,6,12,207
下連雀　　　,男,25,18,32,56,42,11,27,22,17,22,247
下連雀　　　,男,26,26,33,81,44,10,30,22,22,18,286
下連雀　　　,男,27,23,28,92,36,14,27,23,24,23,290
下連雀　　　,男,28,30,47,83,46,11,40,23,23,23,326
下連雀　　　,男,29,24,36,100,50,16,34,24,22,22,328
下連雀　　　,男,30,28,26,98,54,11,30,20,21,26,314
下連雀　　　,男,31,29,28,106,44,16,40,31,22,34,350
下連雀　　　,男,32,23,32,86,59,22,35,26,24,40,347
下連雀　　　,男,33,25,43,100,57,20,29,39,22,46,381
下連雀　　　,男,34,33,17,94,56,32,28,32,21,44,357
下連雀　　　,男,35,22,28,89,57,23,34,36,34,56,379
下連雀　　　,男,36,25,25,88,70,27,31,42,31,43,382
下連雀　　　,男,37,28,32,93,61,22,37,41,42,67,423
下連雀　　　,男,38,38,33,101,58,34,32,43,38,51,428
下連雀　　　,男,39,19,24,101,65,47,37,41,41,49,424
下連雀　　　,男,40,25,27,79,55,45,37,46,36,51,401
下連雀　　　,男,41,23,30,89,57,35,34,55,38,45,406
下連雀　　　,男,42,32,28,97,43,66,40,41,30,51,428
下連雀　　　,男,43,26,23,96,45,43,21,41,32,46,373
下連雀　　　,男,44,36,16,84,50,39,28,48,38,46,385
下連雀　　　,男,45,16,18,65,49,24,44,40,27,26,309
下連雀　　　,男,46,21,31,88,54,47,30,47,30,37,385
下連雀　　　,男,47,17,29,74,49,41,41,42,31,41,365
下連雀　　　,男,48,18,19,64,41,34,30,44,27,29,306
下連雀　　　,男,49,20,20,57,39,35,30,43,26,21,291
下連雀　　　,男,50,20,21,53,36,24,32,44,25,15,270
下連雀　　　,男,51,23,18,73,36,26,26,25,21,26,274
下連雀　　　,男,52,14,24,51,58,28,34,49,17,32,307
下連雀　　　,男,53,13,18,49,33,18,21,26,17,23,218
下連雀　　　,男,54,19,20,45,36,20,24,28,14,25,231
下連雀　　　,男,55,15,14,51,39,12,24,29,13,18,215
下連雀　　　,男,56,19,15,51,48,13,23,27,8,16,220
下連雀　　　,男,57,21,12,51,38,13,12,40,16,25,228
下連雀　　　,男,58,18,28,41,31,23,20,31,14,22,228
下連雀　　　,男,59,19,21,44,44,18,30,31,15,22,244
下連雀　　　,男,60,13,26,39,46,25,23,34,19,24,249
下連雀　　　,男,61,15,22,45,41,29,27,34,17,28,258
下連雀　　　,男,62,24,30,51,34,10,28,39,20,34,270
下連雀　　　,男,63,25,28,44,46,20,36,41,24,28,292
下連雀　　　,男,64,19,33,45,26,13,21,33,18,20,228
下連雀　　　,男,65,8,22,39,28,12,18,22,12,9,170
下連雀　　　,男,66,12,17,34,25,16,17,20,13,20,174
下連雀　　　,男,67,24,19,35,31,12,17,34,9,16,197
下連雀　　　,男,68,18,17,35,29,13,14,27,9,14,176
下連雀　　　,男,69,21,25,33,28,7,17,18,9,16,174
下連雀　　　,男,70,13,21,26,36,4,18,23,9,16,166
下連雀　　　,男,71,15,16,30,24,4,19,32,12,17,169
下連雀　　　,男,72,8,16,18,19,9,16,22,4,13,125
下連雀　　　,男,73,9,9,19,18,8,13,19,11,17,123
下連雀　　　,男,74,10,15,19,26,9,19,30,6,15,149
下連雀　　　,男,75,17,11,27,21,9,12,14,3,11,125
下連雀　　　,男,76,11,14,19,20,7,12,17,7,8,115
下連雀　　　,男,77,13,11,28,13,7,16,10,3,14,115
下連雀　　　,男,78,7,10,25,9,5,12,13,6,8,95
下連雀　　　,男,79,10,10,23,19,7,13,11,4,10,107
下連雀　　　,男,80,6,8,25,17,8,3,9,4,12,92
下連雀　　　,男,81,18,9,8,11,2,10,8,5,11,82
下連雀　　　,男,82,7,11,16,16,4,6,10,9,5,84
下連雀　　　,男,83,8,10,9,14,3,7,7,5,5,68
下連雀　　　,男,84,9,9,10,3,6,6,5,8,12,68
下連雀　　　,男,85,5,7,10,14,3,6,5,6,2,58
下連雀　　　,男,86,6,12,7,12,3,5,6,6,7,64
下連雀　　　,男,87,6,5,6,6,2,6,0,4,4,39
下連雀　　　,男,88,2,4,6,3,3,6,2,0,2,28
下連雀　　　,男,89,3,0,5,2,3,3,3,3,0,22
下連雀　　　,男,90,2,3,2,3,0,2,2,1,0,15
下連雀　　　,男,91,0,2,3,1,3,4,2,1,2,18
下連雀　　　,男,92,1,0,2,3,0,1,1,1,0,9
下連雀　　　,男,93,2,1,3,1,0,1,0,0,0,8
下連雀　　　,男,94,0,0,3,1,0,0,1,1,0,6
下連雀　　　,男,95,0,2,2,0,0,0,0,1,0,5
下連雀　　　,男,96,0,2,1,1,0,1,0,1,0,6
下連雀　　　,男,97,2,1,0,1,1,1,0,0,0,6
下連雀　　　,男,98,0,1,0,0,0,0,0,0,0,1
下連雀　　　,男,99,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,100,0,0,0,0,0,1,0,0,0,1
下連雀　　　,男,101,0,1,0,0,0,0,0,0,0,1
下連雀　　　,男,102,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,103,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,104以上,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,不詳,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,計,1463,1644,4170,2870,1670,1974,2406,1596,2175,19968
下連雀　　　,女,0,9,14,39,20,13,23,21,17,33,189
下連雀　　　,女,1,3,9,39,33,25,24,25,14,39,211
下連雀　　　,女,2,5,5,27,20,24,18,21,18,36,174
下連雀　　　,女,3,12,10,27,24,14,17,20,21,27,172
下連雀　　　,女,4,7,10,25,18,32,11,22,18,30,173
下連雀　　　,女,5,11,10,40,10,19,13,26,26,35,190
下連雀　　　,女,6,10,8,31,24,22,9,15,28,26,173
下連雀　　　,女,7,15,8,39,19,30,22,26,24,24,207
下連雀　　　,女,8,12,12,17,14,18,13,16,22,25,149
下連雀　　　,女,9,16,8,25,19,28,11,34,28,32,201
下連雀　　　,女,10,10,20,35,8,23,22,21,21,19,179
下連雀　　　,女,11,13,9,26,12,31,18,17,26,28,180
下連雀　　　,女,12,16,14,16,23,30,14,17,13,25,168
下連雀　　　,女,13,7,19,30,27,20,13,28,21,28,193
下連雀　　　,女,14,11,19,16,13,18,15,18,13,15,138
下連雀　　　,女,15,14,14,20,21,17,22,21,21,19,169
下連雀　　　,女,16,10,15,33,19,11,13,18,12,27,158
下連雀　　　,女,17,10,15,25,16,20,16,25,16,16,159
下連雀　　　,女,18,13,17,28,21,17,15,31,14,14,170
下連雀　　　,女,19,17,16,31,13,12,22,19,11,23,164
下連雀　　　,女,20,13,14,48,30,10,17,25,17,11,185
下連雀　　　,女,21,15,16,38,31,18,24,21,15,10,188
下連雀　　　,女,22,17,18,50,25,14,18,21,14,26,203
下連雀　　　,女,23,26,23,69,26,17,27,23,16,13,240
下連雀　　　,女,24,15,19,100,38,13,18,16,16,21,256
下連雀　　　,女,25,26,25,92,44,18,25,22,19,21,292
下連雀　　　,女,26,23,22,114,51,17,33,19,15,24,318
下連雀　　　,女,27,32,23,132,50,12,35,28,17,26,355
下連雀　　　,女,28,17,32,120,43,18,28,26,27,35,346
下連雀　　　,女,29,29,35,106,54,14,24,29,22,28,341
下連雀　　　,女,30,18,23,125,64,17,34,21,27,26,355
下連雀　　　,女,31,32,25,110,57,26,31,26,34,39,380
下連雀　　　,女,32,25,28,92,53,33,35,32,26,43,367
下連雀　　　,女,33,23,24,123,58,20,31,40,36,54,409
下連雀　　　,女,34,20,21,99,58,31,32,32,30,46,369
下連雀　　　,女,35,24,22,83,59,31,28,43,35,55,380
下連雀　　　,女,36,25,27,96,45,40,26,29,34,45,367
下連雀　　　,女,37,20,29,97,60,41,28,47,41,50,413
下連雀　　　,女,38,27,25,88,64,46,32,64,44,50,440
下連雀　　　,女,39,23,26,102,61,48,39,49,28,57,433
下連雀　　　,女,40,18,27,108,61,46,38,47,39,48,432
下連雀　　　,女,41,25,18,89,57,55,31,47,37,52,411
下連雀　　　,女,42,19,24,96,54,49,24,41,35,55,397
下連雀　　　,女,43,28,33,89,50,37,29,52,38,39,395
下連雀　　　,女,44,23,18,89,49,44,37,51,29,55,395
下連雀　　　,女,45,22,18,61,42,42,29,35,27,27,303
下連雀　　　,女,46,26,23,91,44,28,33,60,35,19,359
下連雀　　　,女,47,28,28,89,44,28,40,36,28,22,343
下連雀　　　,女,48,22,21,68,47,21,27,35,17,22,280
下連雀　　　,女,49,26,20,74,38,39,31,43,22,32,325
下連雀　　　,女,50,19,24,52,51,27,29,41,18,25,286
下連雀　　　,女,51,18,22,66,47,29,24,24,19,32,281
下連雀　　　,女,52,22,20,54,40,23,19,37,19,32,266
下連雀　　　,女,53,14,20,46,28,21,20,29,11,28,217
下連雀　　　,女,54,20,20,55,34,20,18,21,14,19,221
下連雀　　　,女,55,16,18,45,34,23,23,35,16,25,235
下連雀　　　,女,56,18,24,43,30,12,26,33,9,14,209
下連雀　　　,女,57,16,20,46,32,25,23,29,16,24,231
下連雀　　　,女,58,10,18,49,39,21,23,22,19,18,219
下連雀　　　,女,59,15,17,41,34,14,25,26,24,26,222
下連雀　　　,女,60,21,32,46,34,20,25,45,16,13,252
下連雀　　　,女,61,21,24,52,30,29,31,41,19,32,279
下連雀　　　,女,62,23,31,53,38,23,26,39,19,36,288
下連雀　　　,女,63,28,36,62,44,18,32,51,15,40,326
下連雀　　　,女,64,22,31,52,51,27,26,40,21,27,297
下連雀　　　,女,65,17,27,32,21,12,12,24,9,16,170
下連雀　　　,女,66,14,17,33,37,11,18,33,11,12,186
下連雀　　　,女,67,16,27,36,27,18,32,33,8,22,219
下連雀　　　,女,68,19,23,54,39,12,26,32,8,17,230
下連雀　　　,女,69,15,17,43,28,13,20,41,13,27,217
下連雀　　　,女,70,20,14,47,31,14,30,25,10,24,215
下連雀　　　,女,71,15,13,45,31,15,27,24,6,13,189
下連雀　　　,女,72,8,19,39,28,10,19,21,4,15,163
下連雀　　　,女,73,19,18,32,27,12,18,26,9,17,178
下連雀　　　,女,74,20,16,32,28,11,21,31,9,15,183
下連雀　　　,女,75,16,19,38,18,15,19,36,12,20,193
下連雀　　　,女,76,10,12,31,18,16,22,20,8,21,158
下連雀　　　,女,77,6,16,26,23,11,20,26,10,12,150
下連雀　　　,女,78,15,13,22,28,4,11,19,12,23,147
下連雀　　　,女,79,14,14,21,26,16,21,22,13,14,161
下連雀　　　,女,80,22,16,31,25,10,21,28,12,12,177
下連雀　　　,女,81,11,14,20,23,14,11,17,14,12,136
下連雀　　　,女,82,11,12,24,17,13,11,16,13,8,125
下連雀　　　,女,83,8,12,27,21,12,21,24,15,12,152
下連雀　　　,女,84,10,13,24,17,14,10,13,8,4,113
下連雀　　　,女,85,11,18,17,17,14,12,20,9,6,124
下連雀　　　,女,86,10,16,20,19,19,10,12,6,3,115
下連雀　　　,女,87,7,10,23,9,7,7,11,5,7,86
下連雀　　　,女,88,7,9,8,9,15,12,5,5,1,71
下連雀　　　,女,89,9,9,12,8,11,9,6,3,4,71
下連雀　　　,女,90,7,12,13,11,8,12,4,8,2,77
下連雀　　　,女,91,5,3,9,2,4,8,5,5,4,45
下連雀　　　,女,92,2,5,13,7,9,3,6,4,1,50
下連雀　　　,女,93,4,2,11,7,2,3,4,3,2,38
下連雀　　　,女,94,1,5,3,3,8,3,5,2,2,32
下連雀　　　,女,95,0,3,6,7,5,1,2,0,2,26
下連雀　　　,女,96,2,3,4,3,5,2,1,3,0,23
