01会計,02款,03項,04目,05節,06細節,07細々節,08決算額
01一般会計,01市税,01市民税,01個人,01現年課税分,02個人市民税（普通徴収分）,0,4801618359
01一般会計,01市税,01市民税,01個人,01現年課税分,03個人市民税（特別徴収分）,0,12742736683
01一般会計,01市税,01市民税,01個人,01現年課税分,04個人市民税（年金特別徴収分）,0,504524324
01一般会計,01市税,01市民税,01個人,02滞納繰越分,01滞納繰越分,0,161938290
01一般会計,01市税,01市民税,02法人,01現年課税分,01現年課税分,0,2077659600
01一般会計,01市税,01市民税,02法人,02滞納繰越分,01滞納繰越分,0,4600850
01一般会計,01市税,02固定資産税,01固定資産税,01現年課税分,01現年課税分,0,13894196301
01一般会計,01市税,02固定資産税,01固定資産税,02滞納繰越分,01滞納繰越分,0,60414536
01一般会計,01市税,02固定資産税,02国有資産等所在市町村交付金,01現年課税分,01交付金,01都有資産分,289095400
01一般会計,01市税,02固定資産税,02国有資産等所在市町村交付金,01現年課税分,01交付金,02国有資産分,41727500
01一般会計,01市税,03軽自動車税,01軽自動車税,01現年課税分,01現年課税分,0,97420040
01一般会計,01市税,03軽自動車税,01軽自動車税,02滞納繰越分,01滞納繰越分,0,1870227
01一般会計,01市税,03軽自動車税,02環境性能割,01現年課税分,01現年課税分,0,1894300
01一般会計,01市税,04市たばこ税,01市たばこ税,01現年課税分,01市たばこ税,0,749826007
01一般会計,01市税,05入湯税,01入湯税,01現年課税分,01入湯税,0,1800
01一般会計,01市税,06事業所税,01事業所税,01現年課税分,01現年課税分,0,412309600
01一般会計,01市税,07都市計画税,01都市計画税,01現年課税分,01現年課税分,0,2656856748
01一般会計,01市税,07都市計画税,01都市計画税,02滞納繰越分,01滞納繰越分,0,13004486
01一般会計,02地方譲与税,01地方揮発油譲与税,01地方揮発油譲与税,01地方揮発油譲与税,01地方揮発油譲与税,0,66429000
01一般会計,02地方譲与税,02自動車重量譲与税,01自動車重量譲与税,01自動車重量譲与税,01自動車重量譲与税,0,191121000
01一般会計,02地方譲与税,03森林環境譲与税,01森林環境譲与税,01森林環境譲与税,01森林環境譲与税,0,7206000
01一般会計,02地方譲与税,04航空機燃料譲与税,01航空機燃料譲与税,01航空機燃料譲与税,01航空機燃料譲与税,0,124000
01一般会計,02地方譲与税,05地方道路譲与税,01地方道路譲与税,01地方道路譲与税,01地方道路譲与税,0,26
01一般会計,03利子割交付金,01利子割交付金,01利子割交付金,01利子割交付金,01利子割交付金,0,58622000
01一般会計,04配当割交付金,01配当割交付金,01配当割交付金,01配当割交付金,01配当割交付金,0,291535000
01一般会計,05株式等譲渡所得割交付金,01株式等譲渡所得割交付金,01株式等譲渡所得割交付金,01株式等譲渡所得割交付金,01株式等譲渡所得割交付金,0,179909000
01一般会計,06地方消費税交付金,01地方消費税交付金,01地方消費税交付金,01地方消費税交付金,01地方消費税交付金,0,3073721000
01一般会計,07自動車取得税交付金,01自動車取得税交付金,01自動車取得税交付金,01自動車取得税交付金,01自動車取得税交付金,0,77679866
01一般会計,08環境性能割交付金,01環境性能割交付金,01環境性能割交付金,01環境性能割交付金,01環境性能割交付金,0,27244000
01一般会計,09地方特例交付金,01地方特例交付金,01地方特例交付金,01地方特例交付金,01個人市民税減収補填特例交付金,0,132501000
01一般会計,09地方特例交付金,01地方特例交付金,01地方特例交付金,01地方特例交付金,02自動車税減収補填特例交付金,0,13058000
01一般会計,09地方特例交付金,01地方特例交付金,01地方特例交付金,01地方特例交付金,03軽自動車税減収補填特例交付金,0,1301000
01一般会計,09地方特例交付金,02子ども・子育て支援臨時交付金,01子ども・子育て支援臨時交付金,01子ども・子育て支援臨時交付金,01子ども・子育て支援臨時交付金,0,328187000
01一般会計,10地方交付税,01地方交付税,01地方交付税,01地方交付税,01特別交付税,0,39381000
01一般会計,10地方交付税,01地方交付税,01地方交付税,01地方交付税,02震災復興特別交付税,0,153000
01一般会計,11交通安全対策特別交付金,01交通安全対策特別交付金,01交通安全対策特別交付金,01交通安全対策特別交付金,01交通安全対策特別交付金,0,17767000
01一般会計,12分担金及び負担金,01負担金,01民生費負担金,01高齢者措置費負担金,01高齢者施設入所措置費負担金,0,12629321
01一般会計,12分担金及び負担金,01負担金,01民生費負担金,02保育所保育料負担金,01市立保育所保育料負担金,01現年度分,241361300
01一般会計,12分担金及び負担金,01負担金,01民生費負担金,02保育所保育料負担金,01市立保育所保育料負担金,02過年度分,665900
01一般会計,12分担金及び負担金,01負担金,01民生費負担金,02保育所保育料負担金,02私立保育所保育料負担金,01現年度分,506123050
01一般会計,12分担金及び負担金,01負担金,01民生費負担金,02保育所保育料負担金,02私立保育所保育料負担金,02過年度分,1662450
