【図書館の所蔵資料】,,,,,,,,,,,,,,,,令和4年3月31日現在
種別,詳細,単位,光が丘,練　馬,石神井,平和台,大　泉,関　町,貫　井,稲荷山,小　竹,南大泉,南大泉分室,春日町,南田中,合　計
図書資料,一般書,冊,215120,103826,162653,103149,153364,91423,90939,59325,53322,44131,2084,79136,65867,1224339
図書資料,青少年向け,冊,15682,3166,12701,5105,10170,9553,6327,4096,3630,7357,0,9562,6014,93363
図書資料,児童書,冊,99468,41794,48117,48438,63272,47225,42452,27709,27617,18095,25221,28802,37526,555736
図書資料,その他図書,冊,1243,-,-,-,-,-,-,-,-,-,-,-,-,1243
図書資料,合計,冊,331513,148786,223471,156692,226806,148201,139718,91130,84569,69583,27305,117500,109407,1874681
雑誌,,冊,13802,3305,2906,3710,3419,6324,4231,3396,2366,2062,229,2783,2375,50908
視聴覚資料,CD,組,18676,11149,7592,7407,8181,6653,7247,4525,8262,4814,0,9318,6033,99857
視聴覚資料,カセットテープ,組,61,125,169,387,238,51,130,62,76,0,0,59,0,1358
視聴覚資料,レコード,組,983,19,-,-,-,-,-,-,-,-,-,-,-,1002
視聴覚資料,DVD,組,2507,137,135,130,134,128,80,104,116,72,0,128,131,3802
視聴覚資料,ビデオ,組,216,101,93,45,95,106,0,25,5,0,0,32,60,778
視聴覚資料,合計,組,22443,11531,7989,7969,8648,6938,7457,4716,8459,4886,0,9537,6224,106797
視覚障害者用資料,点字図書,冊,1212,1172,-,-,-,-,-,-,-,-,-,-,-,2384
視覚障害者用資料,視覚障害者用録音図書,組,4071,-,-,-,-,-,-,-,-,-,-,-,-,4071
視覚障害者用資料,点字雑誌,組,301,-,-,-,-,-,-,-,-,-,-,-,-,301
視覚障害者用資料,視覚障害者用録音雑誌,組,694,-,-,-,-,-,-,-,-,-,-,-,-,694
視覚障害者用資料,視覚障害者用ＣＤ,組,207,-,-,-,-,-,-,-,-,-,-,-,-,207
視覚障害者用資料,マルチメディアデイジー,組,110,-,-,-,-,-,-,-,-,-,-,-,-,110
視覚障害者用資料,合計,点,6595,1172,-,-,-,-,-,-,-,-,-,-,-,7767
昆虫標本,,点,-,-,-,-,-,-,-,4995,-,-,-,-,-,4995
マイクロフィルム,,点,3140,-,-,-,-,-,-,-,-,-,-,-,-,3140
