男[歳],旭丘１丁目[人],旭丘２丁目[人],小竹町１丁目[人],小竹町２丁目[人],栄町[人],羽沢１丁目[人],羽沢２丁目[人],羽沢３丁目[人],豊玉上１丁目[人],豊玉上２丁目[人],豊玉中１丁目[人],豊玉中２丁目[人],豊玉中３丁目[人],豊玉中４丁目[人],豊玉南１丁目[人],豊玉南２丁目[人],豊玉南３丁目[人],豊玉北１丁目[人],豊玉北２丁目[人],豊玉北３丁目[人],豊玉北４丁目[人],豊玉北５丁目[人],豊玉北６丁目[人],中村１丁目[人],中村２丁目[人],中村３丁目[人],中村南１丁目[人],中村南２丁目[人],中村南３丁目[人],中村北１丁目[人],中村北２丁目[人],中村北３丁目[人],中村北４丁目[人],桜台１丁目[人],桜台２丁目[人],桜台３丁目[人],桜台４丁目[人],桜台５丁目[人],桜台６丁目[人],練馬１丁目[人],練馬２丁目[人],練馬３丁目[人],練馬４丁目[人],向山１丁目[人],向山２丁目[人],向山３丁目[人],向山４丁目[人],貫井１丁目[人],貫井２丁目[人],貫井３丁目[人],貫井４丁目[人],貫井５丁目[人],錦１丁目[人],錦２丁目[人],氷川台１丁目[人],氷川台２丁目[人],氷川台３丁目[人],氷川台４丁目[人],平和台１丁目[人],平和台２丁目[人],平和台３丁目[人],平和台４丁目[人],早宮１丁目[人],早宮２丁目[人],早宮３丁目[人],早宮４丁目[人],春日町１丁目[人],春日町２丁目[人],春日町３丁目[人],春日町４丁目[人],春日町５丁目[人],春日町６丁目[人],高松１丁目[人],高松２丁目[人],高松３丁目[人],高松４丁目[人],高松５丁目[人],高松６丁目[人],北町１丁目[人],北町２丁目[人],北町３丁目[人],北町４丁目[人],北町５丁目[人],北町６丁目[人],北町７丁目[人],北町８丁目[人],田柄１丁目[人],田柄２丁目[人],田柄３丁目[人],田柄４丁目[人],田柄５丁目[人],光が丘１丁目[人],光が丘２丁目[人],光が丘３丁目[人],光が丘４丁目[人],光が丘５丁目[人],光が丘６丁目[人],光が丘７丁目[人],旭町１丁目[人],旭町２丁目[人],旭町３丁目[人],土支田１丁目[人],土支田２丁目[人],土支田３丁目[人],土支田４丁目[人],富士見台１丁目[人],富士見台２丁目[人],富士見台３丁目[人],富士見台４丁目[人],南田中１丁目[人],南田中２丁目[人],南田中３丁目[人],南田中４丁目[人],南田中５丁目[人],高野台１丁目[人],高野台２丁目[人],高野台３丁目[人],高野台４丁目[人],高野台５丁目[人],谷原１丁目[人],谷原２丁目[人],谷原３丁目[人],谷原４丁目[人],谷原５丁目[人],谷原６丁目[人],三原台１丁目[人],三原台２丁目[人],三原台３丁目[人],石神井町１丁目[人],石神井町２丁目[人],石神井町３丁目[人],石神井町４丁目[人],石神井町５丁目[人],石神井町６丁目[人],石神井町７丁目[人],石神井町８丁目[人],石神井台１丁目[人],石神井台２丁目[人],石神井台３丁目[人],石神井台４丁目[人],石神井台５丁目[人],石神井台６丁目[人],石神井台７丁目[人],石神井台８丁目[人],下石神井１丁目[人],下石神井２丁目[人],下石神井３丁目[人],下石神井４丁目[人],下石神井５丁目[人],下石神井６丁目[人],東大泉１丁目[人],東大泉２丁目[人],東大泉３丁目[人],東大泉４丁目[人],東大泉５丁目[人],東大泉６丁目[人],東大泉７丁目[人],西大泉１丁目[人],西大泉２丁目[人],西大泉３丁目[人],西大泉４丁目[人],西大泉５丁目[人],西大泉６丁目[人],南大泉１丁目[人],南大泉２丁目[人],南大泉３丁目[人],南大泉４丁目[人],南大泉５丁目[人],南大泉６丁目[人],大泉町１丁目[人],大泉町２丁目[人],大泉町３丁目[人],大泉町４丁目[人],大泉町５丁目[人],大泉町６丁目[人],大泉学園町１丁目[人],大泉学園町２丁目[人],大泉学園町３丁目[人],大泉学園町４丁目[人],大泉学園町５丁目[人],大泉学園町６丁目[人],大泉学園町７丁目[人],大泉学園町８丁目[人],大泉学園町９丁目[人],関町北１丁目[人],関町北２丁目[人],関町北３丁目[人],関町北４丁目[人],関町北５丁目[人],関町南１丁目[人],関町南２丁目[人],関町南３丁目[人],関町南４丁目[人],上石神井南町[人],立野町[人],上石神井１丁目[人],上石神井２丁目[人],上石神井３丁目[人],上石神井４丁目[人],関町東１丁目[人],関町東２丁目[人],西大泉町[人],                                                            
0,18,8,23,17,13,3,6,9,15,13,8,6,8,7,12,7,22,12,5,7,13,17,12,6,17,20,18,14,14,14,15,8,7,7,20,9,10,21,16,10,12,23,14,10,9,3,19,18,11,14,15,11,17,15,0,10,24,18,14,6,23,14,20,20,9,15,16,13,14,19,25,14,16,13,9,12,10,15,21,34,13,0,8,10,20,12,12,18,23,36,22,8,13,27,0,7,3,16,15,15,21,10,18,9,7,7,7,14,22,9,8,13,12,7,18,11,14,17,11,8,10,7,6,18,5,24,8,8,13,23,9,11,3,20,20,16,3,19,20,17,16,14,13,18,6,10,8,15,10,14,18,21,21,9,6,22,28,7,8,8,10,15,11,10,17,19,22,14,11,15,14,8,13,6,13,9,12,11,9,12,15,12,11,0,12,10,11,27,13,8,9,25,35,8,12,15,18,11,21,16,1,0,
1,19,5,11,10,14,1,11,9,13,17,12,13,9,14,7,5,21,8,8,12,26,16,12,4,8,18,20,16,10,12,19,7,12,12,15,22,15,22,15,11,5,12,18,8,10,11,18,20,13,12,13,23,17,14,0,13,34,22,15,10,21,14,18,24,16,19,19,9,17,17,18,28,16,14,16,16,11,16,17,32,12,0,9,11,11,15,19,30,21,35,24,4,13,29,0,9,1,21,11,23,11,18,22,19,27,12,9,18,13,19,11,6,12,6,15,23,13,18,17,13,5,5,7,14,7,11,7,11,12,11,16,12,5,9,17,10,5,12,14,32,11,10,6,14,9,10,13,15,11,10,22,31,15,10,15,36,16,14,5,14,16,13,11,17,11,16,28,10,8,14,14,11,10,6,11,7,19,12,11,12,14,18,13,0,9,12,16,21,24,11,7,19,36,9,25,23,11,13,18,11,4,0,
2,7,4,14,22,6,3,5,10,9,13,7,11,8,16,10,9,26,13,9,11,8,13,11,14,9,22,21,13,15,16,9,6,7,12,11,15,16,20,14,9,9,11,7,4,7,10,29,34,11,18,22,20,12,16,1,26,20,8,19,12,18,15,21,15,20,24,24,20,13,11,14,11,15,14,16,14,17,22,13,29,18,0,10,8,1,16,23,27,24,29,19,12,14,25,0,7,6,26,20,22,7,18,24,28,21,10,13,16,24,15,10,8,12,7,10,21,7,10,18,12,12,10,6,20,8,19,11,10,10,16,12,15,11,13,17,25,6,12,17,25,21,9,10,21,8,18,9,11,17,16,22,29,19,6,14,29,21,24,7,9,8,22,19,15,13,14,27,21,9,22,11,9,10,4,6,19,16,13,12,16,13,18,17,0,7,12,15,13,11,10,15,28,32,6,23,14,12,10,20,15,2,1,
3,17,5,26,10,11,1,10,12,8,15,10,9,10,13,5,7,24,9,3,10,16,10,9,6,13,19,17,8,18,17,17,5,10,13,20,20,7,14,22,14,9,7,12,3,5,9,18,33,17,12,17,14,21,18,0,23,28,12,21,14,21,13,15,12,16,16,16,15,17,17,24,19,13,13,12,22,14,15,10,33,9,0,10,10,10,16,11,28,30,39,18,2,18,41,0,11,2,30,17,16,14,23,17,18,11,9,18,20,19,11,5,15,11,5,9,20,10,14,19,16,4,13,13,16,8,18,8,9,8,14,11,14,2,14,22,23,8,20,14,29,18,9,8,24,13,7,15,17,9,19,19,28,7,17,19,23,23,22,13,15,14,10,20,23,16,24,21,21,11,15,21,8,14,10,10,13,14,16,14,12,15,12,11,0,9,10,9,10,22,15,18,34,23,4,24,18,17,14,23,9,2,0,
4,11,5,22,17,15,5,11,7,3,12,10,14,11,12,9,3,28,9,13,8,12,15,9,6,13,12,22,15,16,9,19,6,6,15,14,21,11,14,10,13,9,12,14,5,15,13,24,28,11,15,13,17,9,10,0,31,22,9,15,11,20,15,18,19,25,16,21,14,12,16,26,14,16,13,16,25,3,20,18,38,13,0,11,5,8,14,25,28,24,32,10,4,14,36,0,8,6,28,16,13,14,15,20,22,16,13,11,26,23,12,15,14,15,8,11,19,9,12,21,12,10,5,9,15,12,22,7,14,13,19,8,14,7,15,19,20,2,19,22,26,23,16,7,13,11,15,21,15,17,21,14,28,19,15,20,21,25,15,11,16,21,17,13,18,18,21,26,8,4,23,14,12,12,9,12,12,20,20,11,24,15,24,13,0,12,17,16,19,17,8,19,35,30,7,14,8,18,10,21,19,5,0,
5,9,8,18,16,9,3,8,11,2,10,6,15,16,11,11,4,16,6,11,13,7,11,8,8,17,12,11,13,10,20,14,5,11,10,29,19,12,13,13,16,14,10,8,5,9,11,20,19,14,14,11,18,10,17,1,26,20,18,16,21,29,15,13,18,21,20,26,20,12,13,20,21,13,12,16,16,13,24,12,40,13,0,8,4,6,12,21,27,29,43,17,12,16,33,0,11,2,24,24,14,13,22,15,26,20,11,12,29,22,10,12,6,19,6,13,16,10,14,19,16,4,9,7,20,12,23,8,14,8,18,7,15,7,18,19,17,8,27,17,17,22,9,6,17,12,16,28,16,16,19,12,26,14,10,14,30,27,21,11,14,23,11,20,21,22,20,20,19,8,24,19,12,21,11,5,16,18,16,12,23,17,21,28,0,11,12,18,15,21,10,10,31,28,14,30,16,8,13,24,15,4,0,
6,6,10,14,20,17,3,11,8,8,7,11,13,8,18,10,8,20,7,6,9,6,12,9,9,16,19,23,19,7,14,15,6,13,12,12,17,12,14,17,12,6,13,5,5,20,10,15,21,4,10,17,16,13,16,1,20,19,13,15,16,19,19,14,22,26,13,26,17,13,20,14,23,15,10,22,11,12,13,11,28,9,0,4,4,8,11,19,26,26,46,14,1,24,45,0,9,5,38,17,20,18,17,21,21,16,11,9,20,22,10,5,6,14,7,10,20,12,10,21,14,13,13,10,18,13,13,14,16,7,16,8,21,11,15,12,20,5,23,27,29,22,15,9,23,17,16,9,10,14,15,15,30,22,6,23,31,21,14,17,16,21,19,21,23,14,29,32,11,3,31,18,12,20,10,5,20,23,8,19,15,17,29,10,0,14,12,22,9,26,10,17,27,36,13,34,12,20,5,22,11,4,0,
7,13,9,16,22,16,2,17,8,8,7,16,9,8,9,11,6,30,4,11,6,3,9,15,5,21,15,26,12,10,13,13,3,13,15,15,23,8,16,23,8,10,7,11,4,13,9,25,28,8,16,21,9,14,15,1,19,23,17,19,17,25,11,16,12,18,28,18,22,19,14,19,13,12,15,24,15,8,16,15,41,12,0,11,7,17,9,17,21,30,46,16,5,23,49,0,8,3,25,21,19,15,20,13,24,18,11,12,19,18,7,10,16,20,6,8,15,9,10,16,14,9,20,15,20,17,15,7,13,12,19,14,14,4,12,10,9,5,20,22,19,25,18,10,14,6,12,12,15,15,18,15,21,14,9,16,25,24,14,16,17,19,18,16,22,20,24,24,24,10,22,13,15,16,9,5,20,19,25,14,23,15,20,25,0,7,12,14,16,24,10,14,21,23,9,23,11,12,10,18,13,6,0,
8,6,7,21,15,21,3,15,10,6,10,14,15,10,10,12,8,21,8,5,10,11,11,11,13,17,18,22,17,11,13,13,5,7,16,15,13,9,25,14,10,7,6,15,4,20,7,18,24,6,12,14,11,23,11,0,19,19,17,23,14,20,11,17,9,19,18,19,13,12,16,19,17,14,8,18,15,12,11,10,34,5,0,7,2,9,16,13,23,29,44,21,6,19,41,0,9,5,26,15,16,8,13,22,17,21,14,18,17,12,11,9,15,21,5,17,16,10,7,16,12,9,20,18,14,17,32,7,14,7,19,12,20,8,6,14,18,6,24,19,17,17,13,4,13,12,19,20,15,16,12,22,24,15,15,16,38,27,8,13,16,13,20,24,34,26,27,33,15,10,26,16,10,19,9,8,13,14,13,21,30,16,15,27,0,12,16,17,17,21,13,14,22,31,10,37,10,22,10,14,15,1,0,
9,8,6,18,23,12,1,12,6,3,2,12,8,6,11,5,9,21,10,9,7,13,5,10,8,24,16,22,25,19,11,12,5,9,9,17,12,6,9,10,2,9,11,18,7,11,7,16,22,7,21,11,7,13,15,0,17,17,12,14,13,16,12,20,15,15,18,19,10,14,12,12,14,10,9,15,19,22,10,12,30,8,0,8,2,5,8,22,28,25,35,19,6,20,38,0,10,3,28,14,17,23,13,21,19,25,14,19,18,20,13,8,12,15,4,8,21,13,14,15,11,8,15,16,18,12,20,8,10,9,15,10,10,4,18,18,22,8,23,28,14,17,18,10,23,20,25,10,19,12,12,21,31,21,9,12,24,19,24,12,13,28,20,11,20,19,21,20,20,13,27,24,13,18,4,7,17,19,16,16,29,26,23,17,0,3,15,20,17,20,5,15,26,21,9,39,14,18,8,13,17,2,0,
