年齢,男[人],女[人],総数[人]
0歳,1250,1161,2411
1歳,1186,1118,2304
2歳,1038,995,2033
3歳,996,997,1993
4歳,961,888,1849
5歳,951,873,1824
6歳,956,873,1829
7歳,896,832,1728
8歳,898,837,1735
9歳,911,881,1792
10歳,850,822,1672
11歳,877,781,1658
12歳,814,840,1654
13歳,888,859,1747
14歳,882,878,1760
15歳,881,830,1711
16歳,893,889,1782
17歳,947,842,1789
18歳,1013,853,1866
19歳,1044,1009,2053
20歳,1118,965,2083
21歳,1087,1096,2183
22歳,1281,1334,2615
23歳,1442,1497,2939
24歳,1680,1730,3410
25歳,1750,1733,3483
26歳,1928,1920,3848
27歳,2152,2102,4254
28歳,2145,2113,4258
29歳,2246,2159,4405
30歳,2333,2209,4542
31歳,2379,2242,4621
32歳,2392,2252,4644
33歳,2388,2185,4573
34歳,2305,2106,4411
35歳,2213,2073,4286
36歳,2215,2076,4291
37歳,2297,2186,4483
38歳,2318,2157,4475
39歳,2267,2073,4340
40歳,2293,2156,4449
41歳,2401,2163,4564
42歳,2419,2282,4701
43歳,2469,2319,4788
44歳,2341,2193,4534
45歳,2300,2205,4505
46歳,2206,2083,4289
47歳,2203,2107,4310
48歳,2184,1977,4161
49歳,1891,1835,3726
50歳,1801,1678,3479
51歳,1962,1714,3676
52歳,1724,1684,3408
53歳,1671,1557,3228
54歳,1571,1440,3011
55歳,1555,1458,3013
56歳,1428,1365,2793
57歳,1517,1300,2817
58歳,1347,1326,2673
59歳,1391,1213,2604
60歳,1304,1346,2650
61歳,1442,1354,2796
62歳,1394,1374,2768
63歳,1589,1392,2981
64歳,1595,1483,3078
65歳,1646,1553,3199
66歳,1805,1735,3540
67歳,1934,1763,3697
68歳,2033,1860,3893
69歳,1675,1672,3347
70歳,965,1097,2062
71歳,1124,1282,2406
72歳,1438,1598,3036
73歳,1309,1583,2892
74歳,1380,1564,2944
75歳,1245,1549,2794
76歳,1083,1412,2495
77歳,924,1201,2125
78歳,968,1323,2291
79歳,1010,1220,2230
80歳,963,1268,2231
81歳,837,1191,2028
82歳,683,1053,1736
83歳,598,1009,1607
84歳,553,921,1474
85歳,462,828,1290
86歳,401,765,1166
87歳,311,691,1002
88歳,270,602,872
89歳,211,512,723
90歳,210,505,715
91歳,136,396,532
92歳,104,291,395
93歳,75,258,333
94歳,46,226,272
95歳,37,162,199
96歳,35,136,171
97歳,16,85,101
98歳,9,71,80
99歳,6,48,54
100歳,6,26,32
101歳,2,19,21
102歳,2,9,11
103歳,3,8,11
104歳以上,0,7,7
合計,131581,132769,264350
