町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,78,47,57,104
両国二丁目,103,70,91,161
両国三丁目,53,35,48,83
両国四丁目,83,62,61,123
千歳一丁目,23,19,22,41
千歳二丁目,25,16,23,39
千歳三丁目,48,29,46,75
緑一丁目,103,72,65,137
緑二丁目,61,47,57,104
緑三丁目,82,72,73,145
緑四丁目,202,133,201,334
立川一丁目,29,19,22,41
立川二丁目,35,33,19,52
立川三丁目,17,15,18,33
立川四丁目,39,27,37,64
菊川一丁目,23,15,24,39
菊川二丁目,35,22,34,56
菊川三丁目,63,47,62,109
江東橋一丁目,103,72,118,190
江東橋二丁目,126,99,144,243
江東橋三丁目,95,64,98,162
江東橋四丁目,316,196,361,557
江東橋五丁目,67,46,86,132
横網一丁目,3,5,2,7
横網二丁目,52,41,27,68
亀沢一丁目,38,29,38,67
亀沢二丁目,35,32,35,67
亀沢三丁目,38,30,38,68
亀沢四丁目,60,45,79,124
石原一丁目,81,66,72,138
石原二丁目,36,30,34,64
石原三丁目,64,50,52,102
石原四丁目,44,38,66,104
本所一丁目,48,39,60,99
本所二丁目,24,20,32,52
本所三丁目,55,29,62,91
本所四丁目,32,20,43,63
東駒形一丁目,42,35,20,55
東駒形二丁目,54,47,25,72
東駒形三丁目,32,24,24,48
東駒形四丁目,25,24,34,58
吾妻橋一丁目,44,32,36,68
吾妻橋二丁目,17,15,16,31
吾妻橋三丁目,20,18,26,44
錦糸一丁目,116,84,127,211
錦糸二丁目,85,76,86,162
錦糸三丁目,76,49,96,145
錦糸四丁目,117,92,130,222
太平一丁目,134,107,141,248
太平二丁目,104,73,103,176
太平三丁目,63,52,69,121
太平四丁目,163,137,198,335
横川一丁目,34,38,39,77
横川二丁目,30,21,26,47
横川三丁目,22,21,35,56
横川四丁目,72,39,63,102
横川五丁目,30,46,73,119
業平一丁目,26,24,24,48
業平二丁目,21,27,22,49
業平三丁目,22,18,22,40
業平四丁目,35,37,41,78
業平五丁目,18,15,20,35
向島一丁目,24,26,20,46
向島二丁目,30,32,27,59
向島三丁目,41,30,43,73
向島四丁目,19,25,27,52
向島五丁目,37,32,50,82
東向島一丁目,30,28,34,62
東向島二丁目,40,37,57,94
東向島三丁目,45,33,48,81
東向島四丁目,49,38,60,98
東向島五丁目,38,35,51,86
東向島六丁目,34,29,48,77
堤通一丁目,34,40,41,81
堤通二丁目,60,74,141,215
墨田一丁目,24,37,53,90
墨田二丁目,35,38,51,89
墨田三丁目,32,34,48,82
墨田四丁目,41,36,57,93
墨田五丁目,18,16,28,44
押上一丁目,25,21,32,53
押上二丁目,39,35,53,88
押上三丁目,49,52,58,110
京島一丁目,52,55,92,147
京島二丁目,21,25,24,49
京島三丁目,33,38,49,87
文花一丁目,63,93,137,230
文花二丁目,42,28,55,83
文花三丁目,28,28,42,70
八広一丁目,23,25,42,67
八広二丁目,38,42,66,108
八広三丁目,22,26,49,75
八広四丁目,45,30,69,99
八広五丁目,35,30,56,86
八広六丁目,35,35,51,86
立花一丁目,227,214,246,460
立花二丁目,55,39,36,75
立花三丁目,57,57,65,122
立花四丁目,58,63,92,155
立花五丁目,80,93,109,202
立花六丁目,37,29,60,89
東墨田一丁目,16,17,3,20
東墨田二丁目,37,42,31,73
東墨田三丁目,23,26,15,41
