町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,940,733,724,1457
両国二丁目,1213,959,962,1921
両国三丁目,1280,944,962,1906
両国四丁目,1233,992,978,1970
千歳一丁目,944,782,821,1603
千歳二丁目,609,517,488,1005
千歳三丁目,1446,1210,1168,2378
緑一丁目,1898,1604,1506,3110
緑二丁目,1710,1596,1651,3247
緑三丁目,1587,1386,1384,2770
緑四丁目,2707,2308,2129,4437
立川一丁目,868,625,679,1304
立川二丁目,860,689,684,1373
立川三丁目,1070,856,896,1752
立川四丁目,995,752,769,1521
菊川一丁目,1031,837,914,1751
菊川二丁目,1436,1074,1221,2295
菊川三丁目,2128,1797,1904,3701
江東橋一丁目,881,688,610,1298
江東橋二丁目,1264,1051,963,2014
江東橋三丁目,488,373,221,594
江東橋四丁目,1408,1045,948,1993
江東橋五丁目,1640,1436,1448,2884
横網一丁目,133,155,143,298
横網二丁目,659,561,565,1126
亀沢一丁目,1196,1002,1027,2029
亀沢二丁目,992,859,978,1837
亀沢三丁目,1001,1034,993,2027
亀沢四丁目,1421,1295,1252,2547
石原一丁目,1551,1223,1265,2488
石原二丁目,1402,1222,1246,2468
石原三丁目,1679,1496,1370,2866
石原四丁目,1523,1403,1374,2777
本所一丁目,1590,1404,1426,2830
本所二丁目,917,765,832,1597
本所三丁目,1006,860,882,1742
本所四丁目,1440,1231,1199,2430
東駒形一丁目,846,655,672,1327
東駒形二丁目,829,730,759,1489
東駒形三丁目,932,758,753,1511
東駒形四丁目,1431,1155,1216,2371
吾妻橋一丁目,1283,986,1059,2045
吾妻橋二丁目,894,676,729,1405
吾妻橋三丁目,849,773,817,1590
錦糸一丁目,1306,988,925,1913
錦糸二丁目,391,301,247,548
錦糸三丁目,409,342,261,603
錦糸四丁目,920,826,811,1637
太平一丁目,1832,1715,1675,3390
太平二丁目,879,712,595,1307
太平三丁目,818,665,607,1272
太平四丁目,2517,2216,2260,4476
横川一丁目,787,811,734,1545
横川二丁目,933,789,693,1482
横川三丁目,679,582,548,1130
横川四丁目,700,611,556,1167
横川五丁目,1406,1169,1508,2677
業平一丁目,1534,1356,1567,2923
業平二丁目,795,661,593,1254
業平三丁目,845,653,687,1340
業平四丁目,1192,891,971,1862
業平五丁目,1172,1074,1191,2265
向島一丁目,1407,1143,1153,2296
向島二丁目,1531,1253,1381,2634
向島三丁目,2643,2279,2259,4538
向島四丁目,1310,1224,1303,2527
向島五丁目,2540,2109,2097,4206
東向島一丁目,1735,1557,1513,3070
東向島二丁目,2812,2371,2554,4925
東向島三丁目,1679,1637,1705,3342
東向島四丁目,1940,1685,1706,3391
東向島五丁目,2155,1836,1979,3815
東向島六丁目,2942,2700,2699,5399
堤通一丁目,1097,1145,1069,2214
堤通二丁目,2013,1743,2229,3972
墨田一丁目,1380,1442,1574,3016
墨田二丁目,2014,1918,1895,3813
墨田三丁目,1984,1802,1794,3596
墨田四丁目,2406,2288,2375,4663
墨田五丁目,1517,1367,1357,2724
押上一丁目,1273,1000,1093,2093
押上二丁目,1955,1726,1863,3589
押上三丁目,2298,2150,2121,4271
京島一丁目,3553,3339,3619,6958
京島二丁目,972,930,818,1748
京島三丁目,2267,2100,2016,4116
文花一丁目,2922,2476,2919,5395
文花二丁目,1257,1122,1175,2297
文花三丁目,1173,1300,1276,2576
八広一丁目,1836,1718,1605,3323
八広二丁目,2188,2130,2031,4161
八広三丁目,1816,1780,1674,3454
八広四丁目,2322,2239,2175,4414
八広五丁目,1579,1403,1441,2844
八広六丁目,2071,2031,1944,3975
立花一丁目,3027,2632,2796,5428
立花二丁目,833,767,758,1525
立花三丁目,1546,1424,1395,2819
立花四丁目,1798,1776,1686,3462
立花五丁目,1927,2118,2077,4195
立花六丁目,1135,1056,1182,2238
東墨田一丁目,65,70,60,130
東墨田二丁目,742,674,641,1315
東墨田三丁目,370,393,373,766
