年度,会計名称,款,款名称,項,項名称,目,目名称,細目,細目名称,節,節名称,予算額
R2,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,1,報酬,156801
R2,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,3,職員手当等,64289
R2,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,4,共済費,55562
R2,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,19,負担金・補助及び交付金,210
R2,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,2,給料,37672
R2,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,3,職員手当等,31830
R2,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,4,共済費,13719
R2,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,9,旅費,26
R2,一般会計,1,議会費,1,議会費,1,議会費,37,議会報発行経費,11,需用費,4092
R2,一般会計,1,議会費,1,議会費,1,議会費,37,議会報発行経費,13,委託料,3629
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,8,報償費,199
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,9,旅費,2893
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,10,交際費,500
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,11,需用費,1117
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,12,役務費,1632
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,13,委託料,10564
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,14,使用料及び賃借料,2145
R2,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,19,負担金・補助及び交付金,9000
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,2,給料,734626
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,3,職員手当等,961565
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,4,共済費,269194
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,9,旅費,1200
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,39,秘書事務経費,1,報酬,154
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,39,秘書事務経費,11,需用費,913
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,39,秘書事務経費,14,使用料及び賃借料,22
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,40,市渉外経費,9,旅費,489
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,40,市渉外経費,10,交際費,800
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,40,市渉外経費,19,負担金・補助及び交付金,3114
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,41,一般管理経費,11,需用費,340
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,41,一般管理経費,12,役務費,5400
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,41,一般管理経費,22,補償補填及び賠償金,1
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,1,報酬,45
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,8,報償費,1085
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,11,需用費,237
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,12,役務費,77
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,13,委託料,33
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,1,報酬,553
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,8,報償費,1097
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,9,旅費,1
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,11,需用費,1
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,12,役務費,25
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,13,委託料,190
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,44,非常勤職員公務災害補償等審査会経費,1,報酬,90
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,45,特別職報酬等審議会経費,1,報酬,436
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,1,報酬,282
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,8,報償費,60
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,11,需用費,817
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,12,役務費,5
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,14,使用料及び賃借料,52
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,18,備品購入費,616
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,47,生活事務経費,11,需用費,363
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,49,文書管理経費,12,役務費,48598
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,8,報償費,312
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,9,旅費,539
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,11,需用費,429
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,12,役務費,9
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,13,委託料,1569
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,14,使用料及び賃借料,588
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,19,負担金・補助及び交付金,60
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,1,報酬,6586
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,9,旅費,10
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,11,需用費,113
R2,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,13,委託料,215
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,1,報酬,452068
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,3,職員手当等,134619
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,4,共済費,130715
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,5,災害補償費,2
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,8,報償費,330
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,9,旅費,20881
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,11,需用費,1804
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,12,役務費,1635
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,13,委託料,23411
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,14,使用料及び賃借料,9493
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,18,備品購入費,3797
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,19,負担金・補助及び交付金,1150
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,1,報酬,3600
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,9,旅費,118
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,11,需用費,3832
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,12,役務費,300
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,13,委託料,29521
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,19,負担金・補助及び交付金,12739
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,8,報償費,593
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,9,旅費,2877
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,11,需用費,343
R2,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,12,役務費,31
